Phenotypes	Pubmed_paper_id	Policy	
UKB_1160_Sleep_duration			
UKB_1180_Morning_or_evening_person_chronotype			
UKB_1200_Sleeplessness_or_insomnia			
UKB_1807_Fathers_age_at_death			
UKB_20016_Fluid_intelligence_score			
UKB_20022_Birth_weight			
UKB_20127_Neuroticism_score			
UKB_21001_Body_mass_index_BMI			
UKB_23099_Body_fat_percentage			
UKB_3526_Mothers_age_at_death			
UKB_50_Standing_height			
UKB_20002_1094_self_reported_deep_venous_thrombosis_dvt			
UKB_20002_1111_self_reported_asthma			
UKB_20002_1154_self_reported_irritable_bowel_syndrome			
UKB_20002_1222_self_reported_type_1_diabetes			
UKB_20002_1223_self_reported_type_2_diabetes			
UKB_20002_1225_self_reported_hyperthyroidism_or_thyrotoxicosis			
UKB_20002_1226_self_reported_hypothyroidism_or_myxoedema			
UKB_20002_1243_self_reported_psychological_or_psychiatric_problem			
UKB_20002_1261_self_reported_multiple_sclerosis			
UKB_20002_1262_self_reported_parkinsons_disease			
UKB_20002_1265_self_reported_migraine			
UKB_20002_1289_self_reported_schizophrenia			
UKB_20002_1309_self_reported_osteoporosis			
UKB_20002_1313_self_reported_ankylosing_spondylitis			
UKB_20002_1452_self_reported_eczema_or_dermatitis			
UKB_20002_1453_self_reported_psoriasis			
UKB_20002_1461_self_reported_inflammatory_bowel_disease			
UKB_20002_1462_self_reported_crohns_disease			
UKB_20002_1463_self_reported_ulcerative_colitis			
UKB_20002_1464_self_reported_rheumatoid_arthritis			
UKB_20002_1466_self_reported_gout			
UKB_20002_1473_self_reported_high_cholesterol			
UKB_20002_1616_self_reported_insomnia			
UKB_2395_2_Hair_or_balding_pattern_Pattern_2			
UKB_2395_3_Hair_or_balding_pattern_Pattern_3			
UKB_2395_4_Hair_or_balding_pattern_Pattern_4			
UKB_6150_1_Vascular_or_heart_problems_diagnosed_by_doctor_Heart_attack			
UKB_6152_5_diagnosed_by_doctor_Blood_clot_in_the_leg_DVT			
UKB_6152_7_diagnosed_by_doctor_Blood_clot_in_the_lung			
UKB_6152_8_diagnosed_by_doctor_Asthma			
UKB_6152_9_diagnosed_by_doctor_Hayfever_allergic_rhinitis_or_eczema			
UKB_G40_Diagnoses_main_ICD10_G40_Epilepsy			
UKB_G43_Diagnoses_main_ICD10_G43_Migraine			
UKB_20002_1065_self_reported_hypertension			
MAGIC_FastingGlucose	20081858	http://www.magicinvestigators.org/downloads/ When using data from the downloadable meta-analyses results please acknowledge the source  of the data as follows: "Data on glycaemic traits have been contributed by MAGIC investigators  and have been downloaded from www.magicinvestigators.org".	
MAGIC_ln_FastingInsulin	20081858		
SSGAC_Depressive_Symptoms	27089181	https://www.thessgac.org/data When you report results of research that utilizes SSGAC data in any way, it is our policy that you  mention the SSGAC in your paper and cite the relevant publication of the original results.  Please inform us about your intended use of SSGAC data by sending an email to  (contact@ssgac.org).	
MAGNETIC_CH2.DB.ratio	27005778	http://www.computationalmedicine.fi/data#NMR_GWAS	
MAGNETIC_HDL.C	27005778		
MAGNETIC_IDL.TG	27005778		
MAGNETIC_LDL.C	27005778		
CARDIoGRAM_C4D_CAD_ADDITIVE	26343387	http://www.cardiogramplusc4d.org/data-downloads/ When using data from the downloadable meta-analyses results please acknowledge the source of the  data as follows: 'Data on coronary artery disease / myocardial infarction have been contributed by  CARDIoGRAMplusC4D investigators and have been downloaded from  www.CARDIOGRAMPLUSC4D.ORG'. For the Exome chip study please acknowledge the source of  the data as follows: 'Data on coronary artery disease / myocardial infarction have been contributed  by the Myocardial Infarction Genetics and CARDIoGRAM Exome investigators and have been  downloaded from www.CARDIOGRAMPLUSC4D.ORG'. For the Chromosome X-CAD please  acknowledge the source of the data as follows: ‘Data on the X chromosomal analysis of coronary  artery disease / myocardial infarction have been contributed by the referenced authors.’ For the UK  Biobank meta-analysis please acknowledge the source of the data as follows: 'Data on coronary artery  disease / myocardial infarction have been contributed by the CARDIoGRAMplusC4D and UK Biobank  CardioMetabolic Consortium CHD working group who used the UK Biobank Resource  (application number 9922). Data have been downloaded from www.CARDIOGRAMPLUSC4D.ORG'.	
SSGAC_Education_Years_Pooled	27225129	https://www.thessgac.org/data When you report results of research that utilizes SSGAC data in any way, it is our policy that you  mention the SSGAC in your paper and cite the relevant publication of the original results.  Please inform us about your intended use of SSGAC data by sending an email to  (contact@ssgac.org).	
Astle_et_al_2016_Eosinophil_counts	27863252	Further information may be directed to the Lead Contact, Nicole Soranzo (ns6@sanger.ac.uk).	
Astle_et_al_2016_Granulocyte_count	27863252		
Astle_et_al_2016_High_light_scatter_reticulocyte_count	27863252		
