trait	method	n	abbreviation	color	category
Astle_et_al_2016_Eosinophil_counts	gwas	32379	EC	#C00000	Blood
Astle_et_al_2016_Eosinophil_counts	predixcan_sqtl_all_pairs	6532	EC	#C00000	Blood
Astle_et_al_2016_Eosinophil_counts	predixcan_sqtl	2110	EC	#C00000	Blood
Astle_et_al_2016_Eosinophil_counts	predixcan_sqtl_mrcp	327	EC	#C00000	Blood
Astle_et_al_2016_Eosinophil_counts	predixcan_sqtl_enloc_all_pairs	132	EC	#C00000	Blood
Astle_et_al_2016_Eosinophil_counts	predixcan_sqtl_enloc	56	EC	#C00000	Blood
Astle_et_al_2016_Eosinophil_counts	multixcan_sqtl	2346	EC	#C00000	Blood
Astle_et_al_2016_Eosinophil_counts	multixcan_sqtl_enloc	61	EC	#C00000	Blood
Astle_et_al_2016_Eosinophil_counts	predixcan_eqtl_all_pairs	3801	EC	#C00000	Blood
Astle_et_al_2016_Eosinophil_counts	predixcan_eqtl	684	EC	#C00000	Blood
Astle_et_al_2016_Eosinophil_counts	predixcan_eqtl_enloc_all_pairs	288	EC	#C00000	Blood
Astle_et_al_2016_Eosinophil_counts	predixcan_eqtl_mrcp	715	EC	#C00000	Blood
Astle_et_al_2016_Eosinophil_counts	predixcan_eqtl_enloc	69	EC	#C00000	Blood
Astle_et_al_2016_Eosinophil_counts	multixcan_eqtl	823	EC	#C00000	Blood
Astle_et_al_2016_Eosinophil_counts	multixcan_eqtl_enloc	100	EC	#C00000	Blood
Astle_et_al_2016_Reticulocyte_count	gwas	36519	RET	#C00000	Blood
Astle_et_al_2016_Reticulocyte_count	predixcan_sqtl_all_pairs	7717	RET	#C00000	Blood
Astle_et_al_2016_Reticulocyte_count	predixcan_sqtl	2656	RET	#C00000	Blood
Astle_et_al_2016_Reticulocyte_count	predixcan_sqtl_mrcp	322	RET	#C00000	Blood
Astle_et_al_2016_Reticulocyte_count	predixcan_sqtl_enloc_all_pairs	154	RET	#C00000	Blood
Astle_et_al_2016_Reticulocyte_count	predixcan_sqtl_enloc	57	RET	#C00000	Blood
Astle_et_al_2016_Reticulocyte_count	multixcan_sqtl	2874	RET	#C00000	Blood
Astle_et_al_2016_Reticulocyte_count	multixcan_sqtl_enloc	67	RET	#C00000	Blood
Astle_et_al_2016_Reticulocyte_count	predixcan_eqtl_all_pairs	4600	RET	#C00000	Blood
Astle_et_al_2016_Reticulocyte_count	predixcan_eqtl	842	RET	#C00000	Blood
Astle_et_al_2016_Reticulocyte_count	predixcan_eqtl_enloc_all_pairs	177	RET	#C00000	Blood
Astle_et_al_2016_Reticulocyte_count	predixcan_eqtl_mrcp	647	RET	#C00000	Blood
Astle_et_al_2016_Reticulocyte_count	predixcan_eqtl_enloc	77	RET	#C00000	Blood
Astle_et_al_2016_Reticulocyte_count	multixcan_eqtl	931	RET	#C00000	Blood
Astle_et_al_2016_Reticulocyte_count	multixcan_eqtl_enloc	98	RET	#C00000	Blood
Astle_et_al_2016_Sum_basophil_neutrophil_counts	gwas	21599	BNC	#C00000	Blood
Astle_et_al_2016_Sum_basophil_neutrophil_counts	predixcan_sqtl_all_pairs	5413	BNC	#C00000	Blood
Astle_et_al_2016_Sum_basophil_neutrophil_counts	predixcan_sqtl	1516	BNC	#C00000	Blood
Astle_et_al_2016_Sum_basophil_neutrophil_counts	predixcan_sqtl_mrcp	569	BNC	#C00000	Blood
Astle_et_al_2016_Sum_basophil_neutrophil_counts	predixcan_sqtl_enloc_all_pairs	300	BNC	#C00000	Blood
Astle_et_al_2016_Sum_basophil_neutrophil_counts	predixcan_sqtl_enloc	71	BNC	#C00000	Blood
Astle_et_al_2016_Sum_basophil_neutrophil_counts	multixcan_sqtl	1582	BNC	#C00000	Blood
Astle_et_al_2016_Sum_basophil_neutrophil_counts	multixcan_sqtl_enloc	74	BNC	#C00000	Blood
Astle_et_al_2016_Sum_basophil_neutrophil_counts	predixcan_eqtl_all_pairs	2891	BNC	#C00000	Blood
Astle_et_al_2016_Sum_basophil_neutrophil_counts	predixcan_eqtl	545	BNC	#C00000	Blood
Astle_et_al_2016_Sum_basophil_neutrophil_counts	predixcan_eqtl_enloc_all_pairs	307	BNC	#C00000	Blood
Astle_et_al_2016_Sum_basophil_neutrophil_counts	predixcan_eqtl_mrcp	812	BNC	#C00000	Blood
Astle_et_al_2016_Sum_basophil_neutrophil_counts	predixcan_eqtl_enloc	97	BNC	#C00000	Blood
