threshold	n	prop	type
0	19117	0.797771564495264	from_intron
0.01	9503	0.396569711638776	from_intron
0.05	5929	0.247423110628886	from_intron
0.1	4487	0.187247005800609	from_intron
0.2	3049	0.127237824980178	from_intron
0.3	2209	0.0921837833326378	from_intron
0.4	1658	0.0691900012519301	from_intron
0.5	1226	0.0511622084046238	from_intron
0.6	875	0.0365146267161875	from_intron
0.7	611	0.0254976421983892	from_intron
0.8	375	0.0156491257355089	from_intron
0.9	194	0.00809581438050328	from_intron
0	23963	1	from_gene
0.01	15021	0.626841380461545	from_gene
0.05	10826	0.451779827233652	from_gene
0.1	9005	0.375787672662021	from_gene
0.2	6927	0.289070650586321	from_gene
0.3	5510	0.229937820807078	from_gene
0.4	4377	0.18265659558486	from_gene
0.5	3477	0.145098693819639	from_gene
0.6	2639	0.110128114176021	from_gene
0.7	1938	0.08087468180111	from_gene
0.8	1282	0.0534991445144598	from_gene
0.9	695	0.0290030463631432	from_gene
