threshold	n	prop	type
1	16591	0.736788347100098	from_intron
0.1	16560	0.735411670663469	from_intron
0.05	16532	0.734168220978773	from_intron
0.01	15858	0.704236610711431	from_intron
0.00102040816326531	12650	0.561772803979039	from_intron
0.001	12614	0.560174082955858	from_intron
1e-04	9068	0.402700062172484	from_intron
1e-05	6905	0.306643574029665	from_intron
1e-06	5498	0.244160227373657	from_intron
1e-07	4526	0.200994759747757	from_intron
1e-08	3870	0.171862509992006	from_intron
1e-09	3318	0.147348787636557	from_intron
1e-10	2902	0.128874678035349	from_intron
1e-11	2542	0.112887467803535	from_intron
1e-12	2267	0.100675015543121	from_intron
1e-13	2009	0.0892175148769873	from_intron
1e-14	1781	0.0790922817301714	from_intron
1e-15	1600	0.0710542676969536	from_intron
1e-16	1457	0.0647037925215383	from_intron
1e-17	1320	0.0586197708499867	from_intron
1e-18	1219	0.0541344702016165	from_intron
1e-19	1129	0.0501376676436628	from_intron
1e-20	1055	0.0468514077626787	from_intron
1e-21	997	0.0442756905586642	from_intron
1e-22	940	0.0417443822719602	from_intron
1e-23	879	0.0390354383160139	from_intron
1e-24	833	0.0369926281197264	from_intron
1e-25	777	0.0345057287503331	from_intron
1e-26	736	0.0326849631405986	from_intron
1e-27	696	0.0309086064481748	from_intron
1e-28	659	0.0292654765076827	from_intron
1e-29	633	0.0281108446576072	from_intron
1e-30	611	0.0271338484767741	from_intron
1	22518	1	from_gene
0.1	22512	0.999733546496136	from_gene
0.05	22481	0.998356870059508	from_gene
0.01	21767	0.966648903099742	from_gene
0.00102040816326531	18134	0.805311306510347	from_gene
0.001	18080	0.802913224975575	from_gene
1e-04	13216	0.586908251176836	from_gene
1e-05	10006	0.444355626609823	from_gene
1e-06	7993	0.354960476063594	from_gene
1e-07	6592	0.292743582911449	from_gene
1e-08	5571	0.24740207833733	from_gene
1e-09	4770	0.211830535571543	from_gene
1e-10	4186	0.185895727862155	from_gene
1e-11	3699	0.164268585131894	from_gene
1e-12	3287	0.145972111199929	from_gene
1e-13	2940	0.130562216893152	from_gene
1e-14	2613	0.116040500932587	from_gene
1e-15	2355	0.104583000266454	from_gene
1e-16	2141	0.095079491961986	from_gene
1e-17	1978	0.0878408384403588	from_gene
1e-18	1805	0.0801580957456257	from_gene
1e-19	1681	0.0746513899991118	from_gene
1e-20	1573	0.0698552269295675	from_gene
1e-21	1474	0.0654587441158185	from_gene
1e-22	1381	0.061328714805933	from_gene
1e-23	1307	0.0580424549249489	from_gene
1e-24	1228	0.0545341504574118	from_gene
1e-25	1160	0.0515143440802913	from_gene
1e-26	1111	0.0493383071320721	from_gene
1e-27	1066	0.0473399058530953	from_gene
1e-28	996	0.0442312816413536	from_gene
1e-29	954	0.0423661071143086	from_gene
1e-30	913	0.0405453415045741	from_gene
