threshold	n	prop_a	prop_r	enloc_threshold	type
1	22518	1	1	0	from_gene
0.1	22512	0.999733546496136	0.999733546496136	0	from_gene
0.05	22481	0.998356870059508	0.998356870059508	0	from_gene
0.01	21767	0.966648903099742	0.966648903099742	0	from_gene
0.00102040816326531	18134	0.805311306510347	0.805311306510347	0	from_gene
0.001	18080	0.802913224975575	0.802913224975575	0	from_gene
1e-04	13216	0.586908251176836	0.586908251176836	0	from_gene
1e-05	10006	0.444355626609823	0.444355626609823	0	from_gene
1e-06	7993	0.354960476063594	0.354960476063594	0	from_gene
1e-07	6592	0.292743582911449	0.292743582911449	0	from_gene
1e-08	5571	0.24740207833733	0.24740207833733	0	from_gene
1e-09	4770	0.211830535571543	0.211830535571543	0	from_gene
1e-10	4186	0.185895727862155	0.185895727862155	0	from_gene
1e-11	3699	0.164268585131894	0.164268585131894	0	from_gene
1e-12	3287	0.145972111199929	0.145972111199929	0	from_gene
1e-13	2940	0.130562216893152	0.130562216893152	0	from_gene
1e-14	2613	0.116040500932587	0.116040500932587	0	from_gene
1e-15	2355	0.104583000266454	0.104583000266454	0	from_gene
1e-16	2141	0.095079491961986	0.095079491961986	0	from_gene
1e-17	1978	0.0878408384403588	0.0878408384403588	0	from_gene
1e-18	1805	0.0801580957456257	0.0801580957456257	0	from_gene
1e-19	1681	0.0746513899991118	0.0746513899991118	0	from_gene
1e-20	1573	0.0698552269295675	0.0698552269295675	0	from_gene
1e-21	1474	0.0654587441158185	0.0654587441158185	0	from_gene
1e-22	1381	0.061328714805933	0.061328714805933	0	from_gene
1e-23	1307	0.0580424549249489	0.0580424549249489	0	from_gene
1e-24	1228	0.0545341504574118	0.0545341504574118	0	from_gene
1e-25	1160	0.0515143440802913	0.0515143440802913	0	from_gene
1e-26	1111	0.0493383071320721	0.0493383071320721	0	from_gene
1e-27	1066	0.0473399058530953	0.0473399058530953	0	from_gene
1e-28	996	0.0442312816413536	0.0442312816413536	0	from_gene
1e-29	954	0.0423661071143086	0.0423661071143086	0	from_gene
