threshold	n	prop	enloc
1	22518	1	0
0.1	22512	0.999733546496136	0
0.05	22481	0.998356870059508	0
0.01	21767	0.966648903099742	0
0.00102040816326531	18134	0.805311306510347	0
0.001	18080	0.802913224975575	0
1e-04	13216	0.586908251176836	0
1e-05	10006	0.444355626609823	0
1e-06	7993	0.354960476063594	0
1e-07	6592	0.292743582911449	0
1e-08	5571	0.24740207833733	0
1e-09	4770	0.211830535571543	0
1e-10	4186	0.185895727862155	0
1e-11	3699	0.164268585131894	0
1e-12	3287	0.145972111199929	0
1e-13	2940	0.130562216893152	0
1e-14	2613	0.116040500932587	0
1e-15	2355	0.104583000266454	0
1e-16	2141	0.095079491961986	0
1e-17	1978	0.0878408384403588	0
1e-18	1805	0.0801580957456257	0
1e-19	1681	0.0746513899991118	0
1e-20	1573	0.0698552269295675	0
1e-21	1474	0.0654587441158185	0
1e-22	1381	0.061328714805933	0
1e-23	1307	0.0580424549249489	0
1e-24	1228	0.0545341504574118	0
1e-25	1160	0.0515143440802913	0
1e-26	1111	0.0493383071320721	0
1e-27	1066	0.0473399058530953	0
1e-28	996	0.0442312816413536	0
1e-29	954	0.0423661071143086	0
1e-30	913	0.0405453415045741	0
1	3323	1	0.5
0.1	3099	0.932591032199819	0.5
0.05	3051	0.918146253385495	0.5
0.01	2964	0.891965091784532	0.5
0.00102040816326531	2850	0.857658742100512	0.5
0.001	2850	0.857658742100512	0.5
1e-04	2704	0.813722539873608	0.5
1e-05	2490	0.749322900993079	0.5
1e-06	2084	0.627144146855251	0.5
1e-07	1703	0.512488715016551	0.5
1e-08	1431	0.430634968402046	0.5
1e-09	1251	0.37646704784833	0.5
1e-10	1084	0.32621125489016	0.5
1e-11	942	0.283478784231116	0.5
1e-12	822	0.247366837195305	0.5
1e-13	740	0.222690340054168	0.5
1e-14	664	0.199819440264821	0.5
1e-15	597	0.17965693650316	0.5
1e-16	538	0.161901895877219	0.5
1e-17	494	0.148660848630755	0.5
1e-18	459	0.138128197411977	0.5
1e-19	430	0.129401143544989	0.5
1e-20	398	0.119771291002107	0.5
1e-21	375	0.112849834486909	0.5
1e-22	347	0.104423713511887	0.5
1e-23	329	0.0990069214565152	0.5
1e-24	311	0.0935901294011435	0.5
1e-25	298	0.0896780018055973	0.5
1e-26	284	0.0854649413180861	0.5
1e-27	271	0.0815528137225399	0.5
1e-28	259	0.0779416190189588	0.5
1e-29	244	0.0734276256394824	0.5
1e-30	236	0.0710201625037617	0.5
