threshold	n	prop_a	prop_r	enloc
1	22518	1	1	0
0.1	22512	0.999733546496136	0.999733546496136	0
0.05	22481	0.998356870059508	0.998356870059508	0
0.01	21767	0.966648903099742	0.966648903099742	0
0.00102040816326531	18134	0.805311306510347	0.805311306510347	0
0.001	18080	0.802913224975575	0.802913224975575	0
1e-04	13216	0.586908251176836	0.586908251176836	0
1e-05	10006	0.444355626609823	0.444355626609823	0
1e-06	7993	0.354960476063594	0.354960476063594	0
1e-07	6592	0.292743582911449	0.292743582911449	0
1e-08	5571	0.24740207833733	0.24740207833733	0
1e-09	4770	0.211830535571543	0.211830535571543	0
1e-10	4186	0.185895727862155	0.185895727862155	0
1e-11	3699	0.164268585131894	0.164268585131894	0
1e-12	3287	0.145972111199929	0.145972111199929	0
1e-13	2940	0.130562216893152	0.130562216893152	0
1e-14	2613	0.116040500932587	0.116040500932587	0
1e-15	2355	0.104583000266454	0.104583000266454	0
1e-16	2141	0.095079491961986	0.095079491961986	0
1e-17	1978	0.0878408384403588	0.0878408384403588	0
1e-18	1805	0.0801580957456257	0.0801580957456257	0
1e-19	1681	0.0746513899991118	0.0746513899991118	0
1e-20	1573	0.0698552269295675	0.0698552269295675	0
1e-21	1474	0.0654587441158185	0.0654587441158185	0
1e-22	1381	0.061328714805933	0.061328714805933	0
1e-23	1307	0.0580424549249489	0.0580424549249489	0
1e-24	1228	0.0545341504574118	0.0545341504574118	0
1e-25	1160	0.0515143440802913	0.0515143440802913	0
1e-26	1111	0.0493383071320721	0.0493383071320721	0
1e-27	1066	0.0473399058530953	0.0473399058530953	0
1e-28	996	0.0442312816413536	0.0442312816413536	0
1e-29	954	0.0423661071143086	0.0423661071143086	0
1e-30	913	0.0405453415045741	0.0405453415045741	0
1	3323	0.14757083222311	1	0.5
0.1	3099	0.137623234745537	0.932591032199819	0.5
0.05	3051	0.135491606714628	0.918146253385495	0.5
0.01	2964	0.131628030908606	0.891965091784532	0.5
0.00102040816326531	2850	0.126565414335198	0.857658742100512	0.5
0.001	2850	0.126565414335198	0.857658742100512	0.5
1e-04	2704	0.120081712407851	0.813722539873608	0.5
1e-05	2490	0.110578204103384	0.749322900993079	0.5
1e-06	2084	0.092548183675282	0.627144146855251	0.5
1e-07	1703	0.0756283861799449	0.512488715016551	0.5
1e-08	1431	0.0635491606714628	0.430634968402046	0.5
1e-09	1251	0.0555555555555556	0.37646704784833	0.5
1e-10	1084	0.048139266364686	0.32621125489016	0.5
1e-11	942	0.0418332001065814	0.283478784231116	0.5
1e-12	822	0.0365041300293099	0.247366837195305	0.5
1e-13	740	0.032862598809841	0.222690340054168	0.5
1e-14	664	0.0294875210942357	0.199819440264821	0.5
1e-15	597	0.0265121236344258	0.17965693650316	0.5
1e-16	538	0.0238919975131006	0.161901895877219	0.5
1e-17	494	0.0219380051514344	0.148660848630755	0.5
1e-18	459	0.0203836930455636	0.138128197411977	0.5
1e-19	430	0.0190958344435563	0.129401143544989	0.5
1e-20	398	0.0176747490896172	0.119771291002107	0.5
1e-21	375	0.0166533439914735	0.112849834486909	0.5
1e-22	347	0.0154098943067768	0.104423713511887	0.5
1e-23	329	0.0146105337951861	0.0990069214565152	0.5
1e-24	311	0.0138111732835953	0.0935901294011435	0.5
1e-25	298	0.0132338573585576	0.0896780018055973	0.5
1e-26	284	0.0126121325162093	0.0854649413180861	0.5
1e-27	271	0.0120348165911715	0.0815528137225399	0.5
1e-28	259	0.0115019095834444	0.0779416190189588	0.5
1e-29	244	0.0108357758237854	0.0734276256394824	0.5
1e-30	236	0.0104805044853006	0.0710201625037617	0.5
1	8411	0.373523403499423	1	0.1
0.1	7663	0.340305533351097	0.911068838425871	0.1
0.05	7537	0.334710009769962	0.896088455593865	0.1
0.01	7258	0.322319921840306	0.862917607894424	0.1
0.00102040816326531	6882	0.305622168931521	0.818214243252883	0.1
0.001	6875	0.305311306510347	0.817381999762216	0.1
1e-04	6343	0.28168576250111	0.754131494471525	0.1
1e-05	5338	0.237054800603961	0.634645107597194	0.1
1e-06	4223	0.187538857802647	0.502080608726667	0.1
1e-07	3348	0.148681055155875	0.398050172393294	0.1
1e-08	2781	0.123501199040767	0.330638449649269	0.1
1e-09	2369	0.105204725108802	0.281654975627155	0.1
1e-10	2062	0.0915711874944489	0.245155153965046	0.1
1e-11	1818	0.0807354116706635	0.216145523718939	0.1
1e-12	1594	0.07078781419309	0.189513732017596	0.1
1e-13	1431	0.0635491606714628	0.170134347877779	0.1
1e-14	1253	0.0556443733901767	0.14897158482939	0.1
1e-15	1110	0.0492938982147615	0.131970039234336	0.1
1e-16	1000	0.044408917310596	0.118891927238141	0.1
1e-17	915	0.0406341593391953	0.108786113422899	0.1
1e-18	842	0.0373923083755218	0.100107002734514	0.1
1e-19	789	0.0350386357580602	0.0938057305908929	0.1
1e-20	734	0.0325961453059774	0.0872666745927951	0.1
1e-21	669	0.0297095656807887	0.079538699322316	0.1
1e-22	621	0.0275779376498801	0.0738318868148853	0.1
1e-23	587	0.0260680344613198	0.0697895612887885	0.1
1e-24	550	0.0244249045208278	0.0653905599809773	0.1
1e-25	518	0.0230038191668887	0.0615860183093568	0.1
1e-26	499	0.0221600497379874	0.0593270716918321	0.1
1e-27	475	0.0210942357225331	0.0564736654381168	0.1
1e-28	449	0.0199396038724576	0.0533824753299251	0.1
1e-29	424	0.0188293809396927	0.0504101771489716	0.1
1e-30	413	0.0183408828492761	0.049102365949352	0.1
1	13876	0.61621813660183	1	0.01
0.1	12323	0.547251088018474	0.888080138368406	0.01
0.05	11999	0.532862598809841	0.864730469876045	0.01
0.01	11267	0.500355271338485	0.811977515134044	0.01
0.00102040816326531	10158	0.451105782041034	0.732055347362352	0.01
0.001	10146	0.450572875033307	0.731190544825598	0.01
1e-04	8586	0.381294964028777	0.618766215047564	0.01
1e-05	6971	0.309574562572164	0.502378206976074	0.01
1e-06	5542	0.246114219735323	0.399394638224272	0.01
1e-07	4447	0.19748645528022	0.32048140674546	0.01
1e-08	3706	0.164579447553069	0.267079850100894	0.01
1e-09	3143	0.139577227107203	0.226506197751513	0.01
1e-10	2744	0.121858069100275	0.197751513404439	0.01
1e-11	2424	0.107647215560885	0.17469011242433	0.01
1e-12	2142	0.0951239008792966	0.154367252810608	0.01
1e-13	1918	0.0851763034017231	0.138224272124532	0.01
1e-14	1693	0.075184297006839	0.122009224560392	0.01
1e-15	1527	0.06781241673328	0.11004612280196	0.01
1e-16	1389	0.0616839861444178	0.100100893629288	0.01
1e-17	1270	0.0563993249844569	0.0915249351398097	0.01
1e-18	1170	0.0519584332533973	0.0843182473335255	0.01
1e-19	1094	0.048583355537792	0.0788411646007495	0.01
1e-20	1016	0.0451194599875655	0.0732199481118478	0.01
1e-21	942	0.0418332001065814	0.0678869991351975	0.01
1e-22	883	0.0392130739852562	0.0636350533294898	0.01
1e-23	827	0.0367261746158629	0.0595993081579706	0.01
1e-24	775	0.0344169109157119	0.0558518304987028	0.01
1e-25	736	0.0326849631405986	0.0530412222542519	0.01
1e-26	704	0.0312638777866596	0.050735082156241	0.01
1e-27	673	0.0298872013500311	0.0485010089362929	0.01
1e-28	635	0.0281996624922284	0.0457624675699049	0.01
1e-29	604	0.0268229860556	0.0435283943499568	0.01
1e-30	584	0.025934807709388	0.0420870567886999	0.01
