threshold	n	prop_a	prop_r	enloc
1	138890	1	1	0
0.1	137829	0.992360861113111	0.992360861113111	0
0.05	137180	0.987688098495212	0.987688098495212	0
0.01	119692	0.861775505795954	0.861775505795954	0
0.00102040816326531	74511	0.536474908200734	0.536474908200734	0
0.001	74185	0.534127726978184	0.534127726978184	0
1e-04	48326	0.347944416444668	0.347944416444668	0
1e-05	35395	0.25484196126431	0.25484196126431	0
1e-06	27550	0.198358413132695	0.198358413132695	0
1e-07	22469	0.161775505795954	0.161775505795954	0
1e-08	18915	0.136186910504716	0.136186910504716	0
1e-09	16066	0.115674274605803	0.115674274605803	0
1e-10	14002	0.100813593491252	0.100813593491252	0
1e-11	12216	0.0879544963640291	0.0879544963640291	0
1e-12	10836	0.0780185758513932	0.0780185758513932	0
1e-13	9630	0.0693354453164375	0.0693354453164375	0
1e-14	8600	0.0619195046439628	0.0619195046439628	0
1e-15	7743	0.0557491540067679	0.0557491540067679	0
1e-16	7008	0.0504571963424293	0.0504571963424293	0
1e-17	6403	0.0461012311901505	0.0461012311901505	0
1e-18	5894	0.0424364605083159	0.0424364605083159	0
1e-19	5500	0.0395996832025344	0.0395996832025344	0
1e-20	5179	0.0372885016919865	0.0372885016919865	0
1e-21	4838	0.0348333213334293	0.0348333213334293	0
1e-22	4567	0.0328821369429045	0.0328821369429045	0
1e-23	4277	0.0307941536467708	0.0307941536467708	0
1e-24	4041	0.0290949672402621	0.0290949672402621	0
1e-25	3794	0.0273165814673483	0.0273165814673483	0
1e-26	3591	0.0258549931600547	0.0258549931600547	0
1e-27	3378	0.0243214054287566	0.0243214054287566	0
1e-28	3202	0.0230542155662755	0.0230542155662755	0
1e-29	3047	0.021938224494204	0.021938224494204	0
1e-30	2905	0.0209158326733386	0.0209158326733386	0
1	2766	0.0199150406796746	1	0.5
0.1	2594	0.0186766505867953	0.937816341287057	0.5
0.05	2570	0.0185038519691842	0.929139551699205	0.5
0.01	2519	0.0181366549067607	0.910701373825018	0.5
0.00102040816326531	2456	0.0176830585355317	0.887924801156905	0.5
