tissue	phenotype	delta_0	ldscore_slope	var_err	var_beta_gene	var_beta_gene_null
Adipose_Subcutaneous	UKB_1160_Sleep_duration	0.00314037665847403	1.66168949777554e-06	8.08441713726549e-06	4.45700136349866e-06	3.69922735910318e-07
Adipose_Subcutaneous	UKB_1180_Morning_or_evening_person_chronotype	0.00337777766480308	1.04242057266396e-06	9.06391080338951e-06	5.04395792989888e-06	1.35460896440526e-07
Adipose_Subcutaneous	UKB_1200_Sleeplessness_or_insomnia	0.00319066715149892	3.10781183291881e-07	7.474913681957e-06	3.09529738123655e-06	1.57630180931984e-07
Adipose_Subcutaneous	UKB_1807_Fathers_age_at_death	0.00296752262875801	4.41820839110932e-07	6.39049411397584e-06	2.9424822593058e-06	1.45725422241108e-21
Adipose_Subcutaneous	UKB_20016_Fluid_intelligence_score	0.00310091405425146	2.12333158625528e-06	8.28419645957313e-06	5.92865862283876e-06	1.11835862265676e-06
Adipose_Subcutaneous	UKB_20022_Birth_weight	0.00348444002514175	4.5567787807452e-07	9.24262241366644e-06	4.72957960472041e-06	2.00624488777377e-07
Adipose_Subcutaneous	UKB_20127_Neuroticism_score	0.00306217831052321	2.41891085476624e-06	8.68020788693368e-06	6.16676893928233e-06	5.68988881800362e-08
Adipose_Subcutaneous	UKB_21001_Body_mass_index_BMI	0.00410737639443709	2.60044683041048e-06	1.60456907279642e-05	9.89876622898935e-06	1.62792620882524e-06
Adipose_Subcutaneous	UKB_23099_Body_fat_percentage	0.00404285711840069	2.50640967393723e-06	1.52004079127775e-05	8.90348747108972e-06	0
Adipose_Subcutaneous	UKB_3526_Mothers_age_at_death	0.00290951174035629	2.89720680217849e-07	6.09222154716509e-06	3.99243026733609e-06	0
Adipose_Subcutaneous	UKB_50_Standing_height	0.00497179524264053	7.63568807255455e-06	3.76605586553572e-05	2.55456352866436e-05	1.95674904251034e-06
Adipose_Subcutaneous	UKB_20002_1094_self_reported_deep_venous_thrombosis_dvt	0.0028978052123244	-9.04562922722603e-08	6.06125676428397e-06	5.16206362052369e-06	1.56745471796682e-21
Adipose_Subcutaneous	UKB_20002_1111_self_reported_asthma	0.0029450404253263	3.58912798547957e-06	1.03015021471886e-05	1.39342806490104e-05	6.79570367576192e-20
Adipose_Subcutaneous	UKB_20002_1154_self_reported_irritable_bowel_syndrome	0.00280917559666331	1.58578787384544e-07	5.69011781141695e-06	3.48084303888998e-06	2.53309118088115e-17
Adipose_Subcutaneous	UKB_20002_1222_self_reported_type_1_diabetes	0.00253389683855568	1.60275233684064e-06	6.14615863564242e-06	6.43571217637984e-06	6.76648417582284e-07
Adipose_Subcutaneous	UKB_20002_1223_self_reported_type_2_diabetes	0.00288359310541144	-4.12198188829902e-07	5.77637347631398e-06	2.8355453704011e-06	2.24518875063542e-07
Adipose_Subcutaneous	UKB_20002_1225_self_reported_hyperthyroidism_or_thyrotoxicosis	0.00225906568213711	5.45418409565552e-06	1.11138089173431e-05	1.48819565681132e-05	1.90105249265924e-06
