tissue phenotype rcp_threshold concordance_pearson concordance_spearman n ld_median ld_1st_quartile ld_3rd_quartile
Adipose_Subcutaneous Astle_et_al_2016_Eosinophil_counts 0 0.165081469616427 0.17372996027608 6510 0.0484815973122468 0.0102954945521841 0.176362565403887
Adipose_Subcutaneous Astle_et_al_2016_Eosinophil_counts 0.01 0.391958868676978 0.407946376357212 221 0.0911597170812123 0.0133746381494946 0.283701685864716
Adipose_Subcutaneous Astle_et_al_2016_Eosinophil_counts 0.05 0.440974192010592 0.422346958623948 60 0.0923028342446786 0.0119534173297609 0.300113450647761
Adipose_Subcutaneous Astle_et_al_2016_Eosinophil_counts 0.1 0.416960121132965 0.376833740831296 34 0.081381839783054 0.0082771487923497 0.292051676108426
Adipose_Subcutaneous Astle_et_al_2016_Eosinophil_counts 0.2 0.660427451213065 0.64025974025974 21 0.108788982055039 0.00770027987826314 0.313327482625844
Adipose_Subcutaneous Astle_et_al_2016_Eosinophil_counts 0.5 0.663188091413712 0.642857142857143 8 0.146556318840827 0.0555599912264364 0.366958988039305
Adipose_Visceral_Omentum Astle_et_al_2016_Eosinophil_counts 0 0.128944641561421 0.149630186175619 4878 0.0459944256001864 0.00946141239731955 0.165807165302106
Adipose_Visceral_Omentum Astle_et_al_2016_Eosinophil_counts 0.01 0.290558955219954 0.317533051087807 174 0.0684871403949794 0.0161026102657685 0.19557820965218
Adipose_Visceral_Omentum Astle_et_al_2016_Eosinophil_counts 0.05 0.355400904467321 0.345114031113125 43 0.0648790892534086 0.020477393899118 0.186119763886965
Adipose_Visceral_Omentum Astle_et_al_2016_Eosinophil_counts 0.1 0.281910686592855 0.251574048727074 28 0.0539813318956679 0.0140128383435744 0.112953729593394
Adipose_Visceral_Omentum Astle_et_al_2016_Eosinophil_counts 0.2 0.119989799823288 0.126373626373626 13 0.0610233445786953 0.0237282031919291 0.120588116655655
Adipose_Visceral_Omentum Astle_et_al_2016_Eosinophil_counts 0.5 1 1 2 0.0575128858394619 0.0406205445156955 0.0744052271632282
Adrenal_Gland Astle_et_al_2016_Eosinophil_counts 0 0.121471969770979 0.144181099234831 2692 0.048115040109344 0.0109264363097537 0.151409832300842
Adrenal_Gland Astle_et_al_2016_Eosinophil_counts 0.01 0.349947354105159 0.34594556579225 80 0.072981913438922 0.019908005306282 0.154159622286399
Adrenal_Gland Astle_et_al_2016_Eosinophil_counts 0.05 0.661218296751196 0.621052631578947 19 0.107973201378095 0.052768084714645 0.129338607808807
Adrenal_Gland Astle_et_al_2016_Eosinophil_counts 0.1 0.824170163999841 0.607142857142857 7 0.0672670148354162 0.052768084714645 0.101622545300894
Adrenal_Gland Astle_et_al_2016_Eosinophil_counts 0.2 -0.44602256102659 -0.2 4 0.0774562602953677 0.0457310676340779 0.110848131792564
Adrenal_Gland Astle_et_al_2016_Eosinophil_counts 0.5 -1 -1 2 0.0750397571382426 0.0585730350183164 0.0915064792581688
Artery_Aorta Astle_et_al_2016_Eosinophil_counts 0 0.154003223394817 0.191446010147146 5341 0.0381240376061096 0.00812726268996218 0.152186561505677
Artery_Aorta Astle_et_al_2016_Eosinophil_counts 0.01 0.407003349996683 0.417394963775608 149 0.0631635149112296 0.0145888121972737 0.206795735193776
Artery_Aorta Astle_et_al_2016_Eosinophil_counts 0.05 0.537141657392329 0.516797528639464 36 0.0650998270683448 0.01320489776192 0.186362048695563
Artery_Aorta Astle_et_al_2016_Eosinophil_counts 0.1 0.628978993803897 0.492982456140351 19 0.0660896401854856 0.0129530003962084 0.152852770811521
Artery_Aorta Astle_et_al_2016_Eosinophil_counts 0.2 0.556251289419864 0.518181818181818 11 0.0501198350113206 0.00727035644120206 0.106442918129671
Artery_Aorta Astle_et_al_2016_Eosinophil_counts 0.5 -0.710749563413095 -0.5 3 0.0912975684869946 0.0460553654089725 0.238392092085739
