phenotype	tissue	gene	gene_name	pvalue	rcp
Astle_et_al_2016_Eosinophil_counts	Adipose_Subcutaneous	ENSG00000077420.15	APBB1IP	4.27994928389223e-22	0.728
Astle_et_al_2016_Eosinophil_counts	Adipose_Subcutaneous	ENSG00000125755.18	SYMPK	5.18038540289429e-20	0.754
Astle_et_al_2016_Eosinophil_counts	Adipose_Subcutaneous	ENSG00000149923.13	PPP4C	1.00700002579843e-17	0.812
Astle_et_al_2016_Eosinophil_counts	Adipose_Subcutaneous	ENSG00000030110.12	BAK1	1.27837661830734e-17	0.959
Astle_et_al_2016_Eosinophil_counts	Adipose_Subcutaneous	ENSG00000149922.10	TBX6	8.55446191001152e-17	0.992
Astle_et_al_2016_Eosinophil_counts	Adipose_Subcutaneous	ENSG00000090238.11	YPEL3	7.94253404199073e-16	0.613
Astle_et_al_2016_Eosinophil_counts	Adipose_Subcutaneous	ENSG00000152804.10	HHEX	1.07105264639231e-13	0.898
Astle_et_al_2016_Eosinophil_counts	Adipose_Subcutaneous	ENSG00000221869.4	CEBPD	6.26699296002863e-13	0.655
Astle_et_al_2016_Eosinophil_counts	Adipose_Subcutaneous	ENSG00000100365.14	NCF4	4.5462941409263e-12	0.991
Astle_et_al_2016_Eosinophil_counts	Adipose_Subcutaneous	ENSG00000168496.3	FEN1	5.61799915416812e-11	0.594
Astle_et_al_2016_Eosinophil_counts	Adipose_Subcutaneous	ENSG00000281162.2	LINC01127	3.63240236209532e-10	0.915
Astle_et_al_2016_Eosinophil_counts	Adipose_Subcutaneous	ENSG00000149485.18	FADS1	6.78199287744204e-10	0.688
Astle_et_al_2016_Eosinophil_counts	Adipose_Subcutaneous	ENSG00000167468.16	GPX4	3.42627635108286e-09	0.955
Astle_et_al_2016_Eosinophil_counts	Adipose_Subcutaneous	ENSG00000128604.19	IRF5	2.16500271466827e-08	0.908
Astle_et_al_2016_Eosinophil_counts	Adipose_Visceral_Omentum	ENSG00000077420.15	APBB1IP	5.63602599222216e-22	0.703
Astle_et_al_2016_Eosinophil_counts	Adipose_Visceral_Omentum	ENSG00000132510.10	KDM6B	7.45697444070521e-21	0.825
Astle_et_al_2016_Eosinophil_counts	Adipose_Visceral_Omentum	ENSG00000125755.18	SYMPK	2.08448059061653e-20	0.761
Astle_et_al_2016_Eosinophil_counts	Adipose_Visceral_Omentum	ENSG00000228889.6	UBAC2-AS1	2.36599781971857e-18	0.557
Astle_et_al_2016_Eosinophil_counts	Adipose_Visceral_Omentum	ENSG00000149922.10	TBX6	3.47230887569292e-18	0.993
Astle_et_al_2016_Eosinophil_counts	Adipose_Visceral_Omentum	ENSG00000030110.12	BAK1	5.55800728857118e-17	0.915
Astle_et_al_2016_Eosinophil_counts	Adipose_Visceral_Omentum	ENSG00000134987.11	WDR36	4.53504077370381e-14	0.973
Astle_et_al_2016_Eosinophil_counts	Adipose_Visceral_Omentum	ENSG00000221869.4	CEBPD	6.26699296002868e-13	0.919
Astle_et_al_2016_Eosinophil_counts	Adipose_Visceral_Omentum	ENSG00000100365.14	NCF4	1.36517553706613e-10	0.987
Astle_et_al_2016_Eosinophil_counts	Adipose_Visceral_Omentum	ENSG00000167468.16	GPX4	4.55131897660385e-10	0.953
Astle_et_al_2016_Eosinophil_counts	Adipose_Visceral_Omentum	ENSG00000103066.12	PLA2G15	6.10999748720632e-10	0.909
Astle_et_al_2016_Eosinophil_counts	Adipose_Visceral_Omentum	ENSG00000184221.12	OLIG1	7.90700097335774e-10	0.694
Astle_et_al_2016_Eosinophil_counts	Adipose_Visceral_Omentum	ENSG00000281162.2	LINC01127	8.45062484351514e-10	0.809
Astle_et_al_2016_Eosinophil_counts	Adrenal_Gland	ENSG00000077420.15	APBB1IP	7.29894866268076e-21	0.667
Astle_et_al_2016_Eosinophil_counts	Adrenal_Gland	ENSG00000125755.18	SYMPK	6.62008818474246e-17	0.705
Astle_et_al_2016_Eosinophil_counts	Adrenal_Gland	ENSG00000030110.12	BAK1	2.65130497219675e-15	0.928
Astle_et_al_2016_Eosinophil_counts	Adrenal_Gland	ENSG00000152804.10	HHEX	5.02334914082387e-15	0.921
Astle_et_al_2016_Eosinophil_counts	Adrenal_Gland	ENSG00000276791.1	CTD-2270P14.5	1.8980028930922e-14	0.697
Astle_et_al_2016_Eosinophil_counts	Adrenal_Gland	ENSG00000221869.4	CEBPD	6.26699296002868e-13	0.555
Astle_et_al_2016_Eosinophil_counts	Adrenal_Gland	ENSG00000100365.14	NCF4	1.46269500987213e-12	0.989
Astle_et_al_2016_Eosinophil_counts	Adrenal_Gland	ENSG00000281162.2	LINC01127	2.02841529737838e-11	0.55
Astle_et_al_2016_Eosinophil_counts	Adrenal_Gland	ENSG00000077238.13	IL4R	4.15143835668345e-11	0.776
