phenotype	tissue	intron	pvalue	rcp
Astle_et_al_2016_Eosinophil_counts	Adipose_Subcutaneous	intron_15_79961174_79970700	2.11814870899498e-20	0.515
Astle_et_al_2016_Eosinophil_counts	Adipose_Subcutaneous	intron_10_26496391_26496908	7.47687730397115e-17	0.511
Astle_et_al_2016_Eosinophil_counts	Adipose_Subcutaneous	intron_8_144103225_144103553	8.75798951229875e-16	0.632
Astle_et_al_2016_Eosinophil_counts	Adipose_Subcutaneous	intron_8_144103225_144104025	1.72993912019036e-15	0.807
Astle_et_al_2016_Eosinophil_counts	Adipose_Subcutaneous	intron_9_91214425_91217277	2.89200240037118e-14	0.552
Astle_et_al_2016_Eosinophil_counts	Adipose_Subcutaneous	intron_1_8422807_8465925	2.12699645286334e-12	0.707
Astle_et_al_2016_Eosinophil_counts	Adipose_Subcutaneous	intron_8_118928929_118932931	1.09878325202726e-09	0.849
Astle_et_al_2016_Eosinophil_counts	Adipose_Subcutaneous	intron_9_136432586_136432956	2.10898320542645e-09	0.777
Astle_et_al_2016_Eosinophil_counts	Adipose_Subcutaneous	intron_9_136432583_136432956	6.41346978112582e-09	0.777
Astle_et_al_2016_Eosinophil_counts	Adipose_Subcutaneous	intron_11_57415106_57417748	2.64800357708046e-08	0.683
Astle_et_al_2016_Eosinophil_counts	Adipose_Subcutaneous	intron_11_57416670_57417748	2.64800357708048e-08	0.815
Astle_et_al_2016_Eosinophil_counts	Adipose_Visceral_Omentum	intron_8_144103225_144103553	1.44287310522522e-15	0.631
Astle_et_al_2016_Eosinophil_counts	Adipose_Visceral_Omentum	intron_8_144103225_144103847	1.87265802261716e-14	0.852
Astle_et_al_2016_Eosinophil_counts	Adipose_Visceral_Omentum	intron_9_91214425_91217277	2.73200105991757e-14	0.506
Astle_et_al_2016_Eosinophil_counts	Adipose_Visceral_Omentum	intron_3_112333224_112344962	8.45321119702936e-14	0.675
Astle_et_al_2016_Eosinophil_counts	Adipose_Visceral_Omentum	intron_3_112340983_112344962	8.22439902340278e-13	0.669
Astle_et_al_2016_Eosinophil_counts	Adipose_Visceral_Omentum	intron_9_136432586_136432956	1.77899777950269e-09	0.734
Astle_et_al_2016_Eosinophil_counts	Adipose_Visceral_Omentum	intron_9_136432583_136432956	3.37624519779854e-09	0.733
Astle_et_al_2016_Eosinophil_counts	Adipose_Visceral_Omentum	intron_9_136433279_136434037	1.03634527585812e-08	0.581
Astle_et_al_2016_Eosinophil_counts	Adrenal_Gland	intron_8_144103225_144103553	8.285755905623e-16	0.672
Astle_et_al_2016_Eosinophil_counts	Adrenal_Gland	intron_8_144103225_144103847	5.05270322613332e-15	0.75
Astle_et_al_2016_Eosinophil_counts	Adrenal_Gland	intron_9_136432586_136432956	5.43171737440374e-09	0.715
Astle_et_al_2016_Eosinophil_counts	Adrenal_Gland	intron_9_136432583_136432956	8.07315259606855e-09	0.71
Astle_et_al_2016_Eosinophil_counts	Artery_Aorta	intron_8_144103225_144103553	8.75798951229894e-16	0.727
Astle_et_al_2016_Eosinophil_counts	Artery_Aorta	intron_8_144103225_144104025	1.06635147648784e-15	0.685
Astle_et_al_2016_Eosinophil_counts	Artery_Aorta	intron_3_112333224_112340902	6.58599849472595e-14	0.705
Astle_et_al_2016_Eosinophil_counts	Artery_Aorta	intron_3_112333224_112344962	1.04269483924053e-13	0.717
Astle_et_al_2016_Eosinophil_counts	Artery_Aorta	intron_1_8422807_8424788	2.63895170508567e-12	0.569
Astle_et_al_2016_Eosinophil_counts	Artery_Aorta	intron_8_118930768_118932931	8.92499759705781e-10	0.849
Astle_et_al_2016_Eosinophil_counts	Artery_Aorta	intron_8_118928929_118932931	8.92499759705798e-10	0.809
Astle_et_al_2016_Eosinophil_counts	Artery_Aorta	intron_9_136432586_136432956	6.55879892416524e-09	0.752
Astle_et_al_2016_Eosinophil_counts	Artery_Aorta	intron_9_136432583_136432956	7.58239739914175e-09	0.752
Astle_et_al_2016_Eosinophil_counts	Artery_Coronary	intron_8_144103225_144104025	1.11297795311736e-15	0.64
Astle_et_al_2016_Eosinophil_counts	Artery_Coronary	intron_1_8422807_8424015	2.12699645286338e-12	0.639
Astle_et_al_2016_Eosinophil_counts	Artery_Coronary	intron_19_48954962_48956198	1.13200162402906e-09	0.52
Astle_et_al_2016_Eosinophil_counts	Artery_Coronary	intron_9_136432583_136432956	5.32500307867276e-09	0.693
Astle_et_al_2016_Eosinophil_counts	Artery_Coronary	intron_9_136432586_136432956	5.32500307867276e-09	0.66
Astle_et_al_2016_Eosinophil_counts	Artery_Coronary	intron_9_136433279_136434037	8.57491952227421e-09	0.601
Astle_et_al_2016_Eosinophil_counts	Artery_Tibial	intron_3_112333224_112344962	6.58599849472602e-14	0.658
Astle_et_al_2016_Eosinophil_counts	Artery_Tibial	intron_3_112340983_112344962	8.94574469404051e-13	0.627
Astle_et_al_2016_Eosinophil_counts	Artery_Tibial	intron_19_48954962_48955687	1.03800162146297e-10	0.534
Astle_et_al_2016_Eosinophil_counts	Artery_Tibial	intron_8_118928929_118932931	8.92499759705788e-10	0.841
Astle_et_al_2016_Eosinophil_counts	Artery_Tibial	intron_8_118930768_118932931	8.92499759705798e-10	0.788
Astle_et_al_2016_Eosinophil_counts	Artery_Tibial	intron_9_136432583_136432956	1.86895712807211e-09	0.714
Astle_et_al_2016_Eosinophil_counts	Artery_Tibial	intron_9_136432586_136432956	6.05582897004353e-09	0.682
Astle_et_al_2016_Eosinophil_counts	Artery_Tibial	intron_9_136433075_136433155	7.37432577447787e-09	0.579
Astle_et_al_2016_Eosinophil_counts	Brain_Anterior_cingulate_cortex_BA24	intron_9_136432583_136432956	1.77899777950269e-09	0.516
Astle_et_al_2016_Eosinophil_counts	Brain_Anterior_cingulate_cortex_BA24	intron_9_136432586_136432956	2.49805750153369e-09	0.516
Astle_et_al_2016_Eosinophil_counts	Brain_Caudate_basal_ganglia	intron_12_57099903_57099996	1.80599466022615e-17	0.747
Astle_et_al_2016_Eosinophil_counts	Brain_Cerebellar_Hemisphere	intron_12_904494_907847	1.04900098093955e-10	0.539
Astle_et_al_2016_Eosinophil_counts	Brain_Cerebellar_Hemisphere	intron_12_904494_906317	1.4262194520867e-10	0.695
Astle_et_al_2016_Eosinophil_counts	Brain_Cerebellar_Hemisphere	intron_16_68275249_68287746	1.10899995262825e-09	0.617
Astle_et_al_2016_Eosinophil_counts	Brain_Cerebellar_Hemisphere	intron_9_136432583_136432956	1.77899777950269e-09	0.651
Astle_et_al_2016_Eosinophil_counts	Brain_Cerebellar_Hemisphere	intron_9_136432586_136432956	1.80480077939585e-09	0.651
Astle_et_al_2016_Eosinophil_counts	Brain_Cerebellum	intron_8_144103225_144103553	1.85335514637787e-16	0.547
Astle_et_al_2016_Eosinophil_counts	Brain_Cerebellum	intron_2_8302425_8312726	8.90102484366509e-16	0.505
Astle_et_al_2016_Eosinophil_counts	Brain_Cerebellum	intron_8_144103225_144103847	1.33980594822781e-15	0.603
Astle_et_al_2016_Eosinophil_counts	Brain_Cerebellum	intron_11_61803111_61803363	3.26132175269603e-12	0.553
Astle_et_al_2016_Eosinophil_counts	Brain_Cerebellum	intron_12_904494_907847	1.04900098093955e-10	0.692
Astle_et_al_2016_Eosinophil_counts	Brain_Cerebellum	intron_12_904494_906317	1.50173132663149e-10	0.716
Astle_et_al_2016_Eosinophil_counts	Brain_Cerebellum	intron_9_136432583_136432956	1.77899777950269e-09	0.673
Astle_et_al_2016_Eosinophil_counts	Brain_Cerebellum	intron_9_136432586_136432956	6.01999983755496e-09	0.672
Astle_et_al_2016_Eosinophil_counts	Brain_Cortex	intron_12_57099903_57099996	1.80599466022615e-17	0.875
Astle_et_al_2016_Eosinophil_counts	Brain_Cortex	intron_11_61803111_61803363	3.02799870580348e-12	0.708
Astle_et_al_2016_Eosinophil_counts	Brain_Cortex	intron_9_136432583_136432956	1.77899777950269e-09	0.677
Astle_et_al_2016_Eosinophil_counts	Brain_Cortex	intron_9_136432586_136432956	2.49347014668428e-09	0.682
Astle_et_al_2016_Eosinophil_counts	Brain_Frontal_Cortex_BA9	intron_11_61803111_61803363	3.02799870580348e-12	0.714
Astle_et_al_2016_Eosinophil_counts	Brain_Frontal_Cortex_BA9	intron_11_61790602_61792556	7.49730345170283e-11	0.522
Astle_et_al_2016_Eosinophil_counts	Brain_Frontal_Cortex_BA9	intron_9_136432583_136432956	6.08719634557374e-09	0.68
Astle_et_al_2016_Eosinophil_counts	Brain_Frontal_Cortex_BA9	intron_9_136432586_136432956	6.22240534368639e-09	0.679
Astle_et_al_2016_Eosinophil_counts	Brain_Hypothalamus	intron_8_144103225_144103847	3.74326979194184e-16	0.659
Astle_et_al_2016_Eosinophil_counts	Brain_Hypothalamus	intron_8_144103225_144103553	8.75798951229894e-16	0.532
Astle_et_al_2016_Eosinophil_counts	Brain_Hypothalamus	intron_9_136432583_136432956	1.82110145926293e-09	0.518
Astle_et_al_2016_Eosinophil_counts	Brain_Hypothalamus	intron_9_136432586_136432956	6.01999983755496e-09	0.517
Astle_et_al_2016_Eosinophil_counts	Brain_Nucleus_accumbens_basal_ganglia	intron_9_136432583_136432956	1.77899777950269e-09	0.578
Astle_et_al_2016_Eosinophil_counts	Brain_Nucleus_accumbens_basal_ganglia	intron_9_136432586_136432956	4.32579216921924e-09	0.576
Astle_et_al_2016_Eosinophil_counts	Brain_Putamen_basal_ganglia	intron_8_144103225_144104025	8.75798951229894e-16	0.522
Astle_et_al_2016_Eosinophil_counts	Brain_Putamen_basal_ganglia	intron_8_144103225_144103553	8.75798951229894e-16	0.571
Astle_et_al_2016_Eosinophil_counts	Brain_Putamen_basal_ganglia	intron_9_136432586_136432956	1.86384135205272e-09	0.59
