tissue	phenotype	delta_0	var_err	var_beta_gene	var_beta_gene_null	var_gamma	sum_var_X
Adipose_Subcutaneous	SSGAC_Depressive_Symptoms	0.004014079990377959	1.0786941146928797e-5	1.871233943520767e-5	0	0.3525630553733648	9066.357085702783
Adipose_Subcutaneous	SSGAC_Education_Years_Pooled	0.0038369730409027253	1.021840651491213e-5	1.5386942590045948e-5	2.534809795443391e-19	0.34282351598788185	9071.686407710722
Adipose_Subcutaneous	MAGIC_ln_FastingInsulin	0.008338677404055297	4.2198714084783375e-5	7.353752164727366e-5	3.701958243800286e-7	0.366253083678186	9082.323308502935
Adipose_Subcutaneous	Astle_et_al_2016_Granulocyte_count	0.006121141455329384	4.0310935780219425e-5	3.678727373252319e-5	2.996672947756475e-7	0.36650137704096075	9081.82444396394
Adipose_Subcutaneous	Astle_et_al_2016_Eosinophil_counts	0.0060282958235579895	4.009216820668538e-5	2.9264838082907573e-5	2.459841554152147e-18	0.3664599930108002	9081.86289170394
Adipose_Subcutaneous	MAGNETIC_HDL.C	0.012966543892192388	1.2352864596601522e-4	2.7951966157385716e-4	0	0.3666073093130533	8994.635930672495
Adipose_Subcutaneous	MAGNETIC_LDL.C	0.015734472176775538	1.774406059099185e-4	4.5554860720036915e-4	0	0.366593078643878	8988.988531233817
Adipose_Subcutaneous	MAGNETIC_CH2.DB.ratio	0.011381401070524837	1.033128554755735e-4	2.3730981429665796e-4	1.6277759888601894e-17	0.36640940532012656	8994.878799164368
Adipose_Subcutaneous	MAGNETIC_IDL.TG	0.012337973583147444	1.0744018071081146e-4	3.0345962506561186e-4	4.754945679328311e-22	0.3666346957003771	8997.507342501416
Adipose_Subcutaneous	UKB_1200_Sleeplessness_or_insomnia	0.0034095470404302084	7.588246132709354e-6	1.554725065289451e-5	0	0.3667046791614727	9090.483110272284
Adipose_Subcutaneous	UKB_1807_Fathers_age_at_death	0.003770257307116598	9.126933204604502e-6	1.670361730838507e-5	6.128662498785567e-19	0.3666919617654312	9090.483110272284
Adipose_Subcutaneous	UKB_20002_1464_self_reported_rheumatoid_arthritis	0.003270296554432495	1.2423431108176155e-5	1.0978934200383156e-5	1.1744299819626858e-7	0.3667065291769982	9090.483110272284
Adipose_Subcutaneous	UKB_20002_1226_self_reported_hypothyroidism_or_myxoedema	0.0039578597358737935	2.0067405544080186e-5	1.745190697651127e-5	1.0928862828470029e-18	0.36670406939632483	9090.483110272284
Adipose_Subcutaneous	UKB_6152_5_diagnosed_by_doctor_Blood_clot_in_the_leg_DVT	0.0031796804483740495	6.675127274653775e-6	1.2949474968631343e-5	5.43383346814675e-22	0.36670440676870947	9090.483110272284
