phenotype	id	present
EGG_BMI_HapMapImputed	http://www.ncbi.nlm.nih.gov/pubmed/26604143	NA
ADIPOGen_Adiponectin	http://www.ncbi.nlm.nih.gov/pubmed/22479202	NA
CKDGen_Chronic_Kidney_Disease	http://www.ncbi.nlm.nih.gov/pubmed/24029420	NA
EGG_BL	http://www.ncbi.nlm.nih.gov/pubmed/25281659	NA
EGG_Pubertal_growth_10F	http://www.ncbi.nlm.nih.gov/pubmed/23449627	NA
EGG_Pubertal_growth_12M	http://www.ncbi.nlm.nih.gov/pubmed/23449627	NA
GPC-NEO-NEUROTICISM	http://www.ncbi.nlm.nih.gov/pubmed/21173776	NA
HRGene_HeartRate	https://www.ncbi.nlm.nih.gov/pubmed/23583979	NA
DIAGRAM_T2D_TRANS_ETHNIC	http://www.ncbi.nlm.nih.gov/pubmed/22885922	NA
ISGC_Malik_2016_METASTROKE_all_strokes	https://www.ncbi.nlm.nih.gov/pmc/articles/PMC4818561/	NA
GABRIEL_Asthma	http://www.ncbi.nlm.nih.gov/pubmed/17611496	NA
tag.evrsmk.tbl	http://www.ncbi.nlm.nih.gov/pubmed/20418890	NA
GIANT_2017_BMI_Active_EUR	NA	NA
GIANT_2015_BMI_EUR	http://www.ncbi.nlm.nih.gov/pubmed/25673413	NA
GIANT_HIP_Combined_EUR	http://www.ncbi.nlm.nih.gov/pubmed/25673412	NA
GIANT_WC_Combined_EUR	http://www.ncbi.nlm.nih.gov/pubmed/25673412	NA
GIANT_WHR_Combined_EUR	http://www.ncbi.nlm.nih.gov/pubmed/25673412	NA
GLGC_Mc_HDL	http://www.ncbi.nlm.nih.gov/pubmed/24097068	NA
GLGC_Mc_LDL	http://www.ncbi.nlm.nih.gov/pubmed/24097068	NA
GLGC_Mc_TG	http://www.ncbi.nlm.nih.gov/pubmed/24097068	NA
ICBP_SystolicPressure	https://www.ncbi.nlm.nih.gov/pubmed/21909115	NA
ICBP_DiastolicPressure	https://www.ncbi.nlm.nih.gov/pubmed/21909115	NA
IMMUNOBASE_Celiac_disease_hg19	http://www.ncbi.nlm.nih.gov/pubmed/20190752	NA
IMMUNOBASE_Multiple_sclerosis_hg19	http://www.ncbi.nlm.nih.gov/pubmed/21833088	NA
PGC_ASD_2017_CEU	https://molecularautism.biomedcentral.com/articles/10.1186/s13229-017-0137-9	NA
TAGC_Asthma_EUR	https://www.ncbi.nlm.nih.gov/pubmed/29273806	NA
ILAE_Genetic_generalised_epilepsy	http://thelancet.com/journals/laneur/article/PIIS1474-4422(14)70171-1/fulltext	NA
