phenotype	n	b
Astle_et_al_2016_Neutrophil_count	339966	1.470735308825e-07
GLGC_Mc_TG	340101	1.47015151381501e-07
IBD.EUR.Crohns_Disease	340085	1.47022068012409e-07
UKB_20002_1261_self_reported_multiple_sclerosis	340101	1.47015151381501e-07
UKB_20002_1289_self_reported_schizophrenia	340101	1.47015151381501e-07
Astle_et_al_2016_Eosinophil_counts	339966	1.470735308825e-07
EGG_BW3_EUR	339810	1.47141049409964e-07
UKB_6152_8_diagnosed_by_doctor_Asthma	340101	1.47015151381501e-07
Astle_et_al_2016_Sum_basophil_neutrophil_counts	339966	1.470735308825e-07
GLGC_Mc_HDL	340098	1.47016448200225e-07
IBD.EUR.Ulcerative_Colitis	340085	1.47022068012409e-07
IMMUNOBASE_Celiac_disease_hg19	334048	1.49679088035252e-07
UKB_20002_1226_self_reported_hypothyroidism_or_myxoedema	340101	1.47015151381501e-07
UKB_20016_Fluid_intelligence_score	340101	1.47015151381501e-07
UKB_20022_Birth_weight	340101	1.47015151381501e-07
UKB_20002_1313_self_reported_ankylosing_spondylitis	340101	1.47015151381501e-07
UKB_3526_Mothers_age_at_death	340101	1.47015151381501e-07
UKB_20002_1265_self_reported_migraine	340101	1.47015151381501e-07
GIANT_2017_BMI_Active_EUR	340101	1.47015151381501e-07
ILAE_Genetic_generalised_epilepsy	340101	1.47015151381501e-07
UKB_6152_7_diagnosed_by_doctor_Blood_clot_in_the_lung	340101	1.47015151381501e-07
UKB_G43_Diagnoses_main_ICD10_G43_Migraine	340101	1.47015151381501e-07
ENIGMA_Intracraneal_Volume	340095	1.47017745041827e-07
UKB_50_Standing_height	340101	1.47015151381501e-07
UKB_20002_1243_self_reported_psychological_or_psychiatric_problem	340101	1.47015151381501e-07
UKB_1180_Morning_or_evening_person_chronotype	340101	1.47015151381501e-07
UKB_20002_1616_self_reported_insomnia	340101	1.47015151381501e-07
EAGLE_Eczema	340085	1.47022068012409e-07
BCAC_Overall_BreastCancer_EUR	340081	1.47023797271826e-07
Astle_et_al_2016_Sum_neutrophil_eosinophil_counts	339966	1.470735308825e-07
GIANT_WC_Combined_EUR	339843	1.47126761475152e-07
GIANT_HIP_Combined_EUR	339843	1.47126761475152e-07
UKB_20002_1111_self_reported_asthma	340101	1.47015151381501e-07
UKB_20002_1065_self_reported_hypertension	340101	1.47015151381501e-07
UKB_20002_1309_self_reported_osteoporosis	340101	1.47015151381501e-07
UKB_20002_1463_self_reported_ulcerative_colitis	340101	1.47015151381501e-07
UKB_6150_1_Vascular_or_heart_problems_diagnosed_by_doctor_Heart_attack	340101	1.47015151381501e-07
UKB_21001_Body_mass_index_BMI	340101	1.47015151381501e-07
UKB_2395_4_Hair_or_balding_pattern_Pattern_4	340101	1.47015151381501e-07
Astle_et_al_2016_Monocyte_count	339966	1.470735308825e-07
EGG_BL	340101	1.47015151381501e-07
UKB_1200_Sleeplessness_or_insomnia	340101	1.47015151381501e-07
UKB_20002_1262_self_reported_parkinsons_disease	340101	1.47015151381501e-07
UKB_23099_Body_fat_percentage	340101	1.47015151381501e-07
Jones_et_al_2016_SleepDuration	340062	1.47032011809611e-07
CNCR_Insomnia_all	340092	1.47019041906308e-07
CKDGen_Chronic_Kidney_Disease	340101	1.47015151381501e-07
UKB_20002_1225_self_reported_hyperthyroidism_or_thyrotoxicosis	340101	1.47015151381501e-07
UKB_20002_1453_self_reported_psoriasis	340101	1.47015151381501e-07
UKB_20002_1473_self_reported_high_cholesterol	340101	1.47015151381501e-07
ADIPOGen_Adiponectin	340098	1.47016448200225e-07
PGC_ADHD_EUR_2017	340101	1.47015151381501e-07
Astle_et_al_2016_Red_blood_cell_count	339966	1.470735308825e-07
Astle_et_al_2016_Sum_eosinophil_basophil_counts	339966	1.470735308825e-07
UKB_20002_1223_self_reported_type_2_diabetes	340101	1.47015151381501e-07
CARDIoGRAM_C4D_CAD_ADDITIVE	340085	1.47022068012409e-07
GIANT_2015_BMI_EUR	339843	1.47126761475152e-07
UKB_20002_1154_self_reported_irritable_bowel_syndrome	340101	1.47015151381501e-07
ICBP_SystolicPressure	340101	1.47015151381501e-07
GPC-NEO-NEUROTICISM	340101	1.47015151381501e-07
MAGIC_FastingGlucose	340101	1.47015151381501e-07
UKB_1160_Sleep_duration	340101	1.47015151381501e-07
UKB_20002_1461_self_reported_inflammatory_bowel_disease	340101	1.47015151381501e-07
UKB_6152_9_diagnosed_by_doctor_Hayfever_allergic_rhinitis_or_eczema	340101	1.47015151381501e-07
Astle_et_al_2016_High_light_scatter_reticulocyte_count	339966	1.470735308825e-07
IMMUNOBASE_Multiple_sclerosis_hg19	340097	1.47016880478217e-07
Astle_et_al_2016_Myeloid_white_cell_count	339966	1.470735308825e-07
