phenotype	n	b
EGG_BL	340936	1.46655090691508e-07
ADIPOGen_Adiponectin	340933	1.46656381165801e-07
CARDIoGRAM_C4D_CAD_ADDITIVE	340823	1.46703714244637e-07
Astle_et_al_2016_Monocyte_count	340553	1.4682002507686e-07
Astle_et_al_2016_Sum_eosinophil_basophil_counts	340553	1.4682002507686e-07
PGC_ADHD_EUR_2017	340931	1.46657241494613e-07
CKDGen_Chronic_Kidney_Disease	340936	1.46655090691508e-07
Jones_et_al_2016_SleepDuration	340701	1.4675624667964e-07
ICBP_SystolicPressure	340936	1.46655090691508e-07
CNCR_Insomnia_all	340717	1.46749355036585e-07
GPC-NEO-NEUROTICISM	340936	1.46655090691508e-07
UKB_1200_Sleeplessness_or_insomnia	340936	1.46655090691508e-07
UKB_20002_1262_self_reported_parkinsons_disease	340936	1.46655090691508e-07
Astle_et_al_2016_Red_blood_cell_count	340553	1.4682002507686e-07
UKB_6150_1_Vascular_or_heart_problems_diagnosed_by_doctor_Heart_attack	340936	1.46655090691508e-07
Astle_et_al_2016_Sum_neutrophil_eosinophil_counts	340553	1.4682002507686e-07
UKB_20002_1463_self_reported_ulcerative_colitis	340936	1.46655090691508e-07
GIANT_2015_BMI_EUR	340685	1.46763138970016e-07
BCAC_Overall_BreastCancer_EUR	340822	1.46704144685496e-07
UKB_21001_Body_mass_index_BMI	340936	1.46655090691508e-07
UKB_20002_1309_self_reported_osteoporosis	340936	1.46655090691508e-07
UKB_20002_1473_self_reported_high_cholesterol	340936	1.46655090691508e-07
UKB_20002_1065_self_reported_hypertension	340936	1.46655090691508e-07
UKB_20002_1225_self_reported_hyperthyroidism_or_thyrotoxicosis	340936	1.46655090691508e-07
GIANT_WC_Combined_EUR	340683	1.46764000551833e-07
EAGLE_Eczema	340823	1.46703714244637e-07
UKB_20002_1154_self_reported_irritable_bowel_syndrome	340936	1.46655090691508e-07
UKB_20002_1111_self_reported_asthma	340936	1.46655090691508e-07
UKB_20002_1453_self_reported_psoriasis	340936	1.46655090691508e-07
UKB_2395_4_Hair_or_balding_pattern_Pattern_4	340936	1.46655090691508e-07
GIANT_HIP_Combined_EUR	340685	1.46763138970016e-07
UKB_23099_Body_fat_percentage	340936	1.46655090691508e-07
UKB_20002_1223_self_reported_type_2_diabetes	340936	1.46655090691508e-07
GIANT_WHR_Combined_EUR	340684	1.4676356975966e-07
RA_OKADA_TRANS_ETHNIC	340928	1.46658532006758e-07
GEFOS_Forearm	340906	1.46667996456501e-07
GABRIEL_Asthma	340936	1.46655090691508e-07
EGG_Pubertal_growth_10F	340542	1.46824767576393e-07
UKB_20127_Neuroticism_score	340936	1.46655090691508e-07
MAGNETIC_HDL.C	340935	1.46655520847082e-07
DIAGRAM_T2D_TRANS_ETHNIC	340926	1.46659392360806e-07
SSGAC_Depressive_Symptoms	340831	1.467002708087e-07
EGG_BMI_HapMapImputed	340936	1.46655090691508e-07
MAGNETIC_CH2.DB.ratio	340935	1.46655520847082e-07
ISGC_Malik_2016_METASTROKE_all_strokes	340936	1.46655090691508e-07
Astle_et_al_2016_Platelet_count	340553	1.4682002507686e-07
MAGNETIC_LDL.C	340935	1.46655520847082e-07
PGC_ASD_2017_CEU	340882	1.46678322704044e-07
UKB_20002_1462_self_reported_crohns_disease	340936	1.46655090691508e-07
UKB_2395_3_Hair_or_balding_pattern_Pattern_3	340936	1.46655090691508e-07
BCAC_ER_positive_BreastCancer_EUR	340822	1.46704144685496e-07
UKB_20002_1094_self_reported_deep_venous_thrombosis_dvt	340936	1.46655090691508e-07
UKB_6152_5_diagnosed_by_doctor_Blood_clot_in_the_leg_DVT	340936	1.46655090691508e-07
Astle_et_al_2016_White_blood_cell_count	340553	1.4682002507686e-07
TAGC_Asthma_EUR	340936	1.46655090691508e-07
BCAC_ER_negative_BreastCancer_EUR	340822	1.46704144685496e-07
ICBP_DiastolicPressure	340936	1.46655090691508e-07
MAGIC_ln_FastingInsulin	340936	1.46655090691508e-07
HRGene_HeartRate	340931	1.46657241494613e-07
Astle_et_al_2016_Lymphocyte_counts	340553	1.4682002507686e-07
IGAP_Alzheimer	340677	1.46766585357978e-07
MAGNETIC_IDL.TG	340935	1.46655520847082e-07
UKB_20002_1222_self_reported_type_1_diabetes	340936	1.46655090691508e-07
Astle_et_al_2016_Granulocyte_count	340553	1.4682002507686e-07
tag.evrsmk.tbl	340936	1.46655090691508e-07
pgc.scz2	340928	1.46658532006758e-07
Astle_et_al_2016_Reticulocyte_count	340553	1.4682002507686e-07
UKB_20002_1466_self_reported_gout	340936	1.46655090691508e-07
GLGC_Mc_LDL	340933	1.46656381165801e-07
MAGIC_FastingGlucose	340936	1.46655090691508e-07
IBD.EUR.Inflammatory_Bowel_Disease	340823	1.46703714244637e-07
Astle_et_al_2016_High_light_scatter_reticulocyte_count	340553	1.4682002507686e-07
UKB_20002_1461_self_reported_inflammatory_bowel_disease	340936	1.46655090691508e-07
IMMUNOBASE_Multiple_sclerosis_hg19	340933	1.46656381165801e-07
UKB_G40_Diagnoses_main_ICD10_G40_Epilepsy	340936	1.46655090691508e-07
UKB_1807_Fathers_age_at_death	340936	1.46655090691508e-07
UKB_20002_1452_self_reported_eczema_or_dermatitis	340936	1.46655090691508e-07
Jones_et_al_2016_Chronotype	340701	1.4675624667964e-07
GIANT_HEIGHT	340936	1.46655090691508e-07
UKB_2395_2_Hair_or_balding_pattern_Pattern_2	340936	1.46655090691508e-07
EGG_Pubertal_growth_12M	340542	1.46824767576393e-07
Astle_et_al_2016_Myeloid_white_cell_count	340553	1.4682002507686e-07
UKB_6152_9_diagnosed_by_doctor_Hayfever_allergic_rhinitis_or_eczema	340936	1.46655090691508e-07
IMMUNOBASE_Systemic_lupus_erythematosus_hg19	340822	1.46704144685496e-07
UKB_20002_1464_self_reported_rheumatoid_arthritis	340936	1.46655090691508e-07
UKB_1160_Sleep_duration	340936	1.46655090691508e-07
SSGAC_Education_Years_Pooled	340831	1.467002708087e-07
ENIGMA_Intracraneal_Volume	340933	1.46656381165801e-07
Astle_et_al_2016_Eosinophil_counts	340553	1.4682002507686e-07
GIANT_2017_BMI_Active_EUR	340936	1.46655090691508e-07
GLGC_Mc_HDL	340930	1.46657671662805e-07
IBD.EUR.Crohns_Disease	340823	1.46703714244637e-07
UKB_50_Standing_height	340936	1.46655090691508e-07
UKB_1180_Morning_or_evening_person_chronotype	340936	1.46655090691508e-07
UKB_20022_Birth_weight	340936	1.46655090691508e-07
UKB_20002_1243_self_reported_psychological_or_psychiatric_problem	340936	1.46655090691508e-07
IMMUNOBASE_Celiac_disease_hg19	334445	1.49501412788351e-07
UKB_20002_1616_self_reported_insomnia	340936	1.46655090691508e-07
