phenotype	n	b
UKB_23099_Body_fat_percentage	517764	9.6569093254842e-08
EAGLE_Eczema	517777	9.65666686623778e-08
UKB_20002_1463_self_reported_ulcerative_colitis	517764	9.6569093254842e-08
ICBP_SystolicPressure	516265	9.68494862134756e-08
UKB_20002_1473_self_reported_high_cholesterol	517764	9.6569093254842e-08
UKB_1200_Sleeplessness_or_insomnia	517764	9.6569093254842e-08
UKB_20002_1453_self_reported_psoriasis	517764	9.6569093254842e-08
CARDIoGRAM_C4D_CAD_ADDITIVE	517601	9.65995042513442e-08
CKDGen_Chronic_Kidney_Disease	515668	9.69616109589891e-08
UKB_21001_Body_mass_index_BMI	517764	9.6569093254842e-08
UKB_20002_1111_self_reported_asthma	517764	9.6569093254842e-08
UKB_6150_1_Vascular_or_heart_problems_diagnosed_by_doctor_Heart_attack	517764	9.6569093254842e-08
UKB_20002_1309_self_reported_osteoporosis	517764	9.6569093254842e-08
Astle_et_al_2016_Sum_neutrophil_eosinophil_counts	518007	9.65237921495269e-08
Astle_et_al_2016_Monocyte_count	518005	9.65241648246639e-08
Jones_et_al_2016_SleepDuration	517905	9.65428022513782e-08
GIANT_HIP_Combined_EUR	515508	9.69917052693654e-08
GIANT_2015_BMI_EUR	514538	9.71745527055339e-08
CNCR_Insomnia_all	517905	9.65428022513782e-08
PGC_ADHD_EUR_2017	517227	9.666935407471e-08
UKB_20002_1223_self_reported_type_2_diabetes	517764	9.6569093254842e-08
UKB_2395_4_Hair_or_balding_pattern_Pattern_4	517764	9.6569093254842e-08
ADIPOGen_Adiponectin	516190	9.68635579922122e-08
EGG_BMI_HapMapImputed	516394	9.68252923155575e-08
UKB_6152_5_diagnosed_by_doctor_Blood_clot_in_the_leg_DVT	517764	9.6569093254842e-08
MAGNETIC_IDL.TG	517894	9.65448528077174e-08
MAGNETIC_LDL.C	517956	9.65332962645476e-08
BCAC_ER_negative_BreastCancer_EUR	517645	9.65912932608255e-08
Astle_et_al_2016_Lymphocyte_counts	518007	9.65237921495269e-08
Astle_et_al_2016_Platelet_count	518007	9.65237921495269e-08
UKB_20002_1094_self_reported_deep_venous_thrombosis_dvt	517764	9.6569093254842e-08
ISGC_Malik_2016_METASTROKE_all_strokes	516779	9.67531575392963e-08
GABRIEL_Asthma	516358	9.68320428849752e-08
EGG_Pubertal_growth_10F	514153	9.72473174327486e-08
GEFOS_Forearm	517589	9.66017438546801e-08
SSGAC_Depressive_Symptoms	517648	9.65907334713937e-08
Astle_et_al_2016_Reticulocyte_count	518007	9.65237921495269e-08
Astle_et_al_2016_Granulocyte_count	518007	9.65237921495269e-08
GIANT_WHR_Combined_EUR	515722	9.69514583438364e-08
UKB_20002_1262_self_reported_parkinsons_disease	517764	9.6569093254842e-08
EGG_BL	516167	9.68678741570073e-08
BCAC_Overall_BreastCancer_EUR	517749	9.65718910128267e-08
GPC-NEO-NEUROTICISM	516529	9.6799986060802e-08
UKB_20002_1154_self_reported_irritable_bowel_syndrome	517764	9.6569093254842e-08
Astle_et_al_2016_Sum_eosinophil_basophil_counts	518007	9.65237921495269e-08
UKB_20002_1065_self_reported_hypertension	517764	9.6569093254842e-08
UKB_20002_1225_self_reported_hyperthyroidism_or_thyrotoxicosis	517764	9.6569093254842e-08
Astle_et_al_2016_Red_blood_cell_count	518007	9.65237921495269e-08
GIANT_WC_Combined_EUR	515271	9.703631681193e-08
UKB_20002_1452_self_reported_eczema_or_dermatitis	517764	9.6569093254842e-08
UKB_20002_1461_self_reported_inflammatory_bowel_disease	517764	9.6569093254842e-08
IMMUNOBASE_Systemic_lupus_erythematosus_hg19	517107	9.66917871929794e-08
Jones_et_al_2016_Chronotype	517911	9.65416838028155e-08
SSGAC_Education_Years_Pooled	517708	9.65795390451761e-08
EGG_Pubertal_growth_12M	513602	9.73516458269244e-08
GLGC_Mc_LDL	516494	9.68065456713921e-08
UKB_20002_1261_self_reported_multiple_sclerosis	517764	9.6569093254842e-08
UKB_20002_1616_self_reported_insomnia	517764	9.6569093254842e-08
UKB_20016_Fluid_intelligence_score	517764	9.6569093254842e-08
UKB_6152_7_diagnosed_by_doctor_Blood_clot_in_the_lung	517764	9.6569093254842e-08
UKB_6152_8_diagnosed_by_doctor_Asthma	517764	9.6569093254842e-08
UKB_1180_Morning_or_evening_person_chronotype	517764	9.6569093254842e-08
GLGC_Mc_TG	516091	9.68821390026178e-08
UKB_50_Standing_height	517764	9.6569093254842e-08
UKB_20002_1313_self_reported_ankylosing_spondylitis	517764	9.6569093254842e-08
GIANT_2017_BMI_Active_EUR	515850	9.69274013763691e-08
UKB_20002_1289_self_reported_schizophrenia	517764	9.6569093254842e-08
IMMUNOBASE_Celiac_disease_hg19	506935	9.86319745134978e-08
ENIGMA_Intracraneal_Volume	517168	9.66803823902484e-08
IBD.EUR.Crohns_Disease	517881	9.65472763047882e-08
IBD.EUR.Ulcerative_Colitis	517689	9.65830836660621e-08
Astle_et_al_2016_Neutrophil_count	518007	9.65237921495269e-08
UKB_3526_Mothers_age_at_death	517764	9.6569093254842e-08
GLGC_Mc_HDL	516736	9.67612088184295e-08
pgc.scz2	517668	9.65870017076582e-08
tag.evrsmk.tbl	516522	9.68012979118024e-08
UKB_2395_3_Hair_or_balding_pattern_Pattern_3	517764	9.6569093254842e-08
UKB_20002_1466_self_reported_gout	517764	9.6569093254842e-08
IGAP_Alzheimer	516747	9.67591490613395e-08
MAGIC_ln_FastingInsulin	516305	9.68419829364426e-08
MAGNETIC_CH2.DB.ratio	517929	9.65383286126091e-08
UKB_20127_Neuroticism_score	517764	9.6569093254842e-08
HRGene_HeartRate	514778	9.7129247947659e-08
UKB_20002_1222_self_reported_type_1_diabetes	517764	9.6569093254842e-08
MAGNETIC_HDL.C	517958	9.65329235188954e-08
BCAC_ER_positive_BreastCancer_EUR	517822	9.65582767823692e-08
Astle_et_al_2016_White_blood_cell_count	518007	9.65237921495269e-08
TAGC_Asthma_EUR	516582	9.67900546283068e-08
DIAGRAM_T2D_TRANS_ETHNIC	516225	9.68569906533004e-08
PGC_ASD_2017_CEU	517475	9.66230252669211e-08
ICBP_DiastolicPressure	516419	9.68206049738681e-08
RA_OKADA_TRANS_ETHNIC	517631	9.65939056973018e-08
UKB_20002_1462_self_reported_crohns_disease	517764	9.6569093254842e-08
UKB_20002_1265_self_reported_migraine	517764	9.6569093254842e-08
ILAE_Genetic_generalised_epilepsy	517038	9.67046909511487e-08
UKB_20002_1226_self_reported_hypothyroidism_or_myxoedema	517764	9.6569093254842e-08
UKB_20002_1243_self_reported_psychological_or_psychiatric_problem	517764	9.6569093254842e-08
Astle_et_al_2016_Sum_basophil_neutrophil_counts	518007	9.65237921495269e-08
UKB_20022_Birth_weight	517764	9.6569093254842e-08
EGG_BW3_EUR	517144	9.66848692047089e-08
UKB_G43_Diagnoses_main_ICD10_G43_Migraine	517764	9.6569093254842e-08
Astle_et_al_2016_Eosinophil_counts	518007	9.65237921495269e-08
UKB_2395_2_Hair_or_balding_pattern_Pattern_2	517764	9.6569093254842e-08
UKB_20002_1464_self_reported_rheumatoid_arthritis	517764	9.6569093254842e-08
UKB_6152_9_diagnosed_by_doctor_Hayfever_allergic_rhinitis_or_eczema	517764	9.6569093254842e-08
UKB_G40_Diagnoses_main_ICD10_G40_Epilepsy	517764	9.6569093254842e-08
UKB_1160_Sleep_duration	517764	9.6569093254842e-08
MAGIC_FastingGlucose	515791	9.69384886514111e-08
Astle_et_al_2016_Myeloid_white_cell_count	518007	9.65237921495269e-08
IMMUNOBASE_Multiple_sclerosis_hg19	516282	9.68462971786737e-08
UKB_1807_Fathers_age_at_death	517764	9.6569093254842e-08
GIANT_HEIGHT	515956	9.69074882354309e-08
IBD.EUR.Inflammatory_Bowel_Disease	517636	9.65929726680525e-08
Astle_et_al_2016_High_light_scatter_reticulocyte_count	518007	9.65237921495269e-08
