phenotype	n	b
UKB_6152_5_diagnosed_by_doctor_Blood_clot_in_the_leg_DVT	562172	8.89407512291612e-08
GIANT_WHR_Combined_EUR	561664	8.9021194165907e-08
EGG_Pubertal_growth_10F	561600	8.9031339031339e-08
EGG_BMI_HapMapImputed	562170	8.89410676485761e-08
GABRIEL_Asthma	562090	8.89537262715935e-08
GEFOS_Forearm	561670	8.90202432033044e-08
MAGNETIC_IDL.TG	562132	8.89470800452563e-08
MAGNETIC_LDL.C	562130	8.89473965097042e-08
SSGAC_Depressive_Symptoms	561926	8.8979687716888e-08
ISGC_Malik_2016_METASTROKE_all_strokes	562166	8.89417004941601e-08
BCAC_ER_negative_BreastCancer_EUR	561554	8.90386320816876e-08
Astle_et_al_2016_Reticulocyte_count	560810	8.91567554073572e-08
Astle_et_al_2016_Platelet_count	560810	8.91567554073572e-08
Astle_et_al_2016_Lymphocyte_counts	560810	8.91567554073572e-08
UKB_20002_1094_self_reported_deep_venous_thrombosis_dvt	562172	8.89407512291612e-08
Astle_et_al_2016_Granulocyte_count	560810	8.91567554073572e-08
UKB_20002_1154_self_reported_irritable_bowel_syndrome	562172	8.89407512291612e-08
GPC-NEO-NEUROTICISM	562160	8.89426497794222e-08
UKB_20002_1225_self_reported_hyperthyroidism_or_thyrotoxicosis	562172	8.89407512291612e-08
GIANT_WC_Combined_EUR	561668	8.90205601885812e-08
BCAC_Overall_BreastCancer_EUR	561558	8.9037997855965e-08
Astle_et_al_2016_Red_blood_cell_count	560810	8.91567554073572e-08
UKB_20002_1065_self_reported_hypertension	562172	8.89407512291612e-08
UKB_20002_1262_self_reported_parkinsons_disease	562172	8.89407512291612e-08
EGG_BL	562156	8.89432826475213e-08
Astle_et_al_2016_Sum_eosinophil_basophil_counts	560810	8.91567554073572e-08
UKB_20002_1309_self_reported_osteoporosis	562172	8.89407512291612e-08
UKB_20002_1453_self_reported_psoriasis	562172	8.89407512291612e-08
UKB_20002_1463_self_reported_ulcerative_colitis	562172	8.89407512291612e-08
UKB_20002_1223_self_reported_type_2_diabetes	562172	8.89407512291612e-08
UKB_6150_1_Vascular_or_heart_problems_diagnosed_by_doctor_Heart_attack	562172	8.89407512291612e-08
GIANT_2015_BMI_EUR	561672	8.90199262202852e-08
ICBP_SystolicPressure	562172	8.89407512291612e-08
CNCR_Insomnia_all	561718	8.90126362338398e-08
EAGLE_Eczema	561566	8.90367294316251e-08
CKDGen_Chronic_Kidney_Disease	562160	8.89426497794222e-08
GIANT_HIP_Combined_EUR	561670	8.90202432033044e-08
UKB_21001_Body_mass_index_BMI	562172	8.89407512291612e-08
UKB_23099_Body_fat_percentage	562172	8.89407512291612e-08
PGC_ADHD_EUR_2017	562142	8.89454977567946e-08
UKB_1200_Sleeplessness_or_insomnia	562172	8.89407512291612e-08
CARDIoGRAM_C4D_CAD_ADDITIVE	561690	8.90170734746925e-08
Jones_et_al_2016_SleepDuration	561644	8.9024364187991e-08
Astle_et_al_2016_Monocyte_count	560810	8.91567554073572e-08
UKB_20002_1111_self_reported_asthma	562172	8.89407512291612e-08
UKB_20002_1473_self_reported_high_cholesterol	562172	8.89407512291612e-08
ADIPOGen_Adiponectin	562162	8.894233334875e-08
UKB_2395_4_Hair_or_balding_pattern_Pattern_4	562172	8.89407512291612e-08
Astle_et_al_2016_Sum_neutrophil_eosinophil_counts	560810	8.91567554073572e-08
UKB_20002_1313_self_reported_ankylosing_spondylitis	562172	8.89407512291612e-08
UKB_20002_1289_self_reported_schizophrenia	562172	8.89407512291612e-08
UKB_6152_8_diagnosed_by_doctor_Asthma	562172	8.89407512291612e-08
UKB_6152_7_diagnosed_by_doctor_Blood_clot_in_the_lung	562172	8.89407512291612e-08
GLGC_Mc_HDL	562136	8.89464471231161e-08
GLGC_Mc_TG	562136	8.89464471231161e-08
IBD.EUR.Crohns_Disease	561578	8.90348268628757e-08
ENIGMA_Intracraneal_Volume	562134	8.89467635830603e-08
IBD.EUR.Ulcerative_Colitis	561560	8.90376807464919e-08
GIANT_2017_BMI_Active_EUR	562170	8.89410676485761e-08
UKB_1180_Morning_or_evening_person_chronotype	562172	8.89407512291612e-08
IMMUNOBASE_Celiac_disease_hg19	550840	9.07704596616077e-08
UKB_50_Standing_height	562172	8.89407512291612e-08
UKB_3526_Mothers_age_at_death	562172	8.89407512291612e-08
UKB_20002_1261_self_reported_multiple_sclerosis	562172	8.89407512291612e-08
UKB_20002_1616_self_reported_insomnia	562172	8.89407512291612e-08
UKB_20016_Fluid_intelligence_score	562172	8.89407512291612e-08
Astle_et_al_2016_Neutrophil_count	560810	8.91567554073572e-08
UKB_20002_1462_self_reported_crohns_disease	562172	8.89407512291612e-08
UKB_20002_1222_self_reported_type_1_diabetes	562172	8.89407512291612e-08
HRGene_HeartRate	562170	8.89410676485761e-08
MAGNETIC_CH2.DB.ratio	562130	8.89473965097042e-08
MAGNETIC_HDL.C	281065	1.77894793019408e-07
MAGIC_ln_FastingInsulin	562172	8.89407512291612e-08
ICBP_DiastolicPressure	562174	8.89404348119977e-08
IGAP_Alzheimer	561634	8.90259492836972e-08
DIAGRAM_T2D_TRANS_ETHNIC	562166	8.89417004941601e-08
TAGC_Asthma_EUR	562160	8.89426497794222e-08
UKB_20127_Neuroticism_score	562172	8.89407512291612e-08
PGC_ASD_2017_CEU	561992	8.89692379962704e-08
RA_OKADA_TRANS_ETHNIC	562144	8.89451813058576e-08
BCAC_ER_positive_BreastCancer_EUR	561558	8.9037997855965e-08
Astle_et_al_2016_White_blood_cell_count	560810	8.91567554073572e-08
pgc.scz2	562068	8.89572080246518e-08
UKB_2395_3_Hair_or_balding_pattern_Pattern_3	562172	8.89407512291612e-08
tag.evrsmk.tbl	562166	8.89417004941601e-08
UKB_20002_1466_self_reported_gout	562172	8.89407512291612e-08
EGG_BW3_EUR	561142	8.91040057596829e-08
UKB_20002_1226_self_reported_hypothyroidism_or_myxoedema	562172	8.89407512291612e-08
UKB_20002_1243_self_reported_psychological_or_psychiatric_problem	562172	8.89407512291612e-08
UKB_G43_Diagnoses_main_ICD10_G43_Migraine	562172	8.89407512291612e-08
UKB_20022_Birth_weight	562172	8.89407512291612e-08
ILAE_Genetic_generalised_epilepsy	562106	8.89511942587341e-08
UKB_20002_1265_self_reported_migraine	562172	8.89407512291612e-08
Astle_et_al_2016_Eosinophil_counts	560810	8.91567554073572e-08
Astle_et_al_2016_Sum_basophil_neutrophil_counts	560810	8.91567554073572e-08
UKB_20002_1464_self_reported_rheumatoid_arthritis	562172	8.89407512291612e-08
UKB_6152_9_diagnosed_by_doctor_Hayfever_allergic_rhinitis_or_eczema	562172	8.89407512291612e-08
UKB_G40_Diagnoses_main_ICD10_G40_Epilepsy	562172	8.89407512291612e-08
IBD.EUR.Inflammatory_Bowel_Disease	561562	8.90373636392776e-08
GIANT_HEIGHT	562172	8.89407512291612e-08
UKB_1160_Sleep_duration	562172	8.89407512291612e-08
UKB_1807_Fathers_age_at_death	562172	8.89407512291612e-08
MAGIC_FastingGlucose	562172	8.89407512291612e-08
IMMUNOBASE_Multiple_sclerosis_hg19	561916	8.89812712220332e-08
Astle_et_al_2016_High_light_scatter_reticulocyte_count	560810	8.91567554073572e-08
UKB_2395_2_Hair_or_balding_pattern_Pattern_2	562172	8.89407512291612e-08
Astle_et_al_2016_Myeloid_white_cell_count	560810	8.91567554073572e-08
UKB_20002_1461_self_reported_inflammatory_bowel_disease	562172	8.89407512291612e-08
UKB_20002_1452_self_reported_eczema_or_dermatitis	562172	8.89407512291612e-08
GLGC_Mc_LDL	562136	8.89464471231161e-08
EGG_Pubertal_growth_12M	561600	8.9031339031339e-08
SSGAC_Education_Years_Pooled	561696	8.90161226001253e-08
Jones_et_al_2016_Chronotype	561644	8.9024364187991e-08
IMMUNOBASE_Systemic_lupus_erythematosus_hg19	561860	8.89901398924999e-08
