phenotype	n	b
UKB_G40_Diagnoses_main_ICD10_G40_Epilepsy	683723	7.31290303236837e-08
UKB_6152_9_diagnosed_by_doctor_Hayfever_allergic_rhinitis_or_eczema	683723	7.31290303236837e-08
MAGIC_FastingGlucose	681221	7.33976198619831e-08
GIANT_HEIGHT	681524	7.3364987880104e-08
Astle_et_al_2016_High_light_scatter_reticulocyte_count	684434	7.30530628227119e-08
IBD.EUR.Inflammatory_Bowel_Disease	683215	7.31834049310978e-08
Astle_et_al_2016_Myeloid_white_cell_count	684434	7.30530628227119e-08
IMMUNOBASE_Multiple_sclerosis_hg19	682089	7.33042168983813e-08
UKB_2395_2_Hair_or_balding_pattern_Pattern_2	683723	7.31290303236837e-08
UKB_20002_1464_self_reported_rheumatoid_arthritis	683723	7.31290303236837e-08
UKB_1807_Fathers_age_at_death	683723	7.31290303236837e-08
UKB_1160_Sleep_duration	683723	7.31290303236837e-08
UKB_20002_1226_self_reported_hypothyroidism_or_myxoedema	683723	7.31290303236837e-08
UKB_20002_1243_self_reported_psychological_or_psychiatric_problem	683723	7.31290303236837e-08
Astle_et_al_2016_Sum_basophil_neutrophil_counts	684434	7.30530628227119e-08
UKB_20022_Birth_weight	683723	7.31290303236837e-08
UKB_20002_1265_self_reported_migraine	683723	7.31290303236837e-08
EGG_BW3_EUR	683000	7.32064421669107e-08
UKB_G43_Diagnoses_main_ICD10_G43_Migraine	683723	7.31290303236837e-08
ILAE_Genetic_generalised_epilepsy	683138	7.31916538093328e-08
Astle_et_al_2016_Eosinophil_counts	684434	7.30530628227119e-08
MAGNETIC_IDL.TG	684160	7.30823199251637e-08
MAGNETIC_LDL.C	684274	7.30701444158334e-08
UKB_20002_1094_self_reported_deep_venous_thrombosis_dvt	683723	7.31290303236837e-08
EGG_BMI_HapMapImputed	682135	7.32992736041986e-08
EGG_Pubertal_growth_10F	679125	7.36241487207804e-08
BCAC_ER_negative_BreastCancer_EUR	683719	7.31294581545928e-08
UKB_6152_5_diagnosed_by_doctor_Blood_clot_in_the_leg_DVT	683723	7.31290303236837e-08
Astle_et_al_2016_Lymphocyte_counts	684434	7.30530628227119e-08
Astle_et_al_2016_Granulocyte_count	684434	7.30530628227119e-08
SSGAC_Depressive_Symptoms	683707	7.3130741677356e-08
ISGC_Malik_2016_METASTROKE_all_strokes	682686	7.32401133171033e-08
GEFOS_Forearm	683358	7.31680905177081e-08
GABRIEL_Asthma	682170	7.32955128487034e-08
Astle_et_al_2016_Platelet_count	684434	7.30530628227119e-08
Astle_et_al_2016_Reticulocyte_count	684434	7.30530628227119e-08
GIANT_WHR_Combined_EUR	681294	7.33897553772674e-08
pgc.scz2	683611	7.3141011481676e-08
tag.evrsmk.tbl	682277	7.32840180747702e-08
MAGNETIC_HDL.C	684274	7.30701444158334e-08
PGC_ASD_2017_CEU	683453	7.31579201495933e-08
UKB_20127_Neuroticism_score	683723	7.31290303236837e-08
Astle_et_al_2016_White_blood_cell_count	684434	7.30530628227119e-08
HRGene_HeartRate	679952	7.35346024425254e-08
MAGIC_ln_FastingInsulin	682020	7.33116330899387e-08
UKB_2395_3_Hair_or_balding_pattern_Pattern_3	683723	7.31290303236837e-08
ICBP_DiastolicPressure	682155	7.32971245538038e-08
IGAP_Alzheimer	681969	7.33171155873654e-08
TAGC_Asthma_EUR	682411	7.32696278342524e-08
DIAGRAM_T2D_TRANS_ETHNIC	682036	7.33099132597106e-08
BCAC_ER_positive_BreastCancer_EUR	684030	7.30962092305893e-08
UKB_20002_1466_self_reported_gout	683723	7.31290303236837e-08
RA_OKADA_TRANS_ETHNIC	683773	7.31236828596625e-08
UKB_20002_1462_self_reported_crohns_disease	683723	7.31290303236837e-08
MAGNETIC_CH2.DB.ratio	684131	7.30854178512595e-08
UKB_20002_1222_self_reported_type_1_diabetes	683723	7.31290303236837e-08
UKB_20002_1261_self_reported_multiple_sclerosis	683723	7.31290303236837e-08
UKB_20016_Fluid_intelligence_score	683723	7.31290303236837e-08
UKB_20002_1289_self_reported_schizophrenia	683723	7.31290303236837e-08
GLGC_Mc_TG	681770	7.33385159217918e-08
UKB_6152_7_diagnosed_by_doctor_Blood_clot_in_the_lung	683723	7.31290303236837e-08
UKB_20002_1313_self_reported_ankylosing_spondylitis	683723	7.31290303236837e-08
GIANT_2017_BMI_Active_EUR	681301	7.33890013371476e-08
UKB_3526_Mothers_age_at_death	683723	7.31290303236837e-08
GLGC_Mc_HDL	682652	7.32437610964298e-08
IBD.EUR.Ulcerative_Colitis	683544	7.31481806584507e-08
Astle_et_al_2016_Neutrophil_count	684434	7.30530628227119e-08
IMMUNOBASE_Celiac_disease_hg19	670240	7.4600143232275e-08
ENIGMA_Intracraneal_Volume	682755	7.3232711587612e-08
UKB_6152_8_diagnosed_by_doctor_Asthma	683723	7.31290303236837e-08
UKB_50_Standing_height	683723	7.31290303236837e-08
UKB_1180_Morning_or_evening_person_chronotype	683723	7.31290303236837e-08
IBD.EUR.Crohns_Disease	683818	7.31188708106543e-08
UKB_20002_1616_self_reported_insomnia	683723	7.31290303236837e-08
UKB_20002_1452_self_reported_eczema_or_dermatitis	683723	7.31290303236837e-08
GLGC_Mc_LDL	682333	7.32780035554487e-08
EGG_Pubertal_growth_12M	678559	7.36855601355225e-08
SSGAC_Education_Years_Pooled	683720	7.31293511963962e-08
IMMUNOBASE_Systemic_lupus_erythematosus_hg19	683103	7.31954039141974e-08
UKB_20002_1461_self_reported_inflammatory_bowel_disease	683723	7.31290303236837e-08
Jones_et_al_2016_Chronotype	684313	7.30659800412969e-08
UKB_20002_1111_self_reported_asthma	683723	7.31290303236837e-08
UKB_20002_1223_self_reported_type_2_diabetes	683723	7.31290303236837e-08
Astle_et_al_2016_Sum_neutrophil_eosinophil_counts	684434	7.30530628227119e-08
PGC_ADHD_EUR_2017	683201	7.31849045888399e-08
UKB_6150_1_Vascular_or_heart_problems_diagnosed_by_doctor_Heart_attack	683723	7.31290303236837e-08
CARDIoGRAM_C4D_CAD_ADDITIVE	683385	7.31651997044126e-08
CKDGen_Chronic_Kidney_Disease	681011	7.34202531236647e-08
Jones_et_al_2016_SleepDuration	684313	7.30659800412969e-08
UKB_20002_1309_self_reported_osteoporosis	683723	7.31290303236837e-08
GIANT_HIP_Combined_EUR	680949	7.34269379938879e-08
UKB_20002_1453_self_reported_psoriasis	683723	7.31290303236837e-08
UKB_2395_4_Hair_or_balding_pattern_Pattern_4	683723	7.31290303236837e-08
Astle_et_al_2016_Monocyte_count	684428	7.30537032383246e-08
ICBP_SystolicPressure	681956	7.33185132178616e-08
ADIPOGen_Adiponectin	682002	7.33135679954018e-08
UKB_21001_Body_mass_index_BMI	683723	7.31290303236837e-08
UKB_23099_Body_fat_percentage	683723	7.31290303236837e-08
CNCR_Insomnia_all	684270	7.30705715580107e-08
UKB_20002_1473_self_reported_high_cholesterol	683723	7.31290303236837e-08
GIANT_2015_BMI_EUR	679768	7.35545068317426e-08
