phenotype	n	b
GIANT_WHR_Combined_EUR	22453	2.22687391439897e-06
GLGC_Mc_TG	22491	2.22311146680895e-06
UKB_2395_3_Hair_or_balding_pattern_Pattern_3	22509	2.22133368874672e-06
UKB_20022_Birth_weight	22509	2.22133368874672e-06
MAGNETIC_LDL.C	22515	2.22074172773706e-06
Astle_et_al_2016_Eosinophil_counts	22513	2.2209390130147e-06
UKB_20127_Neuroticism_score	22509	2.22133368874672e-06
UKB_3526_Mothers_age_at_death	22509	2.22133368874672e-06
ILAE_Genetic_generalised_epilepsy	22497	2.22251855802996e-06
DIAGRAM_T2D_TRANS_ETHNIC	22498	2.22241977064628e-06
UKB_6152_5_diagnosed_by_doctor_Blood_clot_in_the_leg_DVT	22509	2.22133368874672e-06
Astle_et_al_2016_Lymphocyte_counts	22513	2.2209390130147e-06
UKB_20002_1222_self_reported_type_1_diabetes	22509	2.22133368874672e-06
PGC_ASD_2017_CEU	22505	2.22172850477672e-06
MAGIC_ln_FastingInsulin	22491	2.22311146680895e-06
BCAC_ER_negative_BreastCancer_EUR	22507	2.2215310792198e-06
EGG_Pubertal_growth_10F	22426	2.22955498082583e-06
Astle_et_al_2016_Sum_basophil_neutrophil_counts	22513	2.2209390130147e-06
UKB_20002_1466_self_reported_gout	22509	2.22133368874672e-06
UKB_20002_1243_self_reported_psychological_or_psychiatric_problem	22509	2.22133368874672e-06
MAGNETIC_IDL.TG	22512	2.22103766879886e-06
BCAC_ER_positive_BreastCancer_EUR	22510	2.22123500666371e-06
UKB_6152_8_diagnosed_by_doctor_Asthma	22509	2.22133368874672e-06
GEFOS_Forearm	22508	2.22143237959837e-06
GLGC_Mc_HDL	22496	2.2226173541963e-06
Astle_et_al_2016_Reticulocyte_count	22513	2.2209390130147e-06
IGAP_Alzheimer	22506	2.22162978761219e-06
ISGC_Malik_2016_METASTROKE_all_strokes	22500	2.22222222222222e-06
RA_OKADA_TRANS_ETHNIC	22507	2.2215310792198e-06
Astle_et_al_2016_Neutrophil_count	22513	2.2209390130147e-06
EGG_BMI_HapMapImputed	22496	2.2226173541963e-06
GIANT_2017_BMI_Active_EUR	22490	2.22321031569587e-06
UKB_20002_1226_self_reported_hypothyroidism_or_myxoedema	22509	2.22133368874672e-06
IBD.EUR.Ulcerative_Colitis	22503	2.22192596542683e-06
SSGAC_Depressive_Symptoms	22506	2.22162978761219e-06
HRGene_HeartRate	22476	2.22459512368749e-06
Astle_et_al_2016_White_blood_cell_count	22513	2.2209390130147e-06
