phenotype	n	b
IMMUNOBASE_Celiac_disease_hg19	22865	2.18674830527006e-06
GABRIEL_Asthma	23246	2.15090768304224e-06
BCAC_ER_positive_BreastCancer_EUR	23270	2.14868929952729e-06
GIANT_WHR_Combined_EUR	23222	2.15313065196796e-06
ILAE_Genetic_generalised_epilepsy	23258	2.14979791899561e-06
UKB_20022_Birth_weight	23273	2.14841232329309e-06
RA_OKADA_TRANS_ETHNIC	23270	2.14868929952729e-06
GEFOS_Forearm	23270	2.14868929952729e-06
IBD.EUR.Crohns_Disease	23273	2.14841232329309e-06
TAGC_Asthma_EUR	23257	2.14989035559186e-06
Astle_et_al_2016_Sum_basophil_neutrophil_counts	23275	2.14822771213749e-06
GLGC_Mc_HDL	23262	2.14942825208495e-06
IBD.EUR.Ulcerative_Colitis	23268	2.14887399002922e-06
ICBP_DiastolicPressure	23263	2.14933585522074e-06
UKB_20002_1466_self_reported_gout	23273	2.14841232329309e-06
Astle_et_al_2016_Platelet_count	23275	2.14822771213749e-06
IGAP_Alzheimer	23271	2.14859696618108e-06
pgc.scz2	23271	2.14859696618108e-06
UKB_1180_Morning_or_evening_person_chronotype	23273	2.14841232329309e-06
DIAGRAM_T2D_TRANS_ETHNIC	23265	2.1491510853213e-06
UKB_20002_1261_self_reported_multiple_sclerosis	23273	2.14841232329309e-06
UKB_20002_1226_self_reported_hypothyroidism_or_myxoedema	23273	2.14841232329309e-06
UKB_20002_1313_self_reported_ankylosing_spondylitis	23273	2.14841232329309e-06
BCAC_ER_negative_BreastCancer_EUR	23271	2.14859696618108e-06
MAGNETIC_LDL.C	23275	2.14822771213749e-06
UKB_20002_1094_self_reported_deep_venous_thrombosis_dvt	23273	2.14841232329309e-06
Astle_et_al_2016_Reticulocyte_count	23275	2.14822771213749e-06
UKB_20002_1616_self_reported_insomnia	23273	2.14841232329309e-06
UKB_6152_7_diagnosed_by_doctor_Blood_clot_in_the_lung	23273	2.14841232329309e-06
ENIGMA_Intracraneal_Volume	23269	2.14878164080966e-06
UKB_20002_1222_self_reported_type_1_diabetes	23273	2.14841232329309e-06
MAGNETIC_CH2.DB.ratio	23274	2.14832001374925e-06
HRGene_HeartRate	23256	2.1499828001376e-06
Astle_et_al_2016_Granulocyte_count	23275	2.14822771213749e-06
UKB_20002_1289_self_reported_schizophrenia	23273	2.14841232329309e-06
UKB_20002_1265_self_reported_migraine	23273	2.14841232329309e-06
EGG_Pubertal_growth_10F	23210	2.154243860405e-06
GIANT_2017_BMI_Active_EUR	23261	2.14952065689351e-06
MAGNETIC_IDL.TG	23274	2.14832001374925e-06
SSGAC_Depressive_Symptoms	23274	2.14832001374925e-06
Astle_et_al_2016_Neutrophil_count	23275	2.14822771213749e-06
MAGNETIC_HDL.C	23275	2.14822771213749e-06
Astle_et_al_2016_Lymphocyte_counts	23275	2.14822771213749e-06
tag.evrsmk.tbl	23262	2.14942825208495e-06
PGC_ASD_2017_CEU	23269	2.14878164080966e-06
UKB_3526_Mothers_age_at_death	23273	2.14841232329309e-06
UKB_50_Standing_height	23273	2.14841232329309e-06
UKB_20002_1243_self_reported_psychological_or_psychiatric_problem	23273	2.14841232329309e-06
MAGIC_ln_FastingInsulin	23262	2.14942825208495e-06
UKB_6152_8_diagnosed_by_doctor_Asthma	23273	2.14841232329309e-06
Astle_et_al_2016_White_blood_cell_count	23275	2.14822771213749e-06
GLGC_Mc_TG	23259	2.14970549034782e-06
EGG_BW3_EUR	23237	2.15174075827344e-06
EGG_BMI_HapMapImputed	23267	2.148966347187e-06
UKB_20127_Neuroticism_score	23273	2.14841232329309e-06
UKB_G43_Diagnoses_main_ICD10_G43_Migraine	23273	2.14841232329309e-06
ISGC_Malik_2016_METASTROKE_all_strokes	23266	2.14905871228402e-06
UKB_20016_Fluid_intelligence_score	23273	2.14841232329309e-06
Astle_et_al_2016_Eosinophil_counts	23275	2.14822771213749e-06
UKB_20002_1462_self_reported_crohns_disease	23273	2.14841232329309e-06
UKB_2395_3_Hair_or_balding_pattern_Pattern_3	23273	2.14841232329309e-06
UKB_6152_5_diagnosed_by_doctor_Blood_clot_in_the_leg_DVT	23273	2.14841232329309e-06
EAGLE_Eczema	23270	2.14868929952729e-06
CNCR_Insomnia_all	23275	2.14822771213749e-06
PGC_ADHD_EUR_2017	23268	2.14887399002922e-06
GPC-NEO-NEUROTICISM	23258	2.14979791899561e-06
Astle_et_al_2016_Monocyte_count	23275	2.14822771213749e-06
UKB_20002_1262_self_reported_parkinsons_disease	23273	2.14841232329309e-06
GIANT_HEIGHT	23263	2.14933585522074e-06
UKB_20002_1463_self_reported_ulcerative_colitis	23273	2.14841232329309e-06
UKB_20002_1473_self_reported_high_cholesterol	23273	2.14841232329309e-06
IMMUNOBASE_Systemic_lupus_erythematosus_hg19	23254	2.15016771308162e-06
UKB_6152_9_diagnosed_by_doctor_Hayfever_allergic_rhinitis_or_eczema	23273	2.14841232329309e-06
UKB_G40_Diagnoses_main_ICD10_G40_Epilepsy	23273	2.14841232329309e-06
Astle_et_al_2016_Red_blood_cell_count	23275	2.14822771213749e-06
UKB_1200_Sleeplessness_or_insomnia	23273	2.14841232329309e-06
UKB_6150_1_Vascular_or_heart_problems_diagnosed_by_doctor_Heart_attack	23273	2.14841232329309e-06
ADIPOGen_Adiponectin	23257	2.14989035559186e-06
UKB_1807_Fathers_age_at_death	23273	2.14841232329309e-06
Astle_et_al_2016_Sum_eosinophil_basophil_counts	23275	2.14822771213749e-06
UKB_2395_4_Hair_or_balding_pattern_Pattern_4	23273	2.14841232329309e-06
Jones_et_al_2016_Chronotype	23274	2.14832001374925e-06
UKB_2395_2_Hair_or_balding_pattern_Pattern_2	23273	2.14841232329309e-06
MAGIC_FastingGlucose	23259	2.14970549034782e-06
CKDGen_Chronic_Kidney_Disease	23259	2.14970549034782e-06
Jones_et_al_2016_SleepDuration	23274	2.14832001374925e-06
GIANT_HIP_Combined_EUR	23218	2.15350159359118e-06
Astle_et_al_2016_High_light_scatter_reticulocyte_count	23275	2.14822771213749e-06
GIANT_WC_Combined_EUR	23219	2.15340884620354e-06
SSGAC_Education_Years_Pooled	23265	2.1491510853213e-06
UKB_20002_1065_self_reported_hypertension	23273	2.14841232329309e-06
Astle_et_al_2016_Myeloid_white_cell_count	23275	2.14822771213749e-06
GLGC_Mc_LDL	23260	2.14961306964746e-06
BCAC_Overall_BreastCancer_EUR	23270	2.14868929952729e-06
GIANT_2015_BMI_EUR	23222	2.15313065196796e-06
UKB_20002_1309_self_reported_osteoporosis	23273	2.14841232329309e-06
UKB_20002_1111_self_reported_asthma	23273	2.14841232329309e-06
UKB_20002_1453_self_reported_psoriasis	23273	2.14841232329309e-06
IMMUNOBASE_Multiple_sclerosis_hg19	23227	2.15266715460456e-06
UKB_21001_Body_mass_index_BMI	23273	2.14841232329309e-06
UKB_20002_1461_self_reported_inflammatory_bowel_disease	23273	2.14841232329309e-06
UKB_20002_1464_self_reported_rheumatoid_arthritis	23273	2.14841232329309e-06
UKB_1160_Sleep_duration	23273	2.14841232329309e-06
Astle_et_al_2016_Sum_neutrophil_eosinophil_counts	23275	2.14822771213749e-06
UKB_20002_1225_self_reported_hyperthyroidism_or_thyrotoxicosis	23273	2.14841232329309e-06
UKB_20002_1223_self_reported_type_2_diabetes	23273	2.14841232329309e-06
CARDIoGRAM_C4D_CAD_ADDITIVE	23275	2.14822771213749e-06
EGG_Pubertal_growth_12M	23210	2.154243860405e-06
UKB_20002_1452_self_reported_eczema_or_dermatitis	23273	2.14841232329309e-06
UKB_23099_Body_fat_percentage	23273	2.14841232329309e-06
EGG_BL	23258	2.14979791899561e-06
UKB_20002_1154_self_reported_irritable_bowel_syndrome	23273	2.14841232329309e-06
IBD.EUR.Inflammatory_Bowel_Disease	23274	2.14832001374925e-06
ICBP_SystolicPressure	23265	2.1491510853213e-06
