phenotype	n	b
UKB_6152_9_diagnosed_by_doctor_Hayfever_allergic_rhinitis_or_eczema	880123	5.68102412958189e-08
UKB_G40_Diagnoses_main_ICD10_G40_Epilepsy	880123	5.68102412958189e-08
GIANT_HIP_Combined_EUR	876590	5.70392087520962e-08
UKB_6150_1_Vascular_or_heart_problems_diagnosed_by_doctor_Heart_attack	880123	5.68102412958189e-08
SSGAC_Education_Years_Pooled	880112	5.68109513334667e-08
UKB_20002_1473_self_reported_high_cholesterol	880123	5.68102412958189e-08
EGG_BL	877053	5.70090975117809e-08
PGC_ADHD_EUR_2017	879177	5.68713694739512e-08
IMMUNOBASE_Multiple_sclerosis_hg19	877987	5.69484514007611e-08
CKDGen_Chronic_Kidney_Disease	877137	5.70036379721754e-08
GIANT_2015_BMI_EUR	875150	5.71330629035023e-08
EGG_Pubertal_growth_12M	871926	5.73443159167177e-08
UKB_23099_Body_fat_percentage	880123	5.68102412958189e-08
Astle_et_al_2016_Red_blood_cell_count	880683	5.67741173611844e-08
Astle_et_al_2016_Monocyte_count	880679	5.67743752263878e-08
Astle_et_al_2016_Myeloid_white_cell_count	880683	5.67741173611844e-08
UKB_1200_Sleeplessness_or_insomnia	880123	5.68102412958189e-08
UKB_21001_Body_mass_index_BMI	880123	5.68102412958189e-08
UKB_20002_1309_self_reported_osteoporosis	880123	5.68102412958189e-08
UKB_1160_Sleep_duration	880123	5.68102412958189e-08
UKB_20002_1225_self_reported_hyperthyroidism_or_thyrotoxicosis	880123	5.68102412958189e-08
GLGC_Mc_LDL	878285	5.69291289273983e-08
UKB_2395_2_Hair_or_balding_pattern_Pattern_2	880123	5.68102412958189e-08
UKB_20002_1464_self_reported_rheumatoid_arthritis	880123	5.68102412958189e-08
IBD.EUR.Inflammatory_Bowel_Disease	879715	5.68365891226136e-08
UKB_2395_4_Hair_or_balding_pattern_Pattern_4	880123	5.68102412958189e-08
Astle_et_al_2016_Sum_neutrophil_eosinophil_counts	880683	5.67741173611844e-08
UKB_20002_1452_self_reported_eczema_or_dermatitis	880123	5.68102412958189e-08
ILAE_Genetic_generalised_epilepsy	879393	5.6857400502392e-08
MAGIC_ln_FastingInsulin	878040	5.69450138945834e-08
HRGene_HeartRate	876282	5.70592571797663e-08
IBD.EUR.Crohns_Disease	880076	5.68132752171403e-08
Astle_et_al_2016_Reticulocyte_count	880683	5.67741173611844e-08
GIANT_2017_BMI_Active_EUR	876547	5.70420068747027e-08
UKB_3526_Mothers_age_at_death	880123	5.68102412958189e-08
PGC_ASD_2017_CEU	879073	5.68780977233973e-08
Astle_et_al_2016_Sum_basophil_neutrophil_counts	880683	5.67741173611844e-08
Jones_et_al_2016_Chronotype	880114	5.68108222343924e-08
GPC-NEO-NEUROTICISM	878032	5.69455327368479e-08
UKB_20002_1154_self_reported_irritable_bowel_syndrome	880123	5.68102412958189e-08
GIANT_HEIGHT	876871	5.70209301026035e-08
UKB_20002_1065_self_reported_hypertension	880123	5.68102412958189e-08
IMMUNOBASE_Systemic_lupus_erythematosus_hg19	878407	5.69212221669454e-08
BCAC_Overall_BreastCancer_EUR	880019	5.68169550884697e-08
CARDIoGRAM_C4D_CAD_ADDITIVE	879690	5.68382043674476e-08
UKB_20002_1453_self_reported_psoriasis	880123	5.68102412958189e-08
UKB_20002_1463_self_reported_ulcerative_colitis	880123	5.68102412958189e-08
ISGC_Malik_2016_METASTROKE_all_strokes	878857	5.68920768680229e-08
TAGC_Asthma_EUR	878511	5.69144837116439e-08
UKB_50_Standing_height	880123	5.68102412958189e-08
IGAP_Alzheimer	878117	5.69400205211834e-08
Astle_et_al_2016_White_blood_cell_count	880683	5.67741173611844e-08
BCAC_ER_negative_BreastCancer_EUR	879619	5.68427921634253e-08
UKB_20002_1616_self_reported_insomnia	880123	5.68102412958189e-08
SSGAC_Depressive_Symptoms	879420	5.68556548634327e-08
UKB_20002_1313_self_reported_ankylosing_spondylitis	880123	5.68102412958189e-08
UKB_1180_Morning_or_evening_person_chronotype	880123	5.68102412958189e-08
UKB_6152_5_diagnosed_by_doctor_Blood_clot_in_the_leg_DVT	880123	5.68102412958189e-08
UKB_20002_1462_self_reported_crohns_disease	880123	5.68102412958189e-08
EGG_BW3_EUR	879057	5.68791329800002e-08
UKB_20002_1094_self_reported_deep_venous_thrombosis_dvt	880123	5.68102412958189e-08
IBD.EUR.Ulcerative_Colitis	880120	5.68104349406899e-08
ICBP_DiastolicPressure	877971	5.69494892200312e-08
Astle_et_al_2016_Eosinophil_counts	880683	5.67741173611844e-08
Astle_et_al_2016_Granulocyte_count	880683	5.67741173611844e-08
MAGNETIC_LDL.C	880530	5.67839823742519e-08
EGG_BMI_HapMapImputed	877815	5.69596099405911e-08
GLGC_Mc_HDL	878699	5.69023067057092e-08
UKB_2395_3_Hair_or_balding_pattern_Pattern_3	880123	5.68102412958189e-08
UKB_20002_1226_self_reported_hypothyroidism_or_myxoedema	880123	5.68102412958189e-08
DIAGRAM_T2D_TRANS_ETHNIC	877273	5.69948009342588e-08
GEFOS_Forearm	879824	5.68295477277274e-08
UKB_6152_8_diagnosed_by_doctor_Asthma	880123	5.68102412958189e-08
EGG_Pubertal_growth_10F	872741	5.72907655306672e-08
GLGC_Mc_TG	877773	5.69623353646102e-08
UKB_G43_Diagnoses_main_ICD10_G43_Migraine	880123	5.68102412958189e-08
UKB_20002_1265_self_reported_migraine	880123	5.68102412958189e-08
UKB_20002_1289_self_reported_schizophrenia	880123	5.68102412958189e-08
BCAC_ER_positive_BreastCancer_EUR	880094	5.6812113251539e-08
UKB_20016_Fluid_intelligence_score	880123	5.68102412958189e-08
GIANT_WHR_Combined_EUR	877138	5.70035729839546e-08
UKB_6152_7_diagnosed_by_doctor_Blood_clot_in_the_lung	880123	5.68102412958189e-08
RA_OKADA_TRANS_ETHNIC	879908	5.68241225219e-08
MAGNETIC_HDL.C	880532	5.67838533977187e-08
IMMUNOBASE_Celiac_disease_hg19	859043	5.8204304091879e-08
UKB_20002_1466_self_reported_gout	880123	5.68102412958189e-08
GABRIEL_Asthma	878152	5.69377510954823e-08
Astle_et_al_2016_Neutrophil_count	880683	5.67741173611844e-08
ENIGMA_Intracraneal_Volume	878661	5.69047675952387e-08
tag.evrsmk.tbl	878068	5.694319802111e-08
UKB_20002_1222_self_reported_type_1_diabetes	880123	5.68102412958189e-08
pgc.scz2	879491	5.68510649910005e-08
Astle_et_al_2016_Platelet_count	880683	5.67741173611844e-08
Astle_et_al_2016_Lymphocyte_counts	880683	5.67741173611844e-08
MAGNETIC_IDL.TG	880477	5.67874004658838e-08
UKB_20002_1243_self_reported_psychological_or_psychiatric_problem	880123	5.68102412958189e-08
UKB_20002_1261_self_reported_multiple_sclerosis	880123	5.68102412958189e-08
UKB_20127_Neuroticism_score	880123	5.68102412958189e-08
MAGNETIC_CH2.DB.ratio	880420	5.6791076985984e-08
UKB_20022_Birth_weight	880123	5.68102412958189e-08
Jones_et_al_2016_SleepDuration	880110	5.68110804331277e-08
UKB_20002_1111_self_reported_asthma	880123	5.68102412958189e-08
UKB_20002_1262_self_reported_parkinsons_disease	880123	5.68102412958189e-08
MAGIC_FastingGlucose	877319	5.69918125562082e-08
UKB_20002_1223_self_reported_type_2_diabetes	861210	5.80578488405848e-08
ICBP_SystolicPressure	877173	5.70012984895796e-08
Astle_et_al_2016_High_light_scatter_reticulocyte_count	880683	5.67741173611844e-08
GIANT_WC_Combined_EUR	876600	5.70385580652521e-08
UKB_20002_1461_self_reported_inflammatory_bowel_disease	880123	5.68102412958189e-08
UKB_1807_Fathers_age_at_death	880123	5.68102412958189e-08
CNCR_Insomnia_all	880634	5.67772763713416e-08
EAGLE_Eczema	880115	5.68107576850752e-08
Astle_et_al_2016_Sum_eosinophil_basophil_counts	880683	5.67741173611844e-08
