phenotype	n	b
GABRIEL_Asthma	1776667	2.81425838381644e-08
UKB_20002_1265_self_reported_migraine	1780877	2.80760546629554e-08
EGG_BMI_HapMapImputed	1775951	2.81539299226161e-08
Astle_et_al_2016_Granulocyte_count	1782874	2.80446066295207e-08
GIANT_2017_BMI_Active_EUR	1774387	2.81787456738581e-08
MAGNETIC_IDL.TG	1782433	2.80515452754746e-08
Astle_et_al_2016_Sum_basophil_neutrophil_counts	1782874	2.80446066295207e-08
UKB_20002_1243_self_reported_psychological_or_psychiatric_problem	1780877	2.80760546629554e-08
ENIGMA_Intracraneal_Volume	1777966	2.81220225808593e-08
UKB_20002_1616_self_reported_insomnia	1780877	2.80760546629554e-08
UKB_6152_7_diagnosed_by_doctor_Blood_clot_in_the_lung	1780877	2.80760546629554e-08
IMMUNOBASE_Celiac_disease_hg19	1744921	2.86545923855579e-08
Astle_et_al_2016_Neutrophil_count	1782874	2.80446066295207e-08
Astle_et_al_2016_White_blood_cell_count	1782874	2.80446066295207e-08
GEFOS_Forearm	1779422	2.80990119263446e-08
GIANT_WHR_Combined_EUR	1775097	2.81674747915184e-08
BCAC_ER_positive_BreastCancer_EUR	1781707	2.80629755621996e-08
MAGNETIC_HDL.C	1782547	2.80497512828554e-08
GLGC_Mc_HDL	1777698	2.81262621660147e-08
UKB_20002_1462_self_reported_crohns_disease	1780877	2.80760546629554e-08
pgc.scz2	1779396	2.80994225006688e-08
UKB_20002_1222_self_reported_type_1_diabetes	1780877	2.80760546629554e-08
EGG_Pubertal_growth_10F	1765711	2.83172047973876e-08
MAGIC_ln_FastingInsulin	1776565	2.81441996211791e-08
Astle_et_al_2016_Eosinophil_counts	1782874	2.80446066295207e-08
UKB_1180_Morning_or_evening_person_chronotype	1780877	2.80760546629554e-08
ISGC_Malik_2016_METASTROKE_all_strokes	1778357	2.81158395080403e-08
IBD.EUR.Ulcerative_Colitis	1780722	2.80784984966772e-08
UKB_6152_8_diagnosed_by_doctor_Asthma	1780877	2.80760546629554e-08
MAGIC_FastingGlucose	1775026	2.81686014740066e-08
ADIPOGen_Adiponectin	1775581	2.81597967087956e-08
UKB_1807_Fathers_age_at_death	1780877	2.80760546629554e-08
PGC_ADHD_EUR_2017	1779331	2.81004489889739e-08
Astle_et_al_2016_Sum_neutrophil_eosinophil_counts	1738888	2.87540083087582e-08
GIANT_2015_BMI_EUR	1770842	2.82351559314721e-08
UKB_20002_1463_self_reported_ulcerative_colitis	1780877	2.80760546629554e-08
Astle_et_al_2016_High_light_scatter_reticulocyte_count	1782874	2.80446066295207e-08
Astle_et_al_2016_Sum_eosinophil_basophil_counts	1782874	2.80446066295207e-08
UKB_20002_1262_self_reported_parkinsons_disease	1780877	2.80760546629554e-08
SSGAC_Education_Years_Pooled	1781074	2.80729492429849e-08
UKB_21001_Body_mass_index_BMI	1780877	2.80760546629554e-08
UKB_23099_Body_fat_percentage	1780877	2.80760546629554e-08
EGG_BL	1774249	2.81809373994293e-08
IBD.EUR.Inflammatory_Bowel_Disease	1779767	2.80935650565495e-08
CNCR_Insomnia_all	1782761	2.80463842320984e-08
UKB_G40_Diagnoses_main_ICD10_G40_Epilepsy	1780877	2.80760546629554e-08
BCAC_Overall_BreastCancer_EUR	1781424	2.80674336934946e-08
CARDIoGRAM_C4D_CAD_ADDITIVE	1778541	2.81129307674099e-08
UKB_20002_1464_self_reported_rheumatoid_arthritis	1780877	2.80760546629554e-08
UKB_20002_1452_self_reported_eczema_or_dermatitis	1780877	2.80760546629554e-08
UKB_20002_1473_self_reported_high_cholesterol	1780877	2.80760546629554e-08
UKB_20002_1289_self_reported_schizophrenia	1780877	2.80760546629554e-08
PGC_ASD_2017_CEU	1779121	2.81037658484162e-08
EGG_BW3_EUR	1778865	2.81078103172529e-08
UKB_20016_Fluid_intelligence_score	1780877	2.80760546629554e-08
UKB_20002_1223_self_reported_type_2_diabetes	1780877	2.80760546629554e-08
Jones_et_al_2016_SleepDuration	1782032	2.80578575468903e-08
UKB_2395_2_Hair_or_balding_pattern_Pattern_2	1780877	2.80760546629554e-08
UKB_20002_1065_self_reported_hypertension	1780877	2.80760546629554e-08
Astle_et_al_2016_Monocyte_count	1782840	2.80451414596935e-08
IMMUNOBASE_Systemic_lupus_erythematosus_hg19	1778273	2.81171676114972e-08
UKB_20002_1154_self_reported_irritable_bowel_syndrome	1780877	2.80760546629554e-08
UKB_20002_1461_self_reported_inflammatory_bowel_disease	1780877	2.80760546629554e-08
UKB_1160_Sleep_duration	1780877	2.80760546629554e-08
GIANT_HIP_Combined_EUR	1773920	2.81861639758275e-08
UKB_20002_1309_self_reported_osteoporosis	1780877	2.80760546629554e-08
UKB_1200_Sleeplessness_or_insomnia	1780877	2.80760546629554e-08
UKB_2395_4_Hair_or_balding_pattern_Pattern_4	1780877	2.80760546629554e-08
UKB_20002_1225_self_reported_hyperthyroidism_or_thyrotoxicosis	1780877	2.80760546629554e-08
EGG_Pubertal_growth_12M	1764910	2.83300564901326e-08
IMMUNOBASE_Multiple_sclerosis_hg19	1776436	2.81462433771889e-08
CKDGen_Chronic_Kidney_Disease	1774861	2.81712201687907e-08
