phenotype	n	b
BCAC_ER_negative_BreastCancer_EUR	137762	3.62944788838722e-07
MAGNETIC_CH2.DB.ratio	137837	3.62747302973802e-07
UKB_20002_1313_self_reported_ankylosing_spondylitis	137776	3.62907908489142e-07
BCAC_Overall_BreastCancer_EUR	137812	3.62813107711955e-07
UKB_1160_Sleep_duration	137776	3.62907908489142e-07
UKB_1200_Sleeplessness_or_insomnia	137776	3.62907908489142e-07
GPC-NEO-NEUROTICISM	137584	3.63414350505873e-07
Astle_et_al_2016_Lymphocyte_counts	137885	3.62621024767016e-07
UKB_20002_1464_self_reported_rheumatoid_arthritis	137776	3.62907908489142e-07
IBD.EUR.Ulcerative_Colitis	137768	3.62928982056791e-07
ENIGMA_Intracraneal_Volume	137595	3.63385297430866e-07
UKB_20002_1225_self_reported_hyperthyroidism_or_thyrotoxicosis	137776	3.62907908489142e-07
EGG_Pubertal_growth_10F	136912	3.65198083440458e-07
UKB_20002_1094_self_reported_deep_venous_thrombosis_dvt	137776	3.62907908489142e-07
BCAC_ER_positive_BreastCancer_EUR	137798	3.62849968794903e-07
DIAGRAM_T2D_TRANS_ETHNIC	137476	3.63699845791265e-07
MAGIC_FastingGlucose	137396	3.63911613147399e-07
CARDIoGRAM_C4D_CAD_ADDITIVE	137667	3.63195246500614e-07
Jones_et_al_2016_SleepDuration	137842	3.62734144890527e-07
GIANT_WC_Combined_EUR	137296	3.64176669385852e-07
UKB_20002_1452_self_reported_eczema_or_dermatitis	137776	3.62907908489142e-07
UKB_20002_1223_self_reported_type_2_diabetes	137776	3.62907908489142e-07
UKB_6152_7_diagnosed_by_doctor_Blood_clot_in_the_lung	137776	3.62907908489142e-07
UKB_6152_9_diagnosed_by_doctor_Hayfever_allergic_rhinitis_or_eczema	137776	3.62907908489142e-07
HRGene_HeartRate	137322	3.64107717627183e-07
IMMUNOBASE_Celiac_disease_hg19	135326	3.69478149062264e-07
EGG_BMI_HapMapImputed	137515	3.63596698541977e-07
UKB_1807_Fathers_age_at_death	137776	3.62907908489142e-07
