phenotype	n	b
UKB_20002_1225_self_reported_hyperthyroidism_or_thyrotoxicosis	184976	2.70305336908572e-07
BCAC_Overall_BreastCancer_EUR	184957	2.70333104451305e-07
PGC_ADHD_EUR_2017	184808	2.7055105839574e-07
Astle_et_al_2016_Monocyte_count	185025	2.70233752195649e-07
GPC-NEO-NEUROTICISM	184651	2.70781095147061e-07
UKB_20002_1463_self_reported_ulcerative_colitis	184976	2.70305336908572e-07
CARDIoGRAM_C4D_CAD_ADDITIVE	184909	2.70403279450973e-07
UKB_20002_1223_self_reported_type_2_diabetes	184976	2.70305336908572e-07
UKB_2395_4_Hair_or_balding_pattern_Pattern_4	184976	2.70305336908572e-07
Astle_et_al_2016_Red_blood_cell_count	185025	2.70233752195649e-07
UKB_20002_1154_self_reported_irritable_bowel_syndrome	184976	2.70305336908572e-07
UKB_20002_1309_self_reported_osteoporosis	184976	2.70305336908572e-07
ICBP_SystolicPressure	184497	2.71007116646883e-07
GIANT_HIP_Combined_EUR	184331	2.71251173161324e-07
CNCR_Insomnia_all	185011	2.70254201101556e-07
Astle_et_al_2016_Sum_neutrophil_eosinophil_counts	185025	2.70233752195649e-07
Astle_et_al_2016_Sum_eosinophil_basophil_counts	185025	2.70233752195649e-07
UKB_20002_1111_self_reported_asthma	184976	2.70305336908572e-07
GIANT_2015_BMI_EUR	184120	2.71562024766457e-07
UKB_21001_Body_mass_index_BMI	184976	2.70305336908572e-07
GIANT_WC_Combined_EUR	184339	2.71239401320393e-07
UKB_23099_Body_fat_percentage	184976	2.70305336908572e-07
UKB_6150_1_Vascular_or_heart_problems_diagnosed_by_doctor_Heart_attack	184976	2.70305336908572e-07
Jones_et_al_2016_SleepDuration	184970	2.70314104989998e-07
UKB_20002_1473_self_reported_high_cholesterol	184976	2.70305336908572e-07
UKB_20002_1065_self_reported_hypertension	184976	2.70305336908572e-07
UKB_20002_1453_self_reported_psoriasis	184976	2.70305336908572e-07
CKDGen_Chronic_Kidney_Disease	184441	2.71089399862287e-07
ADIPOGen_Adiponectin	184547	2.70933691688296e-07
EAGLE_Eczema	184959	2.7033018128342e-07
EGG_BL	184499	2.71004178884438e-07
