phenotype	gene	gene_name	pvalue	rcp
Astle_et_al_2016_Eosinophil_counts	ENSG00000115604.10	IL18R1	2.44765089132891e-130	0.984
Astle_et_al_2016_Eosinophil_counts	ENSG00000137033.11	IL33	1.55063817696011e-88	0.816
Astle_et_al_2016_Eosinophil_counts	ENSG00000125347.13	IRF1	1.24825637694516e-79	0.76
Astle_et_al_2016_Eosinophil_counts	ENSG00000106178.6	CCL24	6.24302088688295e-75	1
Astle_et_al_2016_Eosinophil_counts	ENSG00000206503.12	HLA-A	6.52015328946539e-71	0.534
Astle_et_al_2016_Eosinophil_counts	ENSG00000109787.12	KLF3	6.31036516427703e-52	0.675
Astle_et_al_2016_Eosinophil_counts	ENSG00000196843.15	ARID5A	1.41406330258267e-46	0.945
Astle_et_al_2016_Eosinophil_counts	ENSG00000204642.13	HLA-F	1.47456911766548e-43	0.501
Astle_et_al_2016_Eosinophil_counts	ENSG00000131507.10	NDFIP1	4.0668967283201e-33	0.656
Astle_et_al_2016_Eosinophil_counts	ENSG00000170265.11	ZNF282	6.61340691508033e-29	0.612
Astle_et_al_2016_Eosinophil_counts	ENSG00000092067.5	CEBPE	7.68842924330121e-27	0.971
Astle_et_al_2016_Eosinophil_counts	ENSG00000249242.7	TMEM150C	8.6790205302129e-27	0.64
Astle_et_al_2016_Eosinophil_counts	ENSG00000077420.15	APBB1IP	6.31621589972185e-25	0.728
Astle_et_al_2016_Eosinophil_counts	ENSG00000232629.8	HLA-DQB2	8.75455103869381e-25	0.581
Astle_et_al_2016_Eosinophil_counts	ENSG00000175550.7	DRAP1	4.35011384752501e-24	0.728
Astle_et_al_2016_Eosinophil_counts	ENSG00000153094.22	BCL2L11	2.00184165381205e-23	0.807
Astle_et_al_2016_Eosinophil_counts	ENSG00000184357.4	HIST1H1B	2.033016901978e-23	0.586
Astle_et_al_2016_Eosinophil_counts	ENSG00000172638.12	EFEMP2	8.54649026333772e-23	0.632
Astle_et_al_2016_Eosinophil_counts	ENSG00000134987.11	WDR36	2.33546602834223e-22	0.973
Astle_et_al_2016_Eosinophil_counts	ENSG00000175592.8	FOSL1	4.74160591802707e-22	0.86
Astle_et_al_2016_Eosinophil_counts	ENSG00000112339.14	HBS1L	1.34068711411511e-21	0.794
Astle_et_al_2016_Eosinophil_counts	ENSG00000125755.18	SYMPK	1.98963094849025e-21	0.836
Astle_et_al_2016_Eosinophil_counts	ENSG00000154252.11	GAL3ST2	1.02940138563212e-20	0.791
Astle_et_al_2016_Eosinophil_counts	ENSG00000228889.6	UBAC2-AS1	1.50270005531492e-20	0.88
Astle_et_al_2016_Eosinophil_counts	ENSG00000169252.5	ADRB2	1.83675711513281e-20	0.883
Astle_et_al_2016_Eosinophil_counts	ENSG00000204099.11	NEU4	4.23192816330644e-20	0.513
Astle_et_al_2016_Eosinophil_counts	ENSG00000132510.10	KDM6B	5.35728624960173e-20	1
Astle_et_al_2016_Eosinophil_counts	ENSG00000248428.1	CTC-551A13.1	1.58932091126457e-19	0.517
Astle_et_al_2016_Eosinophil_counts	ENSG00000178409.13	BEND3	3.93297810772791e-19	0.93
Astle_et_al_2016_Eosinophil_counts	ENSG00000185201.16	IFITM2	1.67418602040112e-18	0.965
Astle_et_al_2016_Eosinophil_counts	ENSG00000107929.14	LARP4B	2.89845158788002e-18	0.766
Astle_et_al_2016_Eosinophil_counts	ENSG00000134882.15	UBAC2	3.60466144305306e-18	0.896
Astle_et_al_2016_Eosinophil_counts	ENSG00000149922.10	TBX6	1.48210182563802e-17	0.996
Astle_et_al_2016_Eosinophil_counts	ENSG00000149923.13	PPP4C	2.2029125425251e-17	0.971
Astle_et_al_2016_Eosinophil_counts	ENSG00000179526.16	SHARPIN	2.77992958700985e-17	0.998
Astle_et_al_2016_Eosinophil_counts	ENSG00000030110.12	BAK1	5.21874768592295e-17	0.967
Astle_et_al_2016_Eosinophil_counts	ENSG00000198121.13	LPAR1	8.59861443902802e-17	0.528
Astle_et_al_2016_Eosinophil_counts	ENSG00000281162.2	LINC01127	3.35971592229255e-16	0.992
Astle_et_al_2016_Eosinophil_counts	ENSG00000090238.11	YPEL3	6.42918344941813e-16	0.613
Astle_et_al_2016_Eosinophil_counts	ENSG00000152804.10	HHEX	1.88723759850002e-15	0.931
Astle_et_al_2016_Eosinophil_counts	ENSG00000102882.11	MAPK3	2.52592872075714e-15	0.963
Astle_et_al_2016_Eosinophil_counts	ENSG00000091181.19	IL5RA	7.69968672584835e-15	0.945
Astle_et_al_2016_Eosinophil_counts	ENSG00000180902.17	D2HGDH	1.15996345705973e-14	0.972
Astle_et_al_2016_Eosinophil_counts	ENSG00000149926.13	FAM57B	1.43916846999252e-14	0.729
