region	phenotype	count	best_rcp
region_chr10_101189482_102620653	Astle_et_al_2016_Eosinophil_counts	1	0.504
region_chr10_101189482_102620653	UKB_21001_Body_mass_index_BMI	1	0.629
region_chr10_14984069_16509768	UKB_50_Standing_height	1	0.571
region_chr10_94461486_96062600	UKB_50_Standing_height	1	0.591
region_chr11_59013076_62456299	UKB_50_Standing_height	1	0.511
region_chr11_9065770_10930480	UKB_20002_1111_self_reported_asthma	112	0.901
region_chr12_109898914_112825713	Astle_et_al_2016_Sum_eosinophil_basophil_counts	5	0.763
region_chr12_119316305_121569746	Astle_et_al_2016_Sum_neutrophil_eosinophil_counts	107	0.975
region_chr12_121569746_124493434	Astle_et_al_2016_Reticulocyte_count	1	0.714
region_chr12_129893376_131302206	UKB_50_Standing_height	2	0.766
region_chr15_73336373_76106283	Astle_et_al_2016_Red_blood_cell_count	3	0.864
region_chr16_31371622_34586599	Astle_et_al_2016_Red_blood_cell_count	1	0.585
region_chr17_18953007_21387045	GIANT_HEIGHT	4	0.59
region_chr17_44979537_47798656	UKB_20002_1226_self_reported_hypothyroidism_or_myxoedema	1	0.97
region_chr17_5838014_7414079	Astle_et_al_2016_Myeloid_white_cell_count	9	0.813
region_chr17_7414079_8403107	Astle_et_al_2016_Neutrophil_count	11	0.797
region_chr17_78267332_79302554	UKB_50_Standing_height	1	0.538
region_chr19_16263605_18299052	Astle_et_al_2016_Lymphocyte_counts	4	0.648
region_chr19_39679979_40478694	Astle_et_al_2016_Eosinophil_counts	2	0.611
region_chr19_52482037_54099074	UKB_50_Standing_height	21	0.827
region_chr1_44503511_46433829	UKB_23099_Body_fat_percentage	1	0.539
region_chr21_46072312_46699840	Astle_et_al_2016_Lymphocyte_counts	6	0.791
region_chr22_15927607_17193405	Astle_et_al_2016_Monocyte_count	32	0.919
region_chr22_23370460_24588236	Astle_et_al_2016_Eosinophil_counts	8	0.884
region_chr22_44599428_46074615	Astle_et_al_2016_Red_blood_cell_count	1	0.595
region_chr22_49430885_50804870	Astle_et_al_2016_Monocyte_count	1	0.567
region_chr2_102072305_102971757	Astle_et_al_2016_Lymphocyte_counts	3	0.53
region_chr2_109814855_113164279	Astle_et_al_2016_Platelet_count	48	0.995
region_chr2_141761033_143761915	Astle_et_al_2016_Granulocyte_count	3	0.735
region_chr2_141761033_143761915	Astle_et_al_2016_Sum_basophil_neutrophil_counts	3	0.62
region_chr2_43082452_44086664	Astle_et_al_2016_Lymphocyte_counts	3	0.661
region_chr3_196244537_197349116	Astle_et_al_2016_Granulocyte_count	1	0.57
region_chr3_46616010_47685722	GLGC_Mc_HDL	2	0.714
region_chr3_49279539_51797999	IBD.EUR.Ulcerative_Colitis	14	0.654
region_chr3_49279539_51797999	UKB_20002_1111_self_reported_asthma	2	0.806
region_chr3_51797999_54047363	Astle_et_al_2016_Eosinophil_counts	2	0.921
region_chr5_178986463_179974244	Astle_et_al_2016_White_blood_cell_count	91	0.944
