phenotype	intron	pvalue	rcp
Astle_et_al_2016_Eosinophil_counts	intron_5_132471054_132475667	1.35394050167892e-92	0.803
Astle_et_al_2016_Eosinophil_counts	intron_19_39735073_39737938	1.89799478743464e-57	0.611
Astle_et_al_2016_Eosinophil_counts	intron_6_29944397_30261587	2.60729881134581e-51	0.874
Astle_et_al_2016_Eosinophil_counts	intron_4_38664461_38680587	3.45799556774287e-48	0.528
Astle_et_al_2016_Eosinophil_counts	intron_6_32040205_32040406	7.16942314032801e-46	0.9
Astle_et_al_2016_Eosinophil_counts	intron_4_38680682_38687963	1.74118223740479e-45	0.551
Astle_et_al_2016_Eosinophil_counts	intron_4_38680682_38688585	1.03554080794977e-44	0.638
Astle_et_al_2016_Eosinophil_counts	intron_6_32007470_32007671	6.10103717941635e-44	0.977
Astle_et_al_2016_Eosinophil_counts	intron_2_96540677_96547402	3.95350871184257e-39	0.872
Astle_et_al_2016_Eosinophil_counts	intron_6_32756466_32757773	1.31631106337444e-30	0.675
Astle_et_al_2016_Eosinophil_counts	intron_10_26437851_26438652	5.6360259922221e-22	0.622
Astle_et_al_2016_Eosinophil_counts	intron_10_26496391_26496908	1.08360488198598e-21	0.511
Astle_et_al_2016_Eosinophil_counts	intron_8_127982479_127983904	1.04799936076703e-20	0.755
Astle_et_al_2016_Eosinophil_counts	intron_8_127989291_127994883	1.09724670246763e-20	0.892
Astle_et_al_2016_Eosinophil_counts	intron_19_45854507_45861900	1.86725169313523e-20	0.521
Astle_et_al_2016_Eosinophil_counts	intron_11_308889_309013	2.04504599462354e-20	0.996
Astle_et_al_2016_Eosinophil_counts	intron_13_99200939_99231434	3.40155177171879e-20	0.713
Astle_et_al_2016_Eosinophil_counts	intron_19_45854507_45863058	1.09785699223271e-19	0.612
Astle_et_al_2016_Eosinophil_counts	intron_14_93953507_93954317	2.46740591104814e-19	1
Astle_et_al_2016_Eosinophil_counts	intron_15_79961174_79970700	4.20391069870179e-19	0.765
Astle_et_al_2016_Eosinophil_counts	intron_14_93951244_93953352	5.17825261760125e-19	1
Astle_et_al_2016_Eosinophil_counts	intron_11_319985_320565	1.2631891065704e-18	0.995
Astle_et_al_2016_Eosinophil_counts	intron_15_79961174_79967637	1.90513543170473e-18	0.749
Astle_et_al_2016_Eosinophil_counts	intron_15_79967692_79970700	2.44834306940519e-18	0.726
Astle_et_al_2016_Eosinophil_counts	intron_19_45862027_45863058	1.12230586110304e-17	0.618
Astle_et_al_2016_Eosinophil_counts	intron_12_57100090_57100846	1.80599466022612e-17	0.802
Astle_et_al_2016_Eosinophil_counts	intron_12_57099819_57099996	1.80599466022618e-17	0.903
Astle_et_al_2016_Eosinophil_counts	intron_8_144103225_144103553	2.79951508943194e-17	0.998
Astle_et_al_2016_Eosinophil_counts	intron_11_314356_314922	7.91234000179913e-17	0.664
Astle_et_al_2016_Eosinophil_counts	intron_7_75813774_75823322	1.8689992514796e-16	0.76
Astle_et_al_2016_Eosinophil_counts	intron_12_57099903_57099996	1.88827149909532e-16	0.902
Astle_et_al_2016_Eosinophil_counts	intron_16_30094897_30095252	6.4909223877206e-16	0.683
Astle_et_al_2016_Eosinophil_counts	intron_2_8302425_8312726	8.90102484366514e-16	0.505
Astle_et_al_2016_Eosinophil_counts	intron_8_144103225_144104025	1.10239614416545e-15	0.96
Astle_et_al_2016_Eosinophil_counts	intron_19_45239061_45245341	2.24699759078689e-15	0.572
Astle_et_al_2016_Eosinophil_counts	intron_8_144103225_144103847	3.41566532536584e-15	0.998
Astle_et_al_2016_Eosinophil_counts	intron_11_319990_320565	2.78321820985605e-14	0.995
