region	phenotype	count	best_pvalue
region_chr12_109898914_112825713	Astle_et_al_2016_Reticulocyte_count	1232	6.59e-91
region_chr1_111199115_112730684	UKB_23099_Body_fat_percentage	64	3.93617446579928e-10
region_chr20_25363595_33027017	Astle_et_al_2016_Lymphocyte_counts	6	1.866e-09
region_chr2_141761033_143761915	UKB_6152_9_diagnosed_by_doctor_Hayfever_allergic_rhinitis_or_eczema	26	9.87181740295505e-12
region_chr3_126496100_128476018	Astle_et_al_2016_Monocyte_count	41	2.558e-20
region_chr9_93909416_96159758	UKB_20127_Neuroticism_score	29	5.13668547820745e-10
region_chr11_127446784_128318642	Astle_et_al_2016_Sum_eosinophil_basophil_counts	1	5.47e-09
region_chr12_54385039_55272053	Astle_et_al_2016_Platelet_count	2	5.978e-10
region_chr1_107867043_109761309	Astle_et_al_2016_Neutrophil_count	11	7.20899368900679e-11
region_chr1_204711940_206268085	Astle_et_al_2016_Platelet_count	331	8.324e-35
region_chr1_226623159_229020501	UKB_50_Standing_height	890	1.00502990537351e-50
region_chr2_16148467_18466157	GIANT_HEIGHT	1	2.2e-09
region_chr9_93909416_96159758	GIANT_HEIGHT	456	4.3e-34
region_chr18_48413361_50204214	Astle_et_al_2016_Red_blood_cell_count	2	1.818e-10
region_chr4_6771316_7537965	Astle_et_al_2016_Monocyte_count	301	2.708e-28
region_chr7_22468010_23431823	UKB_50_Standing_height	16	3.40182556094401e-14
region_chr18_42312683_45342141	UKB_21001_Body_mass_index_BMI	4	4.87744842497251e-09
region_chr1_151566405_153208353	UKB_20002_1452_self_reported_eczema_or_dermatitis	330	2.22816956806894e-86
region_chr2_10133_1777250	UKB_21001_Body_mass_index_BMI	484	3.72791905444892e-59
region_chr4_104384137_106580148	Astle_et_al_2016_Myeloid_white_cell_count	3	2.828e-10
region_chr5_71944629_74463501	Astle_et_al_2016_Neutrophil_count	94	2.758e-14
region_chr6_13209156_14802693	BCAC_ER_negative_BreastCancer_EUR	1	1.73064725418042e-09
region_chr6_132444530_133923105	UKB_50_Standing_height	76	1.51443604071753e-11
region_chr7_16862445_19441924	UKB_2395_3_Hair_or_balding_pattern_Pattern_3	74	3.66408796906969e-30
region_chr7_38927103_39823071	UKB_23099_Body_fat_percentage	7	1.56811307888123e-11
region_chr18_59963251_61353518	UKB_21001_Body_mass_index_BMI	617	1.07745955150185e-75
region_chr1_76262450_79195513	Astle_et_al_2016_Myeloid_white_cell_count	1	1.45e-11
region_chr2_109814855_113164279	Astle_et_al_2016_Neutrophil_count	137	1.127e-20
region_chr3_62369991_63683610	UKB_1180_Morning_or_evening_person_chronotype	1	4.12113973066737e-09
region_chr4_6771316_7537965	Astle_et_al_2016_Granulocyte_count	2	1.114e-09
region_chr6_28050041_28949831	Astle_et_al_2016_White_blood_cell_count	1117	3.057e-54
region_chr6_28949831_29770194	Astle_et_al_2016_Sum_neutrophil_eosinophil_counts	491	1.1e-34
region_chr8_103976524_106398526	UKB_6152_5_diagnosed_by_doctor_Blood_clot_in_the_leg_DVT	7	1.27111166759661e-09
region_chr9_112930865_114257521	UKB_2395_4_Hair_or_balding_pattern_Pattern_4	28	7.64970597865359e-11
region_chr11_128318642_130472680	Astle_et_al_2016_Eosinophil_counts	3	1.683e-10
region_chr12_55272053_57155077	UKB_6152_9_diagnosed_by_doctor_Hayfever_allergic_rhinitis_or_eczema	148	1.28128357672554e-21
region_chr17_7414079_8403107	Astle_et_al_2016_Red_blood_cell_count	13	5.112e-11
region_chr1_170588635_173128768	GIANT_HEIGHT	378	4.1e-34
region_chr1_44503511_46433829	Astle_et_al_2016_Myeloid_white_cell_count	315	1.724e-10
region_chr5_178986463_179974244	Astle_et_al_2016_Granulocyte_count	39	5.515e-12
region_chr6_29770194_30830391	UKB_20002_1453_self_reported_psoriasis	2062	4.33447263478627e-233
region_chr7_127229167_129138332	RA_OKADA_TRANS_ETHNIC	54	1.1e-14
region_chr10_96062600_98481545	Astle_et_al_2016_Sum_neutrophil_eosinophil_counts	256	6.467e-39
region_chr12_109898914_112825713	Astle_et_al_2016_White_blood_cell_count	777	9.168e-70
region_chr16_80263477_81738931	GIANT_HEIGHT	1	2.2e-09
