region	phenotype	count	best_pvalue
region_chr10_101189482_102620653	Astle_et_al_2016_Granulocyte_count	1	2.02656235137623e-06
region_chr10_101189482_102620653	Astle_et_al_2016_High_light_scatter_reticulocyte_count	3	3.10559033483785e-09
region_chr10_101189482_102620653	Astle_et_al_2016_White_blood_cell_count	1	2.19142085531479e-07
region_chr10_101189482_102620653	SSGAC_Education_Years_Pooled	8	4.81701473129611e-12
region_chr10_101189482_102620653	UKB_1200_Sleeplessness_or_insomnia	1	6.16384587363444e-10
region_chr10_101189482_102620653	UKB_20016_Fluid_intelligence_score	3	1.12137375076035e-08
region_chr10_101189482_102620653	UKB_21001_Body_mass_index_BMI	1	1.58911484432526e-06
region_chr10_10207433_12544798	UKB_50_Standing_height	3	1.95314625703181e-10
region_chr10_102620653_104935290	Astle_et_al_2016_Myeloid_white_cell_count	4	1.05721095480547e-07
region_chr10_102620653_104935290	Astle_et_al_2016_Red_blood_cell_count	1	3.19297523446288e-07
region_chr10_102620653_104935290	Astle_et_al_2016_Reticulocyte_count	13	2.54049681579113e-50
region_chr10_102620653_104935290	CARDIoGRAM_C4D_CAD_ADDITIVE	4	7.39696371351479e-10
region_chr10_102620653_104935290	GIANT_HEIGHT	11	4.3472647383778e-20
region_chr10_102620653_104935290	UKB_1200_Sleeplessness_or_insomnia	4	1.35352029288162e-07
region_chr10_102620653_104935290	UKB_20002_1065_self_reported_hypertension	3	2.57275757396026e-12
region_chr10_113568673_114661647	EGG_BW3_EUR	1	4.02745490016985e-14
region_chr10_113568673_114661647	UKB_20002_1065_self_reported_hypertension	2	1.68947426842582e-18
region_chr10_114661647_117764423	UKB_21001_Body_mass_index_BMI	2	1.58714414144452e-10
region_chr10_118831841_120647811	UKB_50_Standing_height	4	5.05408423411684e-26
region_chr10_121471951_122141030	BCAC_Overall_BreastCancer_EUR	3	1.22645567392157e-123
region_chr10_122141030_124109830	UKB_20022_Birth_weight	1	8.72431645387207e-08
region_chr10_124109830_126312529	Astle_et_al_2016_Lymphocyte_counts	1	1.66355217510865e-09
region_chr10_124109830_126312529	UKB_21001_Body_mass_index_BMI	1	1.61788537357738e-06
region_chr10_124109830_126312529	UKB_2395_4_Hair_or_balding_pattern_Pattern_4	4	6.37107194646804e-36
region_chr10_124109830_126312529	UKB_50_Standing_height	3	3.89329420006965e-12
region_chr10_12544798_13279600	UKB_50_Standing_height	1	4.26610349237042e-22
region_chr10_129046020_129943063	UKB_50_Standing_height	1	1.70406257232985e-08
region_chr10_132522825_132681169	UKB_20002_1065_self_reported_hypertension	1	4.73822194105263e-09
region_chr10_19427949_22483354	BCAC_Overall_BreastCancer_EUR	2	1.65992117969024e-13
region_chr10_19427949_22483354	UKB_21001_Body_mass_index_BMI	3	1.42936911040256e-16
region_chr10_19427949_22483354	UKB_23099_Body_fat_percentage	3	2.26272035547339e-16
region_chr10_22886203_25289667	Astle_et_al_2016_Granulocyte_count	1	2.6849807633919e-30
region_chr10_22886203_25289667	Astle_et_al_2016_Monocyte_count	1	5.0222455919932e-41
region_chr10_22886203_25289667	Astle_et_al_2016_Platelet_count	1	4.33298074478865e-08
region_chr10_22886203_25289667	Astle_et_al_2016_Reticulocyte_count	3	9.33746419440047e-147
region_chr10_22886203_25289667	Astle_et_al_2016_Sum_neutrophil_eosinophil_counts	1	3.96792393483816e-30
region_chr10_22886203_25289667	UKB_50_Standing_height	5	1.43272371223245e-09
region_chr10_25289667_26599755	Astle_et_al_2016_Eosinophil_counts	1	6.31621589972185e-25
region_chr10_25289667_26599755	Astle_et_al_2016_High_light_scatter_reticulocyte_count	1	1.58244402491402e-06
region_chr10_25289667_26599755	Astle_et_al_2016_Sum_eosinophil_basophil_counts	1	5.78544783518208e-28
region_chr10_25289667_26599755	Astle_et_al_2016_White_blood_cell_count	1	9.24234268669602e-07
region_chr10_26599755_29034307	Astle_et_al_2016_White_blood_cell_count	1	8.48018766587592e-09
region_chr10_26599755_29034307	UKB_50_Standing_height	3	1.7914421775339e-13
region_chr10_29494763_30169909	CARDIoGRAM_C4D_CAD_ADDITIVE	1	1.8209731804575e-08
region_chr10_30169909_31618591	RA_OKADA_TRANS_ETHNIC	1	2.54964629863718e-07
region_chr10_31618591_33419040	UKB_20002_1111_self_reported_asthma	1	8.04811295720011e-07
region_chr10_31618591_33419040	UKB_2395_2_Hair_or_balding_pattern_Pattern_2	1	1.01490929221921e-08
region_chr10_31618591_33419040	UKB_2395_4_Hair_or_balding_pattern_Pattern_4	1	7.16998101246074e-09
region_chr10_31618591_33419040	UKB_50_Standing_height	2	8.81981240252506e-09
region_chr10_34820427_36283580	IBD.EUR.Crohns_Disease	3	2.34478149856326e-08
region_chr10_44234627_46978910	Astle_et_al_2016_Granulocyte_count	1	2.76956994378876e-07
region_chr10_44234627_46978910	Astle_et_al_2016_High_light_scatter_reticulocyte_count	5	4.66470100525472e-43
region_chr10_44234627_46978910	Astle_et_al_2016_Reticulocyte_count	3	5.22351637781025e-12
region_chr10_44234627_46978910	Astle_et_al_2016_Sum_basophil_neutrophil_counts	1	1.01691604190183e-06
region_chr10_44234627_46978910	Astle_et_al_2016_Sum_neutrophil_eosinophil_counts	1	3.73277535066377e-07
region_chr10_46978910_49632869	Astle_et_al_2016_Platelet_count	3	5.05641792604644e-12
region_chr10_46978910_49632869	Astle_et_al_2016_White_blood_cell_count	2	2.34269796687056e-08
region_chr10_46978910_49632869	UKB_50_Standing_height	1	2.13891054977115e-06
region_chr10_49632869_51856869	UKB_50_Standing_height	1	1.33960797445001e-16
region_chr10_57199768_58530227	IBD.EUR.Crohns_Disease	1	1.59100118111362e-06
region_chr10_58530227_60131651	UKB_20002_1466_self_reported_gout	1	5.64255475541542e-12
region_chr10_58530227_60131651	UKB_50_Standing_height	3	5.34931377909422e-25
region_chr10_5941799_7129522	UKB_20002_1226_self_reported_hypothyroidism_or_myxoedema	2	8.02707745424742e-12
region_chr10_5941799_7129522	UKB_20002_1452_self_reported_eczema_or_dermatitis	1	3.92504953834958e-08
region_chr10_5941799_7129522	UKB_6152_8_diagnosed_by_doctor_Asthma	1	9.265125733076e-09
region_chr10_5941799_7129522	UKB_6152_9_diagnosed_by_doctor_Hayfever_allergic_rhinitis_or_eczema	2	1.49037054365429e-17
region_chr10_61581937_64034354	Astle_et_al_2016_Eosinophil_counts	2	6.46001277176502e-09
region_chr10_61581937_64034354	Astle_et_al_2016_Myeloid_white_cell_count	3	4.19442723243391e-18
region_chr10_61581937_64034354	Astle_et_al_2016_Platelet_count	4	4.44603559495903e-73
region_chr10_61581937_64034354	Astle_et_al_2016_Sum_basophil_neutrophil_counts	3	8.14382777417668e-20
