region	n	trait	results	abbreviation	category	color
region_chr12_109898914_112825713	1232	Astle_et_al_2016_Reticulocyte_count	gwas	RET	Blood	#C00000
region_chr1_111199115_112730684	64	UKB_23099_Body_fat_percentage	gwas	FAT_UKB	Anthropometric	#404040
region_chr20_25363595_33027017	6	Astle_et_al_2016_Lymphocyte_counts	gwas	LC	Blood	#C00000
region_chr2_141761033_143761915	26	UKB_6152_9_diagnosed_by_doctor_Hayfever_allergic_rhinitis_or_eczema	gwas	HAY_UKB	Immune	#40A0A0
region_chr3_126496100_128476018	41	Astle_et_al_2016_Monocyte_count	gwas	MC	Blood	#C00000
region_chr9_93909416_96159758	29	UKB_20127_Neuroticism_score	gwas	NEUROT_UKB	Psychiatric-neurologic	#0000A0
region_chr11_127446784_128318642	1	Astle_et_al_2016_Sum_eosinophil_basophil_counts	gwas	EBC	Blood	#C00000
region_chr12_54385039_55272053	2	Astle_et_al_2016_Platelet_count	gwas	PLT	Blood	#C00000
region_chr1_107867043_109761309	11	Astle_et_al_2016_Neutrophil_count	gwas	NC	Blood	#C00000
region_chr1_204711940_206268085	331	Astle_et_al_2016_Platelet_count	gwas	PLT	Blood	#C00000
region_chr1_226623159_229020501	890	UKB_50_Standing_height	gwas	HEIGHT_UKB	Anthropometric	#404040
region_chr2_16148467_18466157	1	GIANT_HEIGHT	gwas	HEIGHT	Anthropometric	#404040
region_chr9_93909416_96159758	456	GIANT_HEIGHT	gwas	HEIGHT	Anthropometric	#404040
region_chr18_48413361_50204214	2	Astle_et_al_2016_Red_blood_cell_count	gwas	RBC	Blood	#C00000
region_chr4_6771316_7537965	301	Astle_et_al_2016_Monocyte_count	gwas	MC	Blood	#C00000
region_chr7_22468010_23431823	16	UKB_50_Standing_height	gwas	HEIGHT_UKB	Anthropometric	#404040
region_chr18_42312683_45342141	4	UKB_21001_Body_mass_index_BMI	gwas	BMI_UKB	Anthropometric	#404040
region_chr1_151566405_153208353	330	UKB_20002_1452_self_reported_eczema_or_dermatitis	gwas	ECZ_UKBS	Allergy	#FFFF00
region_chr2_10133_1777250	484	UKB_21001_Body_mass_index_BMI	gwas	BMI_UKB	Anthropometric	#404040
region_chr4_104384137_106580148	3	Astle_et_al_2016_Myeloid_white_cell_count	gwas	MWBC	Blood	#C00000
region_chr5_71944629_74463501	94	Astle_et_al_2016_Neutrophil_count	gwas	NC	Blood	#C00000
region_chr6_13209156_14802693	1	BCAC_ER_negative_BreastCancer_EUR	gwas	ERNBC	Cancer	#A0A0A0
region_chr6_132444530_133923105	76	UKB_50_Standing_height	gwas	HEIGHT_UKB	Anthropometric	#404040
region_chr7_16862445_19441924	74	UKB_2395_3_Hair_or_balding_pattern_Pattern_3	gwas	BLDP3_UKB	Hair morphology	#808000
region_chr7_38927103_39823071	7	UKB_23099_Body_fat_percentage	gwas	FAT_UKB	Anthropometric	#404040
region_chr18_59963251_61353518	617	UKB_21001_Body_mass_index_BMI	gwas	BMI_UKB	Anthropometric	#404040
region_chr1_76262450_79195513	1	Astle_et_al_2016_Myeloid_white_cell_count	gwas	MWBC	Blood	#C00000
region_chr2_109814855_113164279	137	Astle_et_al_2016_Neutrophil_count	gwas	NC	Blood	#C00000
region_chr3_62369991_63683610	1	UKB_1180_Morning_or_evening_person_chronotype	gwas	CHRONO_UKB	Psychiatric-neurologic	#0000A0
region_chr4_6771316_7537965	2	Astle_et_al_2016_Granulocyte_count	gwas	GC	Blood	#C00000
region_chr6_28050041_28949831	1117	Astle_et_al_2016_White_blood_cell_count	gwas	WBC	Blood	#C00000
region_chr6_28949831_29770194	491	Astle_et_al_2016_Sum_neutrophil_eosinophil_counts	gwas	NEC	Blood	#C00000
region_chr8_103976524_106398526	7	UKB_6152_5_diagnosed_by_doctor_Blood_clot_in_the_leg_DVT	gwas	DVT_UKB	Cardiometabolic	#004000
region_chr9_112930865_114257521	28	UKB_2395_4_Hair_or_balding_pattern_Pattern_4	gwas	BLDP4_UKB	Hair morphology	#808000
region_chr11_128318642_130472680	3	Astle_et_al_2016_Eosinophil_counts	gwas	EC	Blood	#C00000
region_chr12_55272053_57155077	148	UKB_6152_9_diagnosed_by_doctor_Hayfever_allergic_rhinitis_or_eczema	gwas	HAY_UKB	Immune	#40A0A0
region_chr17_7414079_8403107	13	Astle_et_al_2016_Red_blood_cell_count	gwas	RBC	Blood	#C00000
region_chr1_170588635_173128768	378	GIANT_HEIGHT	gwas	HEIGHT	Anthropometric	#404040
region_chr1_44503511_46433829	315	Astle_et_al_2016_Myeloid_white_cell_count	gwas	MWBC	Blood	#C00000
region_chr5_178986463_179974244	39	Astle_et_al_2016_Granulocyte_count	gwas	GC	Blood	#C00000
region_chr6_29770194_30830391	2062	UKB_20002_1453_self_reported_psoriasis	gwas	PSO_UKBS	Immune	#40A0A0
region_chr7_127229167_129138332	54	RA_OKADA_TRANS_ETHNIC	gwas	RA	Immune	#40A0A0
region_chr10_96062600_98481545	256	Astle_et_al_2016_Sum_neutrophil_eosinophil_counts	gwas	NEC	Blood	#C00000
region_chr12_109898914_112825713	777	Astle_et_al_2016_White_blood_cell_count	gwas	WBC	Blood	#C00000
region_chr16_80263477_81738931	1	GIANT_HEIGHT	gwas	HEIGHT	Anthropometric	#404040
region_chr1_182786221_184626379	819	UKB_50_Standing_height	gwas	HEIGHT_UKB	Anthropometric	#404040
region_chr6_103535520_105608858	106	GIANT_HEIGHT	gwas	HEIGHT	Anthropometric	#404040
region_chr6_26791023_28050041	296	Astle_et_al_2016_Myeloid_white_cell_count	gwas	MWBC	Blood	#C00000
region_chr6_30830391_31603441	539	pgc.scz2	gwas	SCZ	Psychiatric-neurologic	#0000A0
region_chr9_87521331_89827251	123	Astle_et_al_2016_Reticulocyte_count	gwas	RET	Blood	#C00000
region_chr16_10332175_11426305	415	Astle_et_al_2016_Sum_eosinophil_basophil_counts	gwas	EBC	Blood	#C00000
region_chr19_44239955_45599439	140	Astle_et_al_2016_Platelet_count	gwas	PLT	Blood	#C00000
region_chr1_206268085_208237019	3	IBD.EUR.Crohns_Disease	gwas	CD	Immune	#40A0A0
region_chr1_46433829_47536904	12	UKB_2395_4_Hair_or_balding_pattern_Pattern_4	gwas	BLDP4_UKB	Hair morphology	#808000
region_chr1_9305140_10746927	159	UKB_50_Standing_height	gwas	HEIGHT_UKB	Anthropometric	#404040
region_chr2_160913222_162647041	170	UKB_20002_1065_self_reported_hypertension	gwas	HPT_UKBS	Cardiometabolic	#004000
region_chr6_97394408_100182270	115	UKB_20016_Fluid_intelligence_score	gwas	FIS_UKB	Psychiatric-neurologic	#0000A0
region_chr9_132423455_134176000	47	UKB_20002_1473_self_reported_high_cholesterol	gwas	HC_UKBS	Cardiometabolic	#004000
region_chr14_76763129_78095602	23	Astle_et_al_2016_White_blood_cell_count	gwas	WBC	Blood	#C00000
region_chr15_83591716_86109674	760	GIANT_HEIGHT	gwas	HEIGHT	Anthropometric	#404040
region_chr17_44979537_47798656	112	UKB_20002_1226_self_reported_hypothyroidism_or_myxoedema	gwas	HYPOTHY_UKBS	Endocrine system	#FF8000
region_chr19_18299052_19766662	458	UKB_50_Standing_height	gwas	HEIGHT_UKB	Anthropometric	#404040
region_chr2_158720570_160913222	103	Astle_et_al_2016_Lymphocyte_counts	gwas	LC	Blood	#C00000
region_chr4_149762428_151861032	310	UKB_50_Standing_height	gwas	HEIGHT_UKB	Anthropometric	#404040
region_chr7_73920272_76829247	2	UKB_50_Standing_height	gwas	HEIGHT_UKB	Anthropometric	#404040
region_chr9_124209608_126297386	2	Astle_et_al_2016_Platelet_count	gwas	PLT	Blood	#C00000
region_chr9_132423455_134176000	43	Astle_et_al_2016_Neutrophil_count	gwas	NC	Blood	#C00000
region_chr11_124625632_126441425	23	Astle_et_al_2016_Platelet_count	gwas	PLT	Blood	#C00000
region_chr11_128318642_130472680	126	UKB_50_Standing_height	gwas	HEIGHT_UKB	Anthropometric	#404040
region_chr11_59013076_62456299	58	Astle_et_al_2016_Sum_neutrophil_eosinophil_counts	gwas	NEC	Blood	#C00000
region_chr14_102545765_104535386	138	Astle_et_al_2016_Lymphocyte_counts	gwas	LC	Blood	#C00000
