region	phenotype	count	method
region_chr10_96062600_98481545	Astle_et_al_2016_Monocyte_count	1	gwas
region_chr12_52645220_54385039	Astle_et_al_2016_Sum_basophil_neutrophil_counts	1	gwas
region_chr1_235656136_237392328	Astle_et_al_2016_Sum_basophil_neutrophil_counts	1	gwas
region_chr17_47798656_49440038	UKB_6152_8_diagnosed_by_doctor_Asthma	1	gwas
region_chr1_173128768_175120632	UKB_6152_9_diagnosed_by_doctor_Hayfever_allergic_rhinitis_or_eczema	1	gwas
region_chr4_37253425_38905401	Astle_et_al_2016_White_blood_cell_count	1	gwas
region_chr8_10605687_11421489	Astle_et_al_2016_Myeloid_white_cell_count	1	gwas
region_chr9_20463536_22206560	Astle_et_al_2016_Platelet_count	1	gwas
region_chr9_4884926_6557589	IBD.EUR.Inflammatory_Bowel_Disease	1	gwas
region_chr1_107867043_109761309	MAGNETIC_IDL.TG	1	gwas
region_chr1_158057622_159943258	Astle_et_al_2016_Sum_basophil_neutrophil_counts	1	gwas
region_chr1_44503511_46433829	Astle_et_al_2016_White_blood_cell_count	1	gwas
region_chr20_55438728_57872903	UKB_2395_4_Hair_or_balding_pattern_Pattern_4	1	gwas
region_chr2_241210506_242147200	Astle_et_al_2016_Sum_eosinophil_basophil_counts	1	gwas
region_chr4_154134974_156563945	UKB_6152_7_diagnosed_by_doctor_Blood_clot_in_the_lung	1	gwas
region_chr5_139885487_141266403	Astle_et_al_2016_Neutrophil_count	1	gwas
region_chr5_178986463_179974244	GIANT_HEIGHT	1	gwas
region_chr5_38802308_40287627	GIANT_HEIGHT	1	gwas
region_chr6_31603441_32714887	pgc.scz2	1	gwas
region_chr10_102620653_104935290	Astle_et_al_2016_White_blood_cell_count	1	gwas
region_chr12_91672378_94120791	UKB_50_Standing_height	1	gwas
region_chr11_32255355_33937192	UKB_20002_1065_self_reported_hypertension	1	gwas
region_chr11_59013076_62456299	UKB_2395_4_Hair_or_balding_pattern_Pattern_4	1	gwas
region_chr12_121569746_124493434	GIANT_HEIGHT	1	gwas
region_chr18_40104403_42312683	UKB_1180_Morning_or_evening_person_chronotype	1	gwas
region_chr19_46646825_48778970	Astle_et_al_2016_Lymphocyte_counts	1	gwas
region_chr20_5497204_7103426	UKB_50_Standing_height	1	gwas
region_chr2_19492643_20850730	MAGNETIC_LDL.C	1	gwas
region_chr4_71274841_73726673	UKB_23099_Body_fat_percentage	1	gwas
region_chr5_105515782_106557354	UKB_21001_Body_mass_index_BMI	1	gwas
region_chr12_55272053_57155077	SSGAC_Education_Years_Pooled	1	gwas
region_chr14_24435917_25666480	Astle_et_al_2016_Sum_eosinophil_basophil_counts	1	gwas
region_chr1_166491280_169117086	UKB_20002_1094_self_reported_deep_venous_thrombosis_dvt	1	gwas
region_chr2_143761915_145688002	UKB_2395_2_Hair_or_balding_pattern_Pattern_2	1	gwas
region_chr4_54563389_55681477	Astle_et_al_2016_Sum_neutrophil_eosinophil_counts	1	gwas
region_chr6_78248011_79981453	UKB_50_Standing_height	1	gwas
region_chr7_148118226_150143569	Astle_et_al_2016_Eosinophil_counts	1	gwas
