region	phenotype	count	best_rcp
region_chr10_101189482_102620653	Astle_et_al_2016_Sum_neutrophil_eosinophil_counts	9	0.832
region_chr10_102620653_104935290	Astle_et_al_2016_Neutrophil_count	13	0.962
region_chr10_102620653_104935290	UKB_20022_Birth_weight	2	0.938
region_chr10_102620653_104935290	UKB_21001_Body_mass_index_BMI	1	0.539
region_chr10_102620653_104935290	UKB_6152_9_diagnosed_by_doctor_Hayfever_allergic_rhinitis_or_eczema	16	0.833
region_chr10_113568673_114661647	Astle_et_al_2016_White_blood_cell_count	1	0.551
region_chr10_117764423_118831841	UKB_50_Standing_height	22	0.814
region_chr10_122141030_124109830	UKB_20022_Birth_weight	15	0.886
region_chr10_124109830_126312529	Astle_et_al_2016_Lymphocyte_counts	1	0.564
region_chr10_124109830_126312529	Astle_et_al_2016_Neutrophil_count	1	0.59
region_chr10_124109830_126312529	Astle_et_al_2016_White_blood_cell_count	2	0.65
region_chr10_12544798_13279600	Astle_et_al_2016_Myeloid_white_cell_count	7	0.932
region_chr10_12544798_13279600	Astle_et_al_2016_Neutrophil_count	7	0.9
region_chr10_12544798_13279600	Astle_et_al_2016_White_blood_cell_count	7	0.918
region_chr10_13279600_14984069	Astle_et_al_2016_Lymphocyte_counts	4	0.799
region_chr10_19427949_22483354	Astle_et_al_2016_Monocyte_count	2	0.533
region_chr10_19427949_22483354	UKB_23099_Body_fat_percentage	1	0.852
region_chr10_22886203_25289667	Astle_et_al_2016_Neutrophil_count	8	0.871
region_chr10_25289667_26599755	Astle_et_al_2016_Granulocyte_count	1	0.576
region_chr10_25289667_26599755	Astle_et_al_2016_High_light_scatter_reticulocyte_count	21	0.773
region_chr10_25289667_26599755	Astle_et_al_2016_Myeloid_white_cell_count	1	0.553
region_chr10_25289667_26599755	Astle_et_al_2016_Sum_neutrophil_eosinophil_counts	1	0.559
region_chr10_30169909_31618591	IBD.EUR.Crohns_Disease	1	0.569
region_chr10_44234627_46978910	Astle_et_al_2016_Granulocyte_count	5	0.904
region_chr10_44234627_46978910	Astle_et_al_2016_Myeloid_white_cell_count	5	0.908
region_chr10_44234627_46978910	Astle_et_al_2016_Neutrophil_count	5	0.9
region_chr10_4530082_5941799	UKB_6152_9_diagnosed_by_doctor_Hayfever_allergic_rhinitis_or_eczema	1	0.865
region_chr10_46978910_49632869	UKB_50_Standing_height	1	0.605
region_chr10_49632869_51856869	GIANT_HEIGHT	2	0.689
region_chr10_5941799_7129522	RA_OKADA_TRANS_ETHNIC	4	0.902
region_chr10_61581937_64034354	Astle_et_al_2016_Lymphocyte_counts	3	0.626
region_chr10_61581937_64034354	Astle_et_al_2016_Monocyte_count	2	0.823
region_chr10_61581937_64034354	pgc.scz2	1	0.634
region_chr10_68436234_70461094	UKB_20022_Birth_weight	21	0.907
region_chr10_68436234_70461094	UKB_50_Standing_height	9	0.938
region_chr10_70461094_71748755	Astle_et_al_2016_Monocyte_count	1	0.502
region_chr10_705399_1481349	EGG_BW3_EUR	3	0.712
region_chr10_7129522_8732702	Astle_et_al_2016_Eosinophil_counts	2	0.832
region_chr10_7129522_8732702	Astle_et_al_2016_Sum_eosinophil_basophil_counts	2	0.766
region_chr10_7129522_8732702	UKB_20002_1111_self_reported_asthma	2	0.848
region_chr10_71748755_73662792	Astle_et_al_2016_Myeloid_white_cell_count	1	0.646
region_chr10_71748755_73662792	Astle_et_al_2016_White_blood_cell_count	1	0.683
region_chr10_73662792_76947056	Astle_et_al_2016_Red_blood_cell_count	6	0.895
region_chr10_86177820_87367307	UKB_20002_1065_self_reported_hypertension	5	0.954
region_chr10_87367307_89253624	Astle_et_al_2016_Sum_neutrophil_eosinophil_counts	14	0.966
region_chr10_90246824_91575290	UKB_20016_Fluid_intelligence_score	2	0.742
region_chr10_91575290_93636611	UKB_6152_8_diagnosed_by_doctor_Asthma	11	0.856
region_chr10_93636611_94461486	Astle_et_al_2016_Lymphocyte_counts	2	0.919
region_chr10_93636611_94461486	Astle_et_al_2016_Sum_neutrophil_eosinophil_counts	1	0.521
region_chr10_93636611_94461486	UKB_20002_1065_self_reported_hypertension	2	0.915
region_chr10_93636611_94461486	UKB_20022_Birth_weight	2	0.947
region_chr10_93636611_94461486	UKB_50_Standing_height	14	0.662
region_chr10_96062600_98481545	Astle_et_al_2016_Granulocyte_count	7	0.754
region_chr10_96062600_98481545	Astle_et_al_2016_Sum_neutrophil_eosinophil_counts	7	0.756
region_chr10_98908643_101189482	Astle_et_al_2016_Monocyte_count	5	0.933
region_chr10_98908643_101189482	GIANT_HEIGHT	2	0.559
region_chr10_98908643_101189482	IBD.EUR.Ulcerative_Colitis	2	0.58
region_chr10_98908643_101189482	UKB_20002_1473_self_reported_high_cholesterol	5	0.991
region_chr11_100546438_101460390	UKB_20002_1065_self_reported_hypertension	5	0.997
region_chr11_112588765_114387006	UKB_23099_Body_fat_percentage	1	0.734
region_chr11_116512631_117876395	Astle_et_al_2016_High_light_scatter_reticulocyte_count	4	1
region_chr11_116512631_117876395	Astle_et_al_2016_Sum_eosinophil_basophil_counts	2	0.875
region_chr11_117876395_119344766	Astle_et_al_2016_High_light_scatter_reticulocyte_count	21	0.665
region_chr11_117876395_119344766	Astle_et_al_2016_Monocyte_count	3	0.881
region_chr11_117876395_119344766	Astle_et_al_2016_Neutrophil_count	11	0.793
region_chr11_1192365_3644251	Astle_et_al_2016_Granulocyte_count	6	0.708
region_chr11_121305234_122721202	Astle_et_al_2016_Lymphocyte_counts	3	0.82
region_chr11_121305234_122721202	Astle_et_al_2016_Sum_neutrophil_eosinophil_counts	7	0.617
region_chr11_121305234_122721202	UKB_20002_1065_self_reported_hypertension	13	0.841
region_chr11_128318642_130472680	Astle_et_al_2016_Sum_basophil_neutrophil_counts	2	0.604
region_chr11_128318642_130472680	BCAC_Overall_BreastCancer_EUR	1	0.51
region_chr11_128318642_130472680	UKB_50_Standing_height	2	0.612
region_chr11_17556855_19547988	Astle_et_al_2016_White_blood_cell_count	43	0.827
region_chr11_17556855_19547988	GIANT_HEIGHT	1	0.53
region_chr11_33937192_35481057	UKB_50_Standing_height	2	0.981
region_chr11_35481057_37095265	UKB_20002_1111_self_reported_asthma	3	0.79
region_chr11_35481057_37095265	UKB_6152_8_diagnosed_by_doctor_Asthma	2	0.771
region_chr11_42288453_44672249	UKB_1180_Morning_or_evening_person_chronotype	1	0.563
region_chr11_46984586_49844498	UKB_23099_Body_fat_percentage	21	0.763
region_chr11_4725479_6301639	UKB_50_Standing_height	1	0.629
region_chr11_59013076_62456299	Astle_et_al_2016_Granulocyte_count	30	0.917
region_chr11_59013076_62456299	Astle_et_al_2016_Myeloid_white_cell_count	30	0.905
region_chr11_59013076_62456299	Astle_et_al_2016_Platelet_count	33	0.793
region_chr11_59013076_62456299	Astle_et_al_2016_Sum_eosinophil_basophil_counts	27	0.849
region_chr11_59013076_62456299	UKB_20002_1065_self_reported_hypertension	7	0.894
region_chr11_59013076_62456299	UKB_20002_1226_self_reported_hypothyroidism_or_myxoedema	8	0.766
region_chr11_59013076_62456299	UKB_6152_8_diagnosed_by_doctor_Asthma	15	0.666
region_chr11_59013076_62456299	UKB_6152_9_diagnosed_by_doctor_Hayfever_allergic_rhinitis_or_eczema	1	0.917
region_chr11_64037097_66131160	Astle_et_al_2016_Granulocyte_count	38	0.856
region_chr11_64037097_66131160	Astle_et_al_2016_Sum_neutrophil_eosinophil_counts	40	0.857
region_chr11_64037097_66131160	UKB_20002_1065_self_reported_hypertension	2	0.853
