region	phenotype	count	best_pvalue
region_chr10_102620653_104935290	Astle_et_al_2016_White_blood_cell_count	20	1.65485737966006e-09
region_chr10_102620653_104935290	UKB_50_Standing_height	86	1.88988570685745e-39
region_chr10_121471951_122141030	BCAC_Overall_BreastCancer_EUR	4	2.49437176673666e-39
region_chr10_16509768_18248338	UKB_20002_1065_self_reported_hypertension	3	5.77518301984011e-12
region_chr10_22886203_25289667	Astle_et_al_2016_Monocyte_count	8	6.55478398241439e-47
region_chr10_31618591_33419040	UKB_50_Standing_height	3	2.28459318472305e-08
region_chr10_34820427_36283580	IBD.EUR.Crohns_Disease	2	2.7387161153826e-08
region_chr10_5941799_7129522	UKB_20002_1111_self_reported_asthma	5	1.05371121499179e-08
region_chr10_61581937_64034354	Astle_et_al_2016_Granulocyte_count	9	4.37694840688439e-15
region_chr10_61581937_64034354	Astle_et_al_2016_Sum_eosinophil_basophil_counts	1	1.32787537964405e-12
region_chr10_61581937_64034354	UKB_21001_Body_mass_index_BMI	1	8.75290252803362e-08
region_chr10_68140391_68436234	GIANT_HEIGHT	64	6.27052578102896e-13
region_chr10_68436234_70461094	UKB_6152_5_diagnosed_by_doctor_Blood_clot_in_the_leg_DVT	3	5.71479801246547e-11
region_chr10_87367307_89253624	CARDIoGRAM_C4D_CAD_ADDITIVE	7	2.89897643446387e-13
region_chr11_117876395_119344766	Astle_et_al_2016_Lymphocyte_counts	4	2.76258953384624e-08
region_chr11_1192365_3644251	UKB_20022_Birth_weight	2	2.92262585616476e-08
region_chr11_12542682_13351577	UKB_21001_Body_mass_index_BMI	1	1.04059583043615e-07
region_chr11_17556855_19547988	Astle_et_al_2016_Red_blood_cell_count	1	3.89670613491572e-09
region_chr11_44672249_46984586	GIANT_HEIGHT	1	1.4562731167346e-07
region_chr11_46984586_49844498	UKB_20002_1065_self_reported_hypertension	97	2.49939551281139e-22
region_chr11_4725479_6301639	Astle_et_al_2016_Platelet_count	1	1.47624090132577e-07
region_chr11_59013076_62456299	Astle_et_al_2016_Granulocyte_count	68	8.26155072000991e-15
region_chr11_59013076_62456299	Astle_et_al_2016_Red_blood_cell_count	74	5.68329728582537e-21
region_chr11_59013076_62456299	Astle_et_al_2016_Reticulocyte_count	21	5.35970614926935e-10
region_chr11_59013076_62456299	Astle_et_al_2016_Sum_neutrophil_eosinophil_counts	68	8.36603704838601e-15
region_chr11_59013076_62456299	IGAP_Alzheimer	10	4.93220234975349e-11
region_chr11_62456299_64037097	Astle_et_al_2016_Platelet_count	3	1.8918460369782e-12
