region	phenotype	count	best_pvalue
region_chr10_102620653_104935290	Astle_et_al_2016_Reticulocyte_count	257	2.21500617379623e-51
region_chr10_68436234_70461094	Astle_et_al_2016_High_light_scatter_reticulocyte_count	1	2.95617127522963e-15
region_chr10_68436234_70461094	UKB_6152_5_diagnosed_by_doctor_Blood_clot_in_the_leg_DVT	4	9.5390431718328e-12
region_chr10_70461094_71748755	Astle_et_al_2016_Lymphocyte_counts	3	4.92463659794237e-09
region_chr11_101460390_104088908	UKB_20022_Birth_weight	2	3.84663410967039e-08
region_chr11_33937192_35481057	UKB_20002_1226_self_reported_hypothyroidism_or_myxoedema	1	1.99464673215931e-08
region_chr11_44672249_46984586	pgc.scz2	128	1.89200023032438e-10
region_chr11_64037097_66131160	Astle_et_al_2016_White_blood_cell_count	7	2.40724652658164e-08
region_chr11_68238358_69701362	UKB_50_Standing_height	84	2.28820392233992e-24
region_chr11_94509094_95992877	SSGAC_Education_Years_Pooled	13	1.21482337878244e-08
region_chr12_102571208_104454918	UKB_21001_Body_mass_index_BMI	1	3.86871848649096e-11
region_chr12_119316305_121569746	UKB_6152_9_diagnosed_by_doctor_Hayfever_allergic_rhinitis_or_eczema	32	4.45293780764515e-10
region_chr12_65165915_66787364	GIANT_HEIGHT	57	2.33428340106499e-11
region_chr12_94120791_95627009	Astle_et_al_2016_Reticulocyte_count	17	2.40499991619437e-15
region_chr13_45921079_46856944	UKB_50_Standing_height	8	1.66901220150737e-08
region_chr14_76763129_78095602	Astle_et_al_2016_Neutrophil_count	116	1.38713662820633e-12
region_chr14_98672195_101067970	UKB_1180_Morning_or_evening_person_chronotype	5	7.0827119218954e-09
region_chr15_87826712_89932319	UKB_50_Standing_height	66	1.56788804094901e-29
region_chr16_24125554_25975541	GIANT_HEIGHT	5	2.80000034881229e-08
region_chr16_29025292_31371622	UKB_20002_1065_self_reported_hypertension	118	8.02700159218537e-10
region_chr17_43694719_44979537	Astle_et_al_2016_Platelet_count	75	6.27402722238895e-20
region_chr17_44979537_47798656	UKB_20127_Neuroticism_score	272	2.01833504165687e-20
region_chr17_44979537_47798656	UKB_23099_Body_fat_percentage	31	1.33189846692637e-09
region_chr17_65152010_66804312	UKB_50_Standing_height	12	1.07717769555375e-35
region_chr17_66804312_69862629	Astle_et_al_2016_Eosinophil_counts	147	1.50639886855298e-17
region_chr17_7414079_8403107	UKB_20022_Birth_weight	9	2.57861303024871e-08
region_chr17_78267332_79302554	GIANT_HEIGHT	37	9.69604664863275e-10
region_chr17_82076532_83247139	GIANT_HEIGHT	68	3.27760046467662e-11
region_chr18_68458580_69508584	Astle_et_al_2016_High_light_scatter_reticulocyte_count	1	6.78300095024855e-08
region_chr19_29300040_30237047	UKB_23099_Body_fat_percentage	10	4.88439965267403e-12
region_chr19_610729_2098397	Astle_et_al_2016_Eosinophil_counts	47	3.25873196121438e-12
region_chr1_107867043_109761309	Astle_et_al_2016_Sum_neutrophil_eosinophil_counts	13	1.02087916138734e-13
region_chr1_11717784_12719464	Astle_et_al_2016_Eosinophil_counts	27	2.48800194093248e-11
region_chr1_151566405_153208353	UKB_2395_4_Hair_or_balding_pattern_Pattern_4	17	2.77092034528138e-20
region_chr1_166491280_169117086	UKB_20002_1111_self_reported_asthma	5	1.56852071598999e-12
region_chr1_170588635_173128768	Astle_et_al_2016_Platelet_count	30	7.49129601805295e-16
region_chr1_1961168_3666172	GIANT_HEIGHT	6	3.89999641534362e-15
region_chr1_197342384_199270756	Astle_et_al_2016_Sum_eosinophil_basophil_counts	3	7.65054570590529e-13
region_chr1_208237019_210614406	UKB_21001_Body_mass_index_BMI	7	2.9586782957578e-09
region_chr1_22760390_23594100	Astle_et_al_2016_Lymphocyte_counts	1	6.28100229490295e-08
region_chr1_31973084_34334157	UKB_50_Standing_height	258	6.62247285635419e-13
region_chr1_95685337_97419693	UKB_23099_Body_fat_percentage	2	1.30078573594694e-09
region_chr20_33027017_34225635	UKB_50_Standing_height	320	7.61344035814029e-54
region_chr20_34225635_36332043	UKB_50_Standing_height	1053	2.36106572590076e-292
region_chr20_40982216_41957049	UKB_20002_1473_self_reported_high_cholesterol	25	2.61011627939732e-09
region_chr20_63558827_64333810	EAGLE_Eczema	45	7.07000529848702e-08
region_chr21_14578661_16680846	IBD.EUR.Inflammatory_Bowel_Disease	1	4.80599391395225e-11
region_chr22_43318194_44599428	UKB_20002_1466_self_reported_gout	1	1.35701350718905e-09
region_chr2_102072305_102971757	Astle_et_al_2016_Sum_eosinophil_basophil_counts	89	1.94431404796839e-81
region_chr2_201953914_204934518	UKB_50_Standing_height	98	1.28464617534496e-11
region_chr2_20850730_23118512	MAGNETIC_IDL.TG	21	1.0145255217917e-30
region_chr2_235134906_236540389	Astle_et_al_2016_Granulocyte_count	3	2.50299627338616e-12
region_chr2_26672117_28375910	Astle_et_al_2016_Sum_basophil_neutrophil_counts	32	2.25499846231175e-12
region_chr2_28375910_28994693	UKB_50_Standing_height	4	9.32556060177393e-09
region_chr2_43082452_44086664	Astle_et_al_2016_Granulocyte_count	28	6.74700458876425e-11
region_chr3_128476018_130525891	Astle_et_al_2016_Sum_neutrophil_eosinophil_counts	9	2.43676766897697e-20
region_chr3_184051895_185350467	UKB_21001_Body_mass_index_BMI	2	5.07379674201362e-08
region_chr4_102300199_104384137	UKB_23099_Body_fat_percentage	1	8.959814863536e-19
region_chr4_104384137_106580148	GIANT_HEIGHT	6	7.06099447434729e-17
region_chr4_135645252_137620817	UKB_1180_Morning_or_evening_person_chronotype	1	1.60133001592427e-09
region_chr4_2841252_3844313	UKB_21001_Body_mass_index_BMI	93	3.90233728442028e-10
region_chr4_54563389_55681477	Astle_et_al_2016_Granulocyte_count	12	2.8380004826741e-09
region_chr4_98502916_99757203	UKB_50_Standing_height	23	4.09452307078538e-16
region_chr5_157201689_159398690	UKB_50_Standing_height	7	2.7039888386565e-10
region_chr5_88094174_89595713	Astle_et_al_2016_Red_blood_cell_count	3	3.32124118751177e-10
region_chr6_108143176_109983044	UKB_50_Standing_height	240	3.35304209349756e-28
region_chr6_129539886_130614309	Astle_et_al_2016_High_light_scatter_reticulocyte_count	1	4.93516121960517e-08
region_chr6_28949831_29770194	Astle_et_al_2016_Eosinophil_counts	141	3.0269288948726e-63
