region	phenotype	count	best_pvalue
region_chr10_101189482_102620653	Astle_et_al_2016_Reticulocyte_count	32	3.77400180839414e-37
region_chr10_102620653_104935290	pgc.scz2	44	5.20293778569919e-22
region_chr10_124109830_126312529	GIANT_HEIGHT	6	9.40000568774086e-09
region_chr10_13279600_14984069	Astle_et_al_2016_Neutrophil_count	4	9.76999215455257e-08
region_chr10_19427949_22483354	BCAC_ER_negative_BreastCancer_EUR	2	1.29629567251456e-09
region_chr10_22886203_25289667	Astle_et_al_2016_Myeloid_white_cell_count	1	3.65398807403271e-19
region_chr10_26599755_29034307	Astle_et_al_2016_Neutrophil_count	10	4.83898606998176e-21
region_chr10_26599755_29034307	Astle_et_al_2016_Sum_basophil_neutrophil_counts	10	2.64717206155661e-21
region_chr10_26599755_29034307	Astle_et_al_2016_Sum_eosinophil_basophil_counts	9	2.51795075248286e-12
region_chr10_44234627_46978910	Astle_et_al_2016_White_blood_cell_count	3	1.58251965277485e-11
region_chr10_61581937_64034354	RA_OKADA_TRANS_ETHNIC	1	2.20000044545343e-07
region_chr10_68436234_70461094	Astle_et_al_2016_High_light_scatter_reticulocyte_count	3	5.589015933205e-33
region_chr10_7129522_8732702	UKB_20002_1111_self_reported_asthma	2	1.54105112150083e-08
region_chr10_7129522_8732702	UKB_6152_8_diagnosed_by_doctor_Asthma	2	7.74706586300495e-09
region_chr10_87367307_89253624	CARDIoGRAM_C4D_CAD_ADDITIVE	4	5.24000493490432e-12
region_chr10_91575290_93636611	Astle_et_al_2016_Sum_eosinophil_basophil_counts	2	6.79400783832759e-11
region_chr11_107973474_108566310	Astle_et_al_2016_Red_blood_cell_count	1	1.2315766538019e-07
region_chr11_111243672_112588765	UKB_20002_1065_self_reported_hypertension	16	2.4972882633967e-11
region_chr11_112588765_114387006	Astle_et_al_2016_Platelet_count	4	3.38400233007841e-09
region_chr11_116512631_117876395	Astle_et_al_2016_Eosinophil_counts	16	1.79799764648769e-11
region_chr11_116512631_117876395	Astle_et_al_2016_Platelet_count	8	2.07699830593872e-10
region_chr11_116512631_117876395	Astle_et_al_2016_Sum_eosinophil_basophil_counts	9	2.24299941006381e-09
region_chr11_1192365_3644251	Astle_et_al_2016_Sum_neutrophil_eosinophil_counts	1	2.89676371939993e-07
region_chr11_119344766_120896097	Astle_et_al_2016_Platelet_count	1	2.93610091442987e-07
region_chr11_42288453_44672249	UKB_20002_1065_self_reported_hypertension	1	5.68103141751169e-08
region_chr11_42288453_44672249	UKB_21001_Body_mass_index_BMI	11	4.60609022932613e-21
region_chr11_46984586_49844498	UKB_20002_1065_self_reported_hypertension	92	5.17328653211068e-24
region_chr11_55315181_58690022	GIANT_HEIGHT	2	1.47497920962137e-07
region_chr11_55315181_58690022	UKB_50_Standing_height	13	3.9428345751949e-11
region_chr11_59013076_62456299	Astle_et_al_2016_Reticulocyte_count	28	4.02299743474595e-09
region_chr11_64037097_66131160	Astle_et_al_2016_Sum_eosinophil_basophil_counts	106	5.72069533317266e-20
region_chr11_64037097_66131160	UKB_20022_Birth_weight	1	2.77947401511985e-07
region_chr11_64037097_66131160	UKB_6152_9_diagnosed_by_doctor_Hayfever_allergic_rhinitis_or_eczema	21	4.05125287244621e-09
region_chr11_66131160_68238358	GIANT_HEIGHT	12	1.13398781489133e-24
region_chr11_68238358_69701362	GIANT_HEIGHT	9	1.07020327329352e-08
region_chr11_70855_1192365	Astle_et_al_2016_Monocyte_count	2	2.09199976897774e-09
region_chr11_70855_1192365	UKB_21001_Body_mass_index_BMI	12	9.19115928346617e-09
region_chr11_72574973_74701306	UKB_50_Standing_height	2	4.74670799601085e-11
region_chr11_74701306_77086163	UKB_6152_9_diagnosed_by_doctor_Hayfever_allergic_rhinitis_or_eczema	9	6.84700788107659e-12
region_chr11_89475768_91233322	UKB_21001_Body_mass_index_BMI	1	4.41341662972951e-09
region_chr12_106564970_108632125	UKB_23099_Body_fat_percentage	12	4.13995881325069e-13
