region	phenotype	count	best_pvalue
region_chr10_101189482_102620653	Astle_et_al_2016_High_light_scatter_reticulocyte_count	46	4.57291084052881e-28
region_chr10_102620653_104935290	GIANT_HEIGHT	39	7.65589993234211e-16
region_chr10_13279600_14984069	Astle_et_al_2016_Myeloid_white_cell_count	1	7.25932425869949e-08
region_chr10_26599755_29034307	UKB_50_Standing_height	125	1.46050992011375e-21
region_chr10_71748755_73662792	Astle_et_al_2016_Sum_basophil_neutrophil_counts	2	2.58018118016396e-08
region_chr11_107973474_108566310	Astle_et_al_2016_Neutrophil_count	2	4.98646549218861e-09
region_chr11_117876395_119344766	GIANT_HEIGHT	68	2.17732415597292e-15
region_chr11_117876395_119344766	UKB_23099_Body_fat_percentage	21	3.07577494211817e-11
region_chr11_64037097_66131160	UKB_21001_Body_mass_index_BMI	241	2.51989082632267e-18
region_chr11_69701362_71215246	UKB_50_Standing_height	5	6.21735449779216e-12
region_chr11_9065770_10930480	UKB_20002_1111_self_reported_asthma	6	6.5272594820731e-09
region_chr12_108632125_109898914	UKB_50_Standing_height	10	2.18602699398629e-09
region_chr12_109898914_112825713	Astle_et_al_2016_Sum_eosinophil_basophil_counts	297	1.35991012980482e-146
region_chr12_54385039_55272053	Astle_et_al_2016_Platelet_count	3	1.72413067856217e-22
region_chr12_65165915_66787364	UKB_50_Standing_height	27	3.77384782165359e-33
region_chr12_96715061_98912209	UKB_21001_Body_mass_index_BMI	1	6.98282576508718e-08
region_chr13_112918174_114344378	Astle_et_al_2016_Sum_basophil_neutrophil_counts	1	7.80081073339703e-08
region_chr13_20112581_21668035	UKB_50_Standing_height	86	1.72679393673157e-18
region_chr13_70952659_73359952	UKB_6152_9_diagnosed_by_doctor_Hayfever_allergic_rhinitis_or_eczema	9	4.34238745693363e-09
region_chr14_102545765_104535386	Astle_et_al_2016_Lymphocyte_counts	11	7.20264538076771e-17
region_chr14_102545765_104535386	Astle_et_al_2016_Reticulocyte_count	112	6.19796203586689e-11
region_chr15_64812469_66802429	GIANT_HEIGHT	2	2.89792563463834e-09
region_chr15_68725660_69841002	UKB_2395_4_Hair_or_balding_pattern_Pattern_4	1	1.97322710939277e-08
region_chr15_76106283_78223711	Astle_et_al_2016_Reticulocyte_count	8	1.30805640488253e-21
region_chr15_78223711_80568637	Astle_et_al_2016_Platelet_count	1	8.5349778625719e-08
region_chr15_89932319_91621162	UKB_2395_4_Hair_or_balding_pattern_Pattern_4	41	4.76446311234638e-15
region_chr16_13060580_14370145	UKB_50_Standing_height	2	1.17845917980388e-08
