region	phenotype	count	best_pvalue
region_chr10_101189482_102620653	UKB_23099_Body_fat_percentage	7	2.4417389718925e-09
region_chr10_101189482_102620653	pgc.scz2	21	7.31655804749942e-16
region_chr10_102620653_104935290	Astle_et_al_2016_Myeloid_white_cell_count	3	7.50608128343926e-08
region_chr10_102620653_104935290	GIANT_HEIGHT	31	7.44120592418293e-15
region_chr10_102620653_104935290	UKB_1200_Sleeplessness_or_insomnia	9	8.81996625129493e-09
region_chr10_113568673_114661647	EGG_BW3_EUR	1	2.88756620790644e-10
region_chr10_121471951_122141030	BCAC_Overall_BreastCancer_EUR	5	2.33506953422681e-15
region_chr10_122141030_124109830	BCAC_ER_negative_BreastCancer_EUR	4	8.0219581233992e-29
region_chr10_124109830_126312529	UKB_2395_4_Hair_or_balding_pattern_Pattern_4	15	2.57596583119878e-25
region_chr10_12544798_13279600	UKB_50_Standing_height	2	7.07281766462542e-11
region_chr10_13279600_14984069	UKB_50_Standing_height	2	5.54097886510934e-10
region_chr10_22483354_22886203	UKB_50_Standing_height	1	2.19973577460089e-07
region_chr10_22886203_25289667	Astle_et_al_2016_Sum_neutrophil_eosinophil_counts	1	2.30648262879228e-14
region_chr10_25289667_26599755	Astle_et_al_2016_Eosinophil_counts	4	5.98105231354857e-13
region_chr10_26599755_29034307	Astle_et_al_2016_White_blood_cell_count	6	1.5615962191472e-17
region_chr10_26599755_29034307	UKB_50_Standing_height	27	2.01901713257141e-22
region_chr10_29494763_30169909	CARDIoGRAM_C4D_CAD_ADDITIVE	3	4.07169134995913e-11
region_chr10_34820427_36283580	IBD.EUR.Crohns_Disease	4	5.86267429531486e-10
region_chr10_44234627_46978910	Astle_et_al_2016_Granulocyte_count	2	2.4442132342457e-08
region_chr10_44234627_46978910	Astle_et_al_2016_Sum_basophil_neutrophil_counts	2	7.55028006638119e-08
region_chr10_44234627_46978910	CARDIoGRAM_C4D_CAD_ADDITIVE	2	3.23614246531017e-09
region_chr10_49632869_51856869	UKB_50_Standing_height	1	5.50896815839853e-11
region_chr10_5941799_7129522	UKB_6152_9_diagnosed_by_doctor_Hayfever_allergic_rhinitis_or_eczema	3	1.46553961041445e-10
region_chr10_65789857_68140391	GIANT_HEIGHT	1	6.59277222031888e-08
region_chr10_73662792_76947056	UKB_23099_Body_fat_percentage	11	9.41649523733302e-12
region_chr10_76947056_79116992	Astle_et_al_2016_Red_blood_cell_count	1	4.73268852065089e-08
region_chr10_87367307_89253624	Astle_et_al_2016_Sum_neutrophil_eosinophil_counts	4	7.96714246426057e-09
region_chr10_91575290_93636611	UKB_23099_Body_fat_percentage	3	1.08186748933808e-08
region_chr10_91575290_93636611	UKB_50_Standing_height	3	1.65961139732087e-14
region_chr10_93636611_94461486	Astle_et_al_2016_Sum_eosinophil_basophil_counts	1	9.33522614362254e-08
region_chr10_93636611_94461486	UKB_23099_Body_fat_percentage	2	1.50517063001765e-08
region_chr10_94461486_96062600	UKB_23099_Body_fat_percentage	1	3.15410800863465e-14
region_chr10_94461486_96062600	UKB_50_Standing_height	4	1.66242512179352e-15
region_chr10_98481545_98908643	UKB_21001_Body_mass_index_BMI	1	8.48283816662799e-09
