region	phenotype	count	best_pvalue
region_chr10_89253624_90246824	Astle_et_al_2016_Red_blood_cell_count	1	2.66299990246164e-08
region_chr11_124625632_126441425	Astle_et_al_2016_Platelet_count	71	4.84899732515272e-14
region_chr12_55272053_57155077	UKB_20002_1226_self_reported_hypothyroidism_or_myxoedema	212	2.40030409731806e-12
region_chr14_50041042_51026854	Astle_et_al_2016_Platelet_count	2	2.10883671393369e-09
region_chr15_76106283_78223711	UKB_50_Standing_height	229	1.23531981385607e-13
region_chr15_78223711_80568637	Astle_et_al_2016_Reticulocyte_count	161	2.44563068980678e-21
region_chr16_13060580_14370145	GIANT_HEIGHT	1	2.60425005927945e-17
region_chr16_25975541_27434434	UKB_20002_1111_self_reported_asthma	224	3.77128914658688e-15
region_chr16_34586599_48974015	Astle_et_al_2016_Eosinophil_counts	31	2.6679997751301e-10
region_chr17_38653091_40721152	IMMUNOBASE_Systemic_lupus_erythematosus_hg19	16	8.78675310877315e-10
region_chr17_4792966_5838014	Astle_et_al_2016_Eosinophil_counts	4	1.84099903849652e-08
region_chr18_21905883_23069508	UKB_50_Standing_height	28	6.74336113399896e-15
region_chr18_3891658_5834181	UKB_1180_Morning_or_evening_person_chronotype	3	9.36082329215114e-13
region_chr18_40104403_42312683	UKB_21001_Body_mass_index_BMI	33	1.95806678229374e-12
region_chr1_200168521_201620847	IBD.EUR.Inflammatory_Bowel_Disease	22	8.85199614049587e-12
region_chr1_83526065_84378812	UKB_23099_Body_fat_percentage	18	2.4747319016967e-08
region_chr20_9750273_11268888	Astle_et_al_2016_High_light_scatter_reticulocyte_count	1	8.60899337928728e-10
region_chr2_104508576_105593601	UKB_50_Standing_height	31	6.04766522091488e-10
region_chr2_43082452_44086664	Astle_et_al_2016_Neutrophil_count	50	3.66129834669942e-10
region_chr2_44086664_46255495	GIANT_HEIGHT	149	6.20000201428243e-12
region_chr4_142522112_145257035	Astle_et_al_2016_Platelet_count	2	1.47800107830153e-08
region_chr4_151861032_153556489	UKB_2395_4_Hair_or_balding_pattern_Pattern_4	2	9.99775079342108e-09
region_chr4_700926_1476986	Astle_et_al_2016_White_blood_cell_count	8	2.40900097237326e-08
region_chr4_71274841_73726673	Astle_et_al_2016_Sum_neutrophil_eosinophil_counts	1	2.22800145515718e-10
region_chr5_130183332_132803957	IBD.EUR.Inflammatory_Bowel_Disease	440	8.45230744033911e-18
region_chr9_136047132_136605890	Astle_et_al_2016_White_blood_cell_count	688	2.1839962953779e-14
region_chr10_96062600_98481545	Astle_et_al_2016_Sum_neutrophil_eosinophil_counts	203	1.79200253071409e-37
region_chr10_98908643_101189482	IBD.EUR.Crohns_Disease	3	2.51699550557027e-18
region_chr11_46984586_49844498	MAGIC_FastingGlucose	1	3.36400242532158e-09
region_chr12_121569746_124493434	Astle_et_al_2016_Reticulocyte_count	28	5.99899289097326e-09
region_chr17_3799018_4792966	UKB_23099_Body_fat_percentage	6	1.3850362595777e-08
region_chr17_61235394_63468228	GIANT_HEIGHT	184	2.59999576515472e-30
region_chr19_44239955_45599439	Astle_et_al_2016_Granulocyte_count	26	4.32999655244222e-34
region_chr1_10583_1961168	UKB_21001_Body_mass_index_BMI	242	5.12485860015714e-14
region_chr1_44503511_46433829	Astle_et_al_2016_Red_blood_cell_count	671	7.31466429332838e-22
region_chr1_53760589_55947444	MAGNETIC_IDL.TG	113	1.04999985558025e-16
region_chr1_53760589_55947444	MAGNETIC_LDL.C	112	1.32000338879864e-17
region_chr1_9305140_10746927	UKB_50_Standing_height	92	4.51638554858981e-16
region_chr22_17193405_17813322	Astle_et_al_2016_Sum_neutrophil_eosinophil_counts	13	2.87299867344955e-09
region_chr2_181401304_183492880	UKB_50_Standing_height	7	2.54469026452665e-10
region_chr3_10977979_13029299	UKB_50_Standing_height	343	1.08754986761273e-15
region_chr3_23763374_25420067	UKB_50_Standing_height	1	8.53213474831052e-09
